Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-07-08T00:00:00+02:00,3954862,16393
Bayern,09,2022-07-08T00:00:00+02:00,5278363,24537
Berlin,11,2022-07-08T00:00:00+02:00,1128352,4661
Brandenburg,12,2022-07-08T00:00:00+02:00,839781,5728
Bremen,04,2022-07-08T00:00:00+02:00,223349,795
Hamburg,02,2022-07-08T00:00:00+02:00,652554,2738
Hessen,06,2022-07-08T00:00:00+02:00,2102381,10442
Mecklenburg-Vorpommern,13,2022-07-08T00:00:00+02:00,526217,2271
Niedersachsen,03,2022-07-08T00:00:00+02:00,2728132,9758
Nordrhein-Westfalen,05,2022-07-08T00:00:00+02:00,5909232,25873
Rheinland-Pfalz,07,2022-07-08T00:00:00+02:00,1283407,5778
Saarland,10,2022-07-08T00:00:00+02:00,351428,1731
Sachsen,14,2022-07-08T00:00:00+02:00,1583049,15620
Sachsen-Anhalt,15,2022-07-08T00:00:00+02:00,756368,5426
Schleswig-Holstein,01,2022-07-08T00:00:00+02:00,874629,2626
Thüringen,16,2022-07-08T00:00:00+02:00,734242,7381
