Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-11-05T00:00:00+01:00,90734,2072
Bayern,09,2020-11-05T00:00:00+01:00,119505,2851
Berlin,11,2020-11-05T00:00:00+01:00,35971,272
Brandenburg,12,2020-11-05T00:00:00+01:00,9062,204
Bremen,04,2020-11-05T00:00:00+01:00,6365,80
Hamburg,02,2020-11-05T00:00:00+01:00,15132,296
Hessen,06,2020-11-05T00:00:00+01:00,47477,710
Mecklenburg-Vorpommern,13,2020-11-05T00:00:00+01:00,3271,23
Niedersachsen,03,2020-11-05T00:00:00+01:00,41209,791
Nordrhein-Westfalen,05,2020-11-05T00:00:00+01:00,153766,2267
Rheinland-Pfalz,07,2020-11-05T00:00:00+01:00,23391,307
Saarland,10,2020-11-05T00:00:00+01:00,7564,195
Sachsen,14,2020-11-05T00:00:00+01:00,21119,365
Sachsen-Anhalt,15,2020-11-05T00:00:00+01:00,5897,88
Schleswig-Holstein,01,2020-11-05T00:00:00+01:00,9096,192
Thüringen,16,2020-11-05T00:00:00+01:00,8024,217
