Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-19T00:00:00+02:00,36342,1838
Bayern,2020-07-19T00:00:00+02:00,49710,2616
Berlin,2020-07-19T00:00:00+02:00,8774,221
Brandenburg,2020-07-19T00:00:00+02:00,3476,167
Bremen,2020-07-19T00:00:00+02:00,1718,55
Hamburg,2020-07-19T00:00:00+02:00,5240,261
Hessen,2020-07-19T00:00:00+02:00,11386,514
Mecklenburg-Vorpommern,2020-07-19T00:00:00+02:00,806,20
Niedersachsen,2020-07-19T00:00:00+02:00,13963,645
Nordrhein-Westfalen,2020-07-19T00:00:00+02:00,46024,1712
Rheinland-Pfalz,2020-07-19T00:00:00+02:00,7299,238
Saarland,2020-07-19T00:00:00+02:00,2828,174
Sachsen,2020-07-19T00:00:00+02:00,5488,225
Sachsen-Anhalt,2020-07-19T00:00:00+02:00,1946,62
Schleswig-Holstein,2020-07-19T00:00:00+02:00,3253,154
Thüringen,2020-07-19T00:00:00+02:00,3321,182
