Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-25T00:00:00+02:00,48135,1876
Bayern,2020-09-25T00:00:00+02:00,66557,2657
Berlin,2020-09-25T00:00:00+02:00,13811,228
Brandenburg,2020-09-25T00:00:00+02:00,4178,169
Bremen,2020-09-25T00:00:00+02:00,2280,59
Hamburg,2020-09-25T00:00:00+02:00,7431,269
Hessen,2020-09-25T00:00:00+02:00,18221,548
Mecklenburg-Vorpommern,2020-09-25T00:00:00+02:00,1144,20
Niedersachsen,2020-09-25T00:00:00+02:00,19443,681
Nordrhein-Westfalen,2020-09-25T00:00:00+02:00,67278,1861
Rheinland-Pfalz,2020-09-25T00:00:00+02:00,10381,251
Saarland,2020-09-25T00:00:00+02:00,3270,176
Sachsen,2020-09-25T00:00:00+02:00,6942,230
Sachsen-Anhalt,2020-09-25T00:00:00+02:00,2525,67
Schleswig-Holstein,2020-09-25T00:00:00+02:00,4603,161
Thüringen,2020-09-25T00:00:00+02:00,4024,190
