Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-12-22T00:00:00+01:00,214466,4101
Bayern,09,2020-12-22T00:00:00+01:00,292735,5802
Berlin,11,2020-12-22T00:00:00+01:00,88029,1024
Brandenburg,12,2020-12-22T00:00:00+01:00,33461,694
Bremen,04,2020-12-22T00:00:00+01:00,12642,172
Hamburg,02,2020-12-22T00:00:00+01:00,32726,549
Hessen,06,2020-12-22T00:00:00+01:00,122638,2200
Mecklenburg-Vorpommern,13,2020-12-22T00:00:00+01:00,9899,121
Niedersachsen,03,2020-12-22T00:00:00+01:00,96232,1684
Nordrhein-Westfalen,05,2020-12-22T00:00:00+01:00,357298,5425
Rheinland-Pfalz,07,2020-12-22T00:00:00+01:00,64640,1090
Saarland,10,2020-12-22T00:00:00+01:00,17977,369
Sachsen,14,2020-12-22T00:00:00+01:00,109194,2315
Sachsen-Anhalt,15,2020-12-22T00:00:00+01:00,23564,399
Schleswig-Holstein,01,2020-12-22T00:00:00+01:00,21060,333
Thüringen,16,2020-12-22T00:00:00+01:00,33619,728
