Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-09-19T00:00:00+02:00,4438037,17199
Bayern,09,2022-09-19T00:00:00+02:00,5923559,25666
Berlin,11,2022-09-19T00:00:00+02:00,1248916,4795
Brandenburg,12,2022-09-19T00:00:00+02:00,938840,5889
Bremen,04,2022-09-19T00:00:00+02:00,255097,831
Hamburg,02,2022-09-19T00:00:00+02:00,720657,3018
Hessen,06,2022-09-19T00:00:00+02:00,2455316,11028
Mecklenburg-Vorpommern,13,2022-09-19T00:00:00+02:00,595293,2441
Niedersachsen,03,2022-09-19T00:00:00+02:00,3158513,10697
Nordrhein-Westfalen,05,2022-09-19T00:00:00+02:00,6705731,27266
Rheinland-Pfalz,07,2022-09-19T00:00:00+02:00,1475219,6130
Saarland,10,2022-09-19T00:00:00+02:00,404436,1841
Sachsen,14,2022-09-19T00:00:00+02:00,1737276,15978
Sachsen-Anhalt,15,2022-09-19T00:00:00+02:00,832084,5692
Schleswig-Holstein,01,2022-09-19T00:00:00+02:00,998631,2858
Thüringen,16,2022-09-19T00:00:00+02:00,792751,7604
