Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2022-07-08T00:00:00+02:00,73596,245
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2022-07-08T00:00:00+02:00,18013,105
Biberach,Baden-Württemberg,08426000,2022-07-08T00:00:00+02:00,80031,289
Bodenseekreis,Baden-Württemberg,08435000,2022-07-08T00:00:00+02:00,76391,337
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2022-07-08T00:00:00+02:00,90035,335
Böblingen,Baden-Württemberg,08115000,2022-07-08T00:00:00+02:00,140888,474
Calw,Baden-Württemberg,08235000,2022-07-08T00:00:00+02:00,56701,289
Emmendingen,Baden-Württemberg,08316000,2022-07-08T00:00:00+02:00,59781,245
Enzkreis,Baden-Württemberg,08236000,2022-07-08T00:00:00+02:00,71235,340
Esslingen,Baden-Württemberg,08116000,2022-07-08T00:00:00+02:00,188401,819
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2022-07-08T00:00:00+02:00,82322,267
Freudenstadt,Baden-Württemberg,08237000,2022-07-08T00:00:00+02:00,44247,243
Göppingen,Baden-Württemberg,08117000,2022-07-08T00:00:00+02:00,89709,393
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2022-07-08T00:00:00+02:00,47216,132
Heidenheim,Baden-Württemberg,08135000,2022-07-08T00:00:00+02:00,50502,302
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2022-07-08T00:00:00+02:00,49009,267
Heilbronn (Landkreis),Baden-Württemberg,08125000,2022-07-08T00:00:00+02:00,129908,347
Hohenlohekreis,Baden-Württemberg,08126000,2022-07-08T00:00:00+02:00,42496,183
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2022-07-08T00:00:00+02:00,100924,366
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2022-07-08T00:00:00+02:00,158648,711
Konstanz,Baden-Württemberg,08335000,2022-07-08T00:00:00+02:00,99150,431
Ludwigsburg,Baden-Württemberg,08118000,2022-07-08T00:00:00+02:00,180786,717
Lörrach,Baden-Württemberg,08336000,2022-07-08T00:00:00+02:00,75055,421
Main-Tauber-Kreis,Baden-Württemberg,08128000,2022-07-08T00:00:00+02:00,47751,203
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2022-07-08T00:00:00+02:00,107886,488
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2022-07-08T00:00:00+02:00,54550,216
Ortenaukreis,Baden-Württemberg,08317000,2022-07-08T00:00:00+02:00,167298,846
