Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-02-10T00:00:00+01:00,1620896,13848
Bayern,09,2022-02-10T00:00:00+01:00,2146366,20765
Berlin,11,2022-02-10T00:00:00+01:00,629409,4159
Brandenburg,12,2022-02-10T00:00:00+01:00,409363,5071
Bremen,04,2022-02-10T00:00:00+01:00,100234,661
Hamburg,02,2022-02-10T00:00:00+01:00,299088,2195
Hessen,06,2022-02-10T00:00:00+01:00,871522,8944
Mecklenburg-Vorpommern,13,2022-02-10T00:00:00+01:00,179312,1682
Niedersachsen,03,2022-02-10T00:00:00+01:00,796479,7173
Nordrhein-Westfalen,05,2022-02-10T00:00:00+01:00,2424188,21411
Rheinland-Pfalz,07,2022-02-10T00:00:00+01:00,457876,4852
Saarland,10,2022-02-10T00:00:00+01:00,124722,1345
Sachsen,14,2022-02-10T00:00:00+01:00,794744,14194
Sachsen-Anhalt,15,2022-02-10T00:00:00+01:00,310001,4654
Schleswig-Holstein,01,2022-02-10T00:00:00+01:00,258863,2024
Thüringen,16,2022-02-10T00:00:00+01:00,346477,6475
