Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2022-03-17T00:00:00+01:00,49519,216
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2022-03-17T00:00:00+01:00,11826,100
Biberach,Baden-Württemberg,08426000,2022-03-17T00:00:00+01:00,55280,267
Bodenseekreis,Baden-Württemberg,08435000,2022-03-17T00:00:00+01:00,52485,284
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2022-03-17T00:00:00+01:00,56747,284
Böblingen,Baden-Württemberg,08115000,2022-03-17T00:00:00+01:00,87723,431
Calw,Baden-Württemberg,08235000,2022-03-17T00:00:00+01:00,38728,260
Emmendingen,Baden-Württemberg,08316000,2022-03-17T00:00:00+01:00,37903,214
Enzkreis,Baden-Württemberg,08236000,2022-03-17T00:00:00+01:00,45459,326
Esslingen,Baden-Württemberg,08116000,2022-03-17T00:00:00+01:00,121384,753
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2022-03-17T00:00:00+01:00,51475,230
Freudenstadt,Baden-Württemberg,08237000,2022-03-17T00:00:00+01:00,30043,213
Göppingen,Baden-Württemberg,08117000,2022-03-17T00:00:00+01:00,61844,367
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2022-03-17T00:00:00+01:00,28755,90
Heidenheim,Baden-Württemberg,08135000,2022-03-17T00:00:00+01:00,35158,272
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2022-03-17T00:00:00+01:00,35277,237
Heilbronn (Landkreis),Baden-Württemberg,08125000,2022-03-17T00:00:00+01:00,85404,309
Hohenlohekreis,Baden-Württemberg,08126000,2022-03-17T00:00:00+01:00,27253,167
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2022-03-17T00:00:00+01:00,61524,320
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2022-03-17T00:00:00+01:00,98051,625
Konstanz,Baden-Württemberg,08335000,2022-03-17T00:00:00+01:00,68357,393
Ludwigsburg,Baden-Württemberg,08118000,2022-03-17T00:00:00+01:00,114699,690
Lörrach,Baden-Württemberg,08336000,2022-03-17T00:00:00+01:00,52163,392
Main-Tauber-Kreis,Baden-Württemberg,08128000,2022-03-17T00:00:00+01:00,29609,163
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2022-03-17T00:00:00+01:00,72105,453
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2022-03-17T00:00:00+01:00,33214,195
Ortenaukreis,Baden-Württemberg,08317000,2022-03-17T00:00:00+01:00,111314,744
Ostalbkreis,Baden-Württemberg,08136000,2022-03-17T00:00:00+01:00,79628,531
Pforzheim (Stadtkreis),Baden-Württemberg,08231000,2022-03-17T00:00:00+01:00,34063,310
Rastatt,Baden-Württemberg,08216000,2022-03-17T00:00:00+01:00,54384,337
Ravensburg,Baden-Württemberg,08436000,2022-03-17T00:00:00+01:00,71470,210
Rems-Murr-Kreis,Baden-Württemberg,08119000,2022-03-17T00:00:00+01:00,94867,547
Reutlingen,Baden-Württemberg,08415000,2022-03-17T00:00:00+01:00,69675,402
Rhein-Neckar-Kreis,Baden-Württemberg,08226000,2022-03-17T00:00:00+01:00,114401,603
Rottweil,Baden-Württemberg,08325000,2022-03-17T00:00:00+01:00,41794,262
Schwarzwald-Baar-Kreis,Baden-Württemberg,08326000,2022-03-17T00:00:00+01:00,60172,329
Schwäbisch Hall,Baden-Württemberg,08127000,2022-03-17T00:00:00+01:00,48490,320
Sigmaringen,Baden-Württemberg,08437000,2022-03-17T00:00:00+01:00,37154,147
Stuttgart,Baden-Württemberg,08111000,2022-03-17T00:00:00+01:00,125425,649
Tuttlingen,Baden-Württemberg,08327000,2022-03-17T00:00:00+01:00,39763,233
Tübingen,Baden-Württemberg,08416000,2022-03-17T00:00:00+01:00,49680,235
Ulm (Stadtkreis),Baden-Württemberg,08421000,2022-03-17T00:00:00+01:00,31802,108
Waldshut,Baden-Württemberg,08337000,2022-03-17T00:00:00+01:00,39095,288
Zollernalbkreis,Baden-Württemberg,08417000,2022-03-17T00:00:00+01:00,50511,220
Aichach-Friedberg,Bayern,09771000,2022-03-17T00:00:00+01:00,35101,155
Altötting,Bayern,09171000,2022-03-17T00:00:00+01:00,31811,310
Amberg,Bayern,09361000,2022-03-17T00:00:00+01:00,9640,52
Amberg-Sulzbach,Bayern,09371000,2022-03-17T00:00:00+01:00,22693,206
Ansbach (Stadt),Bayern,09561000,2022-03-17T00:00:00+01:00,10273,62
Ansbach (Landkreis),Bayern,09571000,2022-03-17T00:00:00+01:00,45359,246
Aschaffenburg (Stadt),Bayern,09661000,2022-03-17T00:00:00+01:00,15966,148
Aschaffenburg (Landkreis),Bayern,09671000,2022-03-17T00:00:00+01:00,36021,260
