Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2022-05-25T00:00:00+02:00,68716,238
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2022-05-25T00:00:00+02:00,16463,104
Biberach,Baden-Württemberg,08426000,2022-05-25T00:00:00+02:00,74623,284
Bodenseekreis,Baden-Württemberg,08435000,2022-05-25T00:00:00+02:00,71209,335
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2022-05-25T00:00:00+02:00,82184,327
Böblingen,Baden-Württemberg,08115000,2022-05-25T00:00:00+02:00,128794,468
Calw,Baden-Württemberg,08235000,2022-05-25T00:00:00+02:00,52794,284
Emmendingen,Baden-Württemberg,08316000,2022-05-25T00:00:00+02:00,55127,241
Enzkreis,Baden-Württemberg,08236000,2022-05-25T00:00:00+02:00,65961,340
Esslingen,Baden-Württemberg,08116000,2022-05-25T00:00:00+02:00,173101,807
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2022-05-25T00:00:00+02:00,75540,261
Freudenstadt,Baden-Württemberg,08237000,2022-05-25T00:00:00+02:00,41220,241
Göppingen,Baden-Württemberg,08117000,2022-05-25T00:00:00+02:00,83831,391
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2022-05-25T00:00:00+02:00,42530,120
Heidenheim,Baden-Württemberg,08135000,2022-05-25T00:00:00+02:00,47127,299
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2022-05-25T00:00:00+02:00,45911,271
Heilbronn (Landkreis),Baden-Württemberg,08125000,2022-05-25T00:00:00+02:00,120623,340
Hohenlohekreis,Baden-Württemberg,08126000,2022-05-25T00:00:00+02:00,39239,179
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2022-05-25T00:00:00+02:00,90513,357
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2022-05-25T00:00:00+02:00,144750,700
Konstanz,Baden-Württemberg,08335000,2022-05-25T00:00:00+02:00,91861,431
Ludwigsburg,Baden-Württemberg,08118000,2022-05-25T00:00:00+02:00,167051,714
Lörrach,Baden-Württemberg,08336000,2022-05-25T00:00:00+02:00,69386,417
Main-Tauber-Kreis,Baden-Württemberg,08128000,2022-05-25T00:00:00+02:00,43784,199
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2022-05-25T00:00:00+02:00,99948,483
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2022-05-25T00:00:00+02:00,49808,215
Ortenaukreis,Baden-Württemberg,08317000,2022-05-25T00:00:00+02:00,156343,804
Ostalbkreis,Baden-Württemberg,08136000,2022-05-25T00:00:00+02:00,109809,575
Pforzheim (Stadtkreis),Baden-Württemberg,08231000,2022-05-25T00:00:00+02:00,44421,325
Rastatt,Baden-Württemberg,08216000,2022-05-25T00:00:00+02:00,77820,368
Ravensburg,Baden-Württemberg,08436000,2022-05-25T00:00:00+02:00,100617,221
Rems-Murr-Kreis,Baden-Württemberg,08119000,2022-05-25T00:00:00+02:00,139801,600
Reutlingen,Baden-Württemberg,08415000,2022-05-25T00:00:00+02:00,96751,445
Rhein-Neckar-Kreis,Baden-Württemberg,08226000,2022-05-25T00:00:00+02:00,169145,686
Rottweil,Baden-Württemberg,08325000,2022-05-25T00:00:00+02:00,52173,280
Schwarzwald-Baar-Kreis,Baden-Württemberg,08326000,2022-05-25T00:00:00+02:00,75517,362
Schwäbisch Hall,Baden-Württemberg,08127000,2022-05-25T00:00:00+02:00,66339,332
Sigmaringen,Baden-Württemberg,08437000,2022-05-25T00:00:00+02:00,50260,172
Stuttgart,Baden-Württemberg,08111000,2022-05-25T00:00:00+02:00,186626,680
Tuttlingen,Baden-Württemberg,08327000,2022-05-25T00:00:00+02:00,51115,255
Tübingen,Baden-Württemberg,08416000,2022-05-25T00:00:00+02:00,72911,248
Ulm (Stadtkreis),Baden-Württemberg,08421000,2022-05-25T00:00:00+02:00,42952,117
Waldshut,Baden-Württemberg,08337000,2022-05-25T00:00:00+02:00,53344,320
Zollernalbkreis,Baden-Württemberg,08417000,2022-05-25T00:00:00+02:00,65655,244
Aichach-Friedberg,Bayern,09771000,2022-05-25T00:00:00+02:00,49963,161
