Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-03T00:00:00+02:00,37272,1847
Bayern,2020-08-03T00:00:00+02:00,51156,2622
Berlin,2020-08-03T00:00:00+02:00,9328,223
Brandenburg,2020-08-03T00:00:00+02:00,3573,168
Bremen,2020-08-03T00:00:00+02:00,1782,56
Hamburg,2020-08-03T00:00:00+02:00,5436,261
Hessen,2020-08-03T00:00:00+02:00,12142,520
Mecklenburg-Vorpommern,2020-08-03T00:00:00+02:00,877,20
Niedersachsen,2020-08-03T00:00:00+02:00,14567,653
Nordrhein-Westfalen,2020-08-03T00:00:00+02:00,49435,1738
Rheinland-Pfalz,2020-08-03T00:00:00+02:00,7543,239
Saarland,2020-08-03T00:00:00+02:00,2881,174
Sachsen,2020-08-03T00:00:00+02:00,5541,225
Sachsen-Anhalt,2020-08-03T00:00:00+02:00,2031,64
Schleswig-Holstein,2020-08-03T00:00:00+02:00,3467,156
Thüringen,2020-08-03T00:00:00+02:00,3371,182
