Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-04-06T00:00:00+02:00,5073868,19529
Bayern,09,2023-04-06T00:00:00+02:00,6757668,29072
Berlin,11,2023-04-06T00:00:00+02:00,1437505,5684
Brandenburg,12,2023-04-06T00:00:00+02:00,1118126,6571
Bremen,04,2023-04-06T00:00:00+02:00,304609,994
Hamburg,02,2023-04-06T00:00:00+02:00,809307,3661
Hessen,06,2023-04-06T00:00:00+02:00,2936697,12597
Mecklenburg-Vorpommern,13,2023-04-06T00:00:00+02:00,715089,2800
Niedersachsen,03,2023-04-06T00:00:00+02:00,3873504,13990
Nordrhein-Westfalen,05,2023-04-06T00:00:00+02:00,8076061,31949
Rheinland-Pfalz,07,2023-04-06T00:00:00+02:00,1775340,7100
Saarland,10,2023-04-06T00:00:00+02:00,494827,2177
Sachsen,14,2023-04-06T00:00:00+02:00,1962892,16918
Sachsen-Anhalt,15,2023-04-06T00:00:00+02:00,964791,6346
Schleswig-Holstein,01,2023-04-06T00:00:00+02:00,1179229,3533
Thüringen,16,2023-04-06T00:00:00+02:00,886966,8358
