Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-23T00:00:00+02:00,40031,1863
Bayern,2020-08-23T00:00:00+02:00,54858,2633
Berlin,2020-08-23T00:00:00+02:00,10717,226
Brandenburg,2020-08-23T00:00:00+02:00,3787,169
Bremen,2020-08-23T00:00:00+02:00,1900,56
Hamburg,2020-08-23T00:00:00+02:00,6019,265
Hessen,2020-08-23T00:00:00+02:00,14587,528
Mecklenburg-Vorpommern,2020-08-23T00:00:00+02:00,992,20
Niedersachsen,2020-08-23T00:00:00+02:00,16055,659
Nordrhein-Westfalen,2020-08-23T00:00:00+02:00,56784,1798
Rheinland-Pfalz,2020-08-23T00:00:00+02:00,8615,242
Saarland,2020-08-23T00:00:00+02:00,3071,174
Sachsen,2020-08-23T00:00:00+02:00,5820,225
Sachsen-Anhalt,2020-08-23T00:00:00+02:00,2179,65
Schleswig-Holstein,2020-08-23T00:00:00+02:00,3902,160
Thüringen,2020-08-23T00:00:00+02:00,3547,186
