Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-08-04T00:00:00+02:00,506312,10411
Bayern,09,2021-08-04T00:00:00+02:00,654446,15344
Berlin,11,2021-08-04T00:00:00+02:00,183276,3583
Brandenburg,12,2021-08-04T00:00:00+02:00,109381,3818
Bremen,04,2021-08-04T00:00:00+02:00,27971,493
Hamburg,02,2021-08-04T00:00:00+02:00,79310,1621
Hessen,06,2021-08-04T00:00:00+02:00,295405,7590
Mecklenburg-Vorpommern,13,2021-08-04T00:00:00+02:00,44547,1180
Niedersachsen,03,2021-08-04T00:00:00+02:00,265692,5819
Nordrhein-Westfalen,05,2021-08-04T00:00:00+02:00,829571,17297
Rheinland-Pfalz,07,2021-08-04T00:00:00+02:00,157851,3906
Saarland,10,2021-08-04T00:00:00+02:00,42236,1030
Sachsen,14,2021-08-04T00:00:00+02:00,286770,10137
Sachsen-Anhalt,15,2021-08-04T00:00:00+02:00,99597,3454
Schleswig-Holstein,01,2021-08-04T00:00:00+02:00,65795,1639
Thüringen,16,2021-08-04T00:00:00+02:00,129286,4382
