Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-06T00:00:00+02:00,35807,1837
Bayern,2020-07-06T00:00:00+02:00,48744,2600
Berlin,2020-07-06T00:00:00+02:00,8451,215
Brandenburg,2020-07-06T00:00:00+02:00,3464,168
Bremen,2020-07-06T00:00:00+02:00,1679,54
Hamburg,2020-07-06T00:00:00+02:00,5220,261
Hessen,2020-07-06T00:00:00+02:00,10955,512
Mecklenburg-Vorpommern,2020-07-06T00:00:00+02:00,804,20
Niedersachsen,2020-07-06T00:00:00+02:00,13672,635
Nordrhein-Westfalen,2020-07-06T00:00:00+02:00,44064,1689
Rheinland-Pfalz,2020-07-06T00:00:00+02:00,7082,235
Saarland,2020-07-06T00:00:00+02:00,2806,174
Sachsen,2020-07-06T00:00:00+02:00,5458,224
Sachsen-Anhalt,2020-07-06T00:00:00+02:00,1889,59
Schleswig-Holstein,2020-07-06T00:00:00+02:00,3187,152
Thüringen,2020-07-06T00:00:00+02:00,3272,181
