Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-27T00:00:00+02:00,36819,1841
Bayern,2020-07-27T00:00:00+02:00,50501,2619
Berlin,2020-07-27T00:00:00+02:00,9001,223
Brandenburg,2020-07-27T00:00:00+02:00,3524,168
Bremen,2020-07-27T00:00:00+02:00,1747,55
Hamburg,2020-07-27T00:00:00+02:00,5322,261
Hessen,2020-07-27T00:00:00+02:00,11685,518
Mecklenburg-Vorpommern,2020-07-27T00:00:00+02:00,843,20
Niedersachsen,2020-07-27T00:00:00+02:00,14241,648
Nordrhein-Westfalen,2020-07-27T00:00:00+02:00,47471,1728
Rheinland-Pfalz,2020-07-27T00:00:00+02:00,7434,238
Saarland,2020-07-27T00:00:00+02:00,2851,174
Sachsen,2020-07-27T00:00:00+02:00,5512,225
Sachsen-Anhalt,2020-07-27T00:00:00+02:00,1989,63
Schleswig-Holstein,2020-07-27T00:00:00+02:00,3322,155
Thüringen,2020-07-27T00:00:00+02:00,3347,182
