Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-09-12T00:00:00+02:00,545083,10530
Bayern,09,2021-09-12T00:00:00+02:00,697251,15472
Berlin,11,2021-09-12T00:00:00+02:00,198481,3602
Brandenburg,12,2021-09-12T00:00:00+02:00,113522,3829
Bremen,04,2021-09-12T00:00:00+02:00,30835,501
Hamburg,02,2021-09-12T00:00:00+02:00,88282,1659
Hessen,06,2021-09-12T00:00:00+02:00,321192,7662
Mecklenburg-Vorpommern,13,2021-09-12T00:00:00+02:00,47299,1195
Niedersachsen,03,2021-09-12T00:00:00+02:00,289240,5876
Nordrhein-Westfalen,05,2021-09-12T00:00:00+02:00,927564,17550
Rheinland-Pfalz,07,2021-09-12T00:00:00+02:00,173116,3947
Saarland,10,2021-09-12T00:00:00+02:00,45971,1040
Sachsen,14,2021-09-12T00:00:00+02:00,292216,10185
Sachsen-Anhalt,15,2021-09-12T00:00:00+02:00,101802,3494
Schleswig-Holstein,01,2021-09-12T00:00:00+02:00,73732,1666
Thüringen,16,2021-09-12T00:00:00+02:00,132054,4398
