Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-10-19T00:00:00+02:00,4725533,17512
Bayern,09,2022-10-19T00:00:00+02:00,6360823,26183
Berlin,11,2022-10-19T00:00:00+02:00,1306626,4876
Brandenburg,12,2022-10-19T00:00:00+02:00,1003467,5984
Bremen,04,2022-10-19T00:00:00+02:00,270609,849
Hamburg,02,2022-10-19T00:00:00+02:00,745496,3104
Hessen,06,2022-10-19T00:00:00+02:00,2664983,11236
Mecklenburg-Vorpommern,13,2022-10-19T00:00:00+02:00,636112,2500
Niedersachsen,03,2022-10-19T00:00:00+02:00,3385281,11036
Nordrhein-Westfalen,05,2022-10-19T00:00:00+02:00,7113931,27816
Rheinland-Pfalz,07,2022-10-19T00:00:00+02:00,1609154,6286
Saarland,10,2022-10-19T00:00:00+02:00,448544,1890
Sachsen,14,2022-10-19T00:00:00+02:00,1836096,16114
Sachsen-Anhalt,15,2022-10-19T00:00:00+02:00,884020,5793
Schleswig-Holstein,01,2022-10-19T00:00:00+02:00,1062864,2968
Thüringen,16,2022-10-19T00:00:00+02:00,835424,7730
