Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-11-09T00:00:00+01:00,100752,2120
Bayern,09,2020-11-09T00:00:00+01:00,133808,2923
Berlin,11,2020-11-09T00:00:00+01:00,39624,295
Brandenburg,12,2020-11-09T00:00:00+01:00,10516,217
Bremen,04,2020-11-09T00:00:00+01:00,7133,87
Hamburg,02,2020-11-09T00:00:00+01:00,17139,304
Hessen,06,2020-11-09T00:00:00+01:00,54043,758
Mecklenburg-Vorpommern,13,2020-11-09T00:00:00+01:00,3745,30
Niedersachsen,03,2020-11-09T00:00:00+01:00,46322,823
Nordrhein-Westfalen,05,2020-11-09T00:00:00+01:00,171631,2355
Rheinland-Pfalz,07,2020-11-09T00:00:00+01:00,26352,320
Saarland,10,2020-11-09T00:00:00+01:00,8426,201
Sachsen,14,2020-11-09T00:00:00+01:00,26680,405
Sachsen-Anhalt,15,2020-11-09T00:00:00+01:00,6734,93
Schleswig-Holstein,01,2020-11-09T00:00:00+01:00,10000,201
Thüringen,16,2020-11-09T00:00:00+01:00,8963,220
