Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-26T00:00:00+02:00,40685,1862
Bayern,2020-08-26T00:00:00+02:00,55767,2635
Berlin,2020-08-26T00:00:00+02:00,10852,226
Brandenburg,2020-08-26T00:00:00+02:00,3818,169
Bremen,2020-08-26T00:00:00+02:00,1924,56
Hamburg,2020-08-26T00:00:00+02:00,6110,265
Hessen,2020-08-26T00:00:00+02:00,15025,528
Mecklenburg-Vorpommern,2020-08-26T00:00:00+02:00,998,20
Niedersachsen,2020-08-26T00:00:00+02:00,16274,662
Nordrhein-Westfalen,2020-08-26T00:00:00+02:00,57560,1804
Rheinland-Pfalz,2020-08-26T00:00:00+02:00,8759,243
Saarland,2020-08-26T00:00:00+02:00,3085,174
Sachsen,2020-08-26T00:00:00+02:00,5841,225
Sachsen-Anhalt,2020-08-26T00:00:00+02:00,2199,65
Schleswig-Holstein,2020-08-26T00:00:00+02:00,3961,160
Thüringen,2020-08-26T00:00:00+02:00,3571,186
