Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-30T10:00:00+02:00,824,14
Bielefeld,2020-03-30T10:00:00+02:00,146,0
Bochum,2020-03-30T10:00:00+02:00,237,5
Bonn,2020-03-30T10:00:00+02:00,268,1
Borken (Kreis),2020-03-30T10:00:00+02:00,438,5
Bottrop,2020-03-30T10:00:00+02:00,38,1
Coesfeld (Kreis),2020-03-30T10:00:00+02:00,303,1
Dortmund,2020-03-30T10:00:00+02:00,256,0
Duisburg,2020-03-30T10:00:00+02:00,276,1
Düren (Kreis),2020-03-30T10:00:00+02:00,243,1
Düsseldorf,2020-03-30T10:00:00+02:00,363,2
Ennepe-Ruhr-Kreis,2020-03-30T10:00:00+02:00,175,1
Essen,2020-03-30T10:00:00+02:00,380,6
Euskirchen (Kreis),2020-03-30T10:00:00+02:00,120,2
Gelsenkirchen,2020-03-30T10:00:00+02:00,92,0
Gütersloh (Kreis),2020-03-30T10:00:00+02:00,362,1
Hagen,2020-03-30T10:00:00+02:00,62,2
Hamm,2020-03-30T10:00:00+02:00,153,1
Heinsberg (Kreis),2020-03-30T10:00:00+02:00,1258,32
Herford (Kreis),2020-03-30T10:00:00+02:00,144,0
Herne ,2020-03-30T10:00:00+02:00,55,0
Hochsauerlandkreis (Kreis),2020-03-30T10:00:00+02:00,244,0
Höxter (Kreis),2020-03-30T10:00:00+02:00,65,0
Kleve (Kreis),2020-03-30T10:00:00+02:00,233,2
Köln,2020-03-30T10:00:00+02:00,1290,9
Krefeld,2020-03-30T10:00:00+02:00,208,1
Leverkusen,2020-03-30T10:00:00+02:00,102,0
Lippe (Kreis),2020-03-30T10:00:00+02:00,289,2
Märkischer Kreis,2020-03-30T10:00:00+02:00,118,0
Mettmann (Kreis),2020-03-30T10:00:00+02:00,306,5
Minden-Lübbecke (Kreis),2020-03-30T10:00:00+02:00,256,0
Mönchengladbach,2020-03-30T10:00:00+02:00,174,1
Mülheim / Ruhr,2020-03-30T10:00:00+02:00,68,1
Münster,2020-03-30T10:00:00+02:00,443,2
Oberbergischer Kreis,2020-03-30T10:00:00+02:00,215,2
Oberhausen,2020-03-30T10:00:00+02:00,66,0
Olpe (Kreis),2020-03-30T10:00:00+02:00,123,0
Paderborn (Kreis),2020-03-30T10:00:00+02:00,194,1
Recklinghausen (Kreis),2020-03-30T10:00:00+02:00,328,0
Remscheid,2020-03-30T10:00:00+02:00,58,1
Rhein-Erft-Kreis,2020-03-30T10:00:00+02:00,340,1
Rheinisch-Bergischer Kreis,2020-03-30T10:00:00+02:00,187,2
Rhein-Kreis Neuss,2020-03-30T10:00:00+02:00,282,5
Rhein-Sieg-Kreis,2020-03-30T10:00:00+02:00,525,2
Siegen-Wittgenstein (Kreis),2020-03-30T10:00:00+02:00,97,1
Soest (Kreis),2020-03-30T10:00:00+02:00,193,0
Solingen,2020-03-30T10:00:00+02:00,87,0
Steinfurt (Kreis),2020-03-30T10:00:00+02:00,392,1
Unna (Kreis),2020-03-30T10:00:00+02:00,185,2
Viersen (Kreis),2020-03-30T10:00:00+02:00,262,2
Warendorf (Kreis),2020-03-30T10:00:00+02:00,291,1
Wesel (Kreis),2020-03-30T10:00:00+02:00,219,2
Wuppertal,2020-03-30T10:00:00+02:00,186,2
