Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-31T03:30:00+02:00,2342,102,2163
Bielefeld,2020-08-31T03:30:00+02:00,736,7,666
Bochum,2020-08-31T03:30:00+02:00,1045,27,936
Bonn,2020-08-31T03:30:00+02:00,1020,9,960
Borken (Kreis),2020-08-31T03:30:00+02:00,1251,38,1158
Bottrop,2020-08-31T03:30:00+02:00,304,7,286
Coesfeld (Kreis),2020-08-31T03:30:00+02:00,912,25,880
Dortmund,2020-08-31T03:30:00+02:00,1642,20,1421
Duisburg,2020-08-31T03:30:00+02:00,2429,68,2211
Düren (Kreis),2020-08-31T03:30:00+02:00,875,40,783
Düsseldorf,2020-08-31T03:30:00+02:00,2649,47,2454
Ennepe-Ruhr-Kreis,2020-08-31T03:30:00+02:00,729,15,661
Essen,2020-08-31T03:30:00+02:00,1602,46,1450
Euskirchen (Kreis),2020-08-31T03:30:00+02:00,691,26,629
Gelsenkirchen,2020-08-31T03:30:00+02:00,818,20,712
Gütersloh (Kreis),2020-08-31T03:30:00+02:00,2845,20,2769
Hagen,2020-08-31T03:30:00+02:00,650,14,583
Hamm,2020-08-31T03:30:00+02:00,701,37,621
Heinsberg (Kreis),2020-08-31T03:30:00+02:00,2071,90,1919
Herford (Kreis),2020-08-31T03:30:00+02:00,553,8,516
Herne,2020-08-31T03:30:00+02:00,444,5,407
Hochsauerlandkreis,2020-08-31T03:30:00+02:00,820,18,758
Höxter (Kreis),2020-08-31T03:30:00+02:00,408,18,375
Kleve (Kreis),2020-08-31T03:30:00+02:00,1038,37,973
Köln,2020-08-31T03:30:00+02:00,3653,113,3271
Krefeld,2020-08-31T03:30:00+02:00,828,24,738
Leverkusen,2020-08-31T03:30:00+02:00,408,6,329
Lippe (Kreis),2020-08-31T03:30:00+02:00,894,31,816
Märkischer Kreis,2020-08-31T03:30:00+02:00,925,32,768
Mettmann (Kreis),2020-08-31T03:30:00+02:00,1715,83,1550
Minden-Lübbecke (Kreis),2020-08-31T03:30:00+02:00,724,13,586
Mönchengladbach,2020-08-31T03:30:00+02:00,974,49,844
Mülheim / Ruhr,2020-08-31T03:30:00+02:00,458,14,407
Münster,2020-08-31T03:30:00+02:00,928,13,864
Oberbergischer Kreis,2020-08-31T03:30:00+02:00,618,18,554
Oberhausen,2020-08-31T03:30:00+02:00,501,13,451
Olpe (Kreis),2020-08-31T03:30:00+02:00,751,56,668
Paderborn (Kreis),2020-08-31T03:30:00+02:00,833,34,756
Recklinghausen (Kreis),2020-08-31T03:30:00+02:00,1835,44,1672
Remscheid,2020-08-31T03:30:00+02:00,354,18,293
Rhein-Erft-Kreis,2020-08-31T03:30:00+02:00,1470,78,1243
Rheinisch-Bergischer Kreis,2020-08-31T03:30:00+02:00,616,22,557
Rhein-Kreis Neuss,2020-08-31T03:30:00+02:00,1148,24,1031
Rhein-Sieg-Kreis,2020-08-31T03:30:00+02:00,1830,53,1684
Siegen-Wittgenstein (Kreis),2020-08-31T03:30:00+02:00,525,8,448
Soest (Kreis),2020-08-31T03:30:00+02:00,491,8,465
Solingen,2020-08-31T03:30:00+02:00,465,13,404
Steinfurt (Kreis),2020-08-31T03:30:00+02:00,1583,88,1438
Unna (Kreis),2020-08-31T03:30:00+02:00,1153,41,1000
Viersen (Kreis),2020-08-31T03:30:00+02:00,887,37,809
Warendorf (Kreis),2020-08-31T03:30:00+02:00,950,20,901
Wesel (Kreis),2020-08-31T03:30:00+02:00,1192,28,1054
Wuppertal,2020-08-31T03:30:00+02:00,1402,86,1218
