Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-15T10:00:00+02:00,1557,52,949
Bielefeld,2020-04-15T10:00:00+02:00,294,1,170
Bochum,2020-04-15T10:00:00+02:00,387,13,261
Bonn,2020-04-15T10:00:00+02:00,539,4,133
Borken (Kreis),2020-04-15T10:00:00+02:00,793,23,436
Bottrop,2020-04-15T10:00:00+02:00,99,4,44
Coesfeld (Kreis),2020-04-15T10:00:00+02:00,462,13,250
Dortmund,2020-04-15T10:00:00+02:00,572,3,304
Duisburg,2020-04-15T10:00:00+02:00,605,9,341
Düren (Kreis),2020-04-15T10:00:00+02:00,466,15,221
Düsseldorf,2020-04-15T10:00:00+02:00,805,13,441
Ennepe-Ruhr-Kreis,2020-04-15T10:00:00+02:00,331,8,202
Essen,2020-04-15T10:00:00+02:00,629,26,343
Euskirchen (Kreis),2020-04-15T10:00:00+02:00,279,8,0
Gelsenkirchen,2020-04-15T10:00:00+02:00,253,6,113
Gütersloh (Kreis),2020-04-15T10:00:00+02:00,553,15,350
Hagen,2020-04-15T10:00:00+02:00,172,2,93
Hamm,2020-04-15T10:00:00+02:00,339,12,148
Heinsberg (Kreis),2020-04-15T10:00:00+02:00,1580,52,1054
Herford (Kreis),2020-04-15T10:00:00+02:00,293,4,146
Herne,2020-04-15T10:00:00+02:00,106,1,50
Hochsauerlandkreis,2020-04-15T10:00:00+02:00,520,11,278
Höxter (Kreis),2020-04-15T10:00:00+02:00,233,1,94
Kleve (Kreis),2020-04-15T10:00:00+02:00,434,11,200
Köln,2020-04-15T10:00:00+02:00,2086,58,1515
Krefeld,2020-04-15T10:00:00+02:00,335,8,244
Leverkusen,2020-04-15T10:00:00+02:00,170,3,108
Lippe (Kreis),2020-04-15T10:00:00+02:00,584,16,203
Märkischer Kreis,2020-04-15T10:00:00+02:00,380,8,148
Mettmann (Kreis),2020-04-15T10:00:00+02:00,874,38,439
Minden-Lübbecke (Kreis),2020-04-15T10:00:00+02:00,376,3,240
Mönchengladbach,2020-04-15T10:00:00+02:00,380,17,203
Mülheim / Ruhr,2020-04-15T10:00:00+02:00,131,4,82
Münster,2020-04-15T10:00:00+02:00,621,7,457
Oberbergischer Kreis,2020-04-15T10:00:00+02:00,621,9,226
Oberhausen,2020-04-15T10:00:00+02:00,147,0,65
Olpe (Kreis),2020-04-15T10:00:00+02:00,431,14,200
Paderborn (Kreis),2020-04-15T10:00:00+02:00,508,19,128
Recklinghausen (Kreis),2020-04-15T10:00:00+02:00,728,6,453
Remscheid,2020-04-15T10:00:00+02:00,153,3,73
Rhein-Erft-Kreis,2020-04-15T10:00:00+02:00,802,32,294
Rheinisch-Bergischer Kreis,2020-04-15T10:00:00+02:00,380,4,212
Rhein-Kreis Neuss,2020-04-15T10:00:00+02:00,530,12,413
Rhein-Sieg-Kreis,2020-04-15T10:00:00+02:00,970,18,389
Siegen-Wittgenstein (Kreis),2020-04-15T10:00:00+02:00,239,6,90
Soest (Kreis),2020-04-15T10:00:00+02:00,315,3,192
Solingen,2020-04-15T10:00:00+02:00,193,3,94
Steinfurt (Kreis),2020-04-15T10:00:00+02:00,1007,27,437
Unna (Kreis),2020-04-15T10:00:00+02:00,495,19,203
Viersen (Kreis),2020-04-15T10:00:00+02:00,497,20,152
Warendorf (Kreis),2020-04-15T10:00:00+02:00,408,5,290
Wesel (Kreis),2020-04-15T10:00:00+02:00,410,10,265
Wuppertal,2020-04-15T10:00:00+02:00,585,22,250
