Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-07-14T03:30:00+02:00,2021,100,1908
Bielefeld,2020-07-14T03:30:00+02:00,498,5,451
Bochum,2020-07-14T03:30:00+02:00,656,20,593
Bonn,2020-07-14T03:30:00+02:00,772,9,751
Borken (Kreis),2020-07-14T03:30:00+02:00,1124,38,1073
Bottrop,2020-07-14T03:30:00+02:00,223,7,209
Coesfeld (Kreis),2020-07-14T03:30:00+02:00,881,25,850
Dortmund,2020-07-14T03:30:00+02:00,1086,14,954
Duisburg,2020-07-14T03:30:00+02:00,1722,61,1499
Düren (Kreis),2020-07-14T03:30:00+02:00,621,39,577
Düsseldorf,2020-07-14T03:30:00+02:00,1971,42,1732
Ennepe-Ruhr-Kreis,2020-07-14T03:30:00+02:00,498,14,455
Essen,2020-07-14T03:30:00+02:00,1037,41,936
Euskirchen (Kreis),2020-07-14T03:30:00+02:00,522,23,455
Gelsenkirchen,2020-07-14T03:30:00+02:00,564,17,481
Gütersloh (Kreis),2020-07-14T03:30:00+02:00,2569,20,2270
Hagen,2020-07-14T03:30:00+02:00,433,13,383
Hamm,2020-07-14T03:30:00+02:00,572,36,510
Heinsberg (Kreis),2020-07-14T03:30:00+02:00,1960,81,1855
Herford (Kreis),2020-07-14T03:30:00+02:00,397,7,372
Herne,2020-07-14T03:30:00+02:00,269,2,233
Hochsauerlandkreis,2020-07-14T03:30:00+02:00,669,17,633
Höxter (Kreis),2020-07-14T03:30:00+02:00,373,18,353
Kleve (Kreis),2020-07-14T03:30:00+02:00,820,37,775
Köln,2020-07-14T03:30:00+02:00,2704,106,2499
Krefeld,2020-07-14T03:30:00+02:00,679,23,636
Leverkusen,2020-07-14T03:30:00+02:00,270,5,249
Lippe (Kreis),2020-07-14T03:30:00+02:00,772,29,733
Märkischer Kreis,2020-07-14T03:30:00+02:00,640,31,586
Mettmann (Kreis),2020-07-14T03:30:00+02:00,1123,81,958
Minden-Lübbecke (Kreis),2020-07-14T03:30:00+02:00,502,13,488
Mönchengladbach,2020-07-14T03:30:00+02:00,717,41,637
Mülheim / Ruhr,2020-07-14T03:30:00+02:00,286,14,258
Münster,2020-07-14T03:30:00+02:00,736,13,719
Oberbergischer Kreis,2020-07-14T03:30:00+02:00,504,18,474
Oberhausen,2020-07-14T03:30:00+02:00,318,11,287
Olpe (Kreis),2020-07-14T03:30:00+02:00,665,56,598
Paderborn (Kreis),2020-07-14T03:30:00+02:00,731,34,670
Recklinghausen (Kreis),2020-07-14T03:30:00+02:00,1427,40,1345
Remscheid,2020-07-14T03:30:00+02:00,247,18,226
Rhein-Erft-Kreis,2020-07-14T03:30:00+02:00,1132,76,1038
Rheinisch-Bergischer Kreis,2020-07-14T03:30:00+02:00,486,23,451
Rhein-Kreis Neuss,2020-07-14T03:30:00+02:00,803,21,756
Rhein-Sieg-Kreis,2020-07-14T03:30:00+02:00,1482,50,1415
Siegen-Wittgenstein (Kreis),2020-07-14T03:30:00+02:00,319,8,307
Soest (Kreis),2020-07-14T03:30:00+02:00,397,8,382
Solingen,2020-07-14T03:30:00+02:00,312,10,278
Steinfurt (Kreis),2020-07-14T03:30:00+02:00,1355,83,1260
Unna (Kreis),2020-07-14T03:30:00+02:00,791,39,588
Viersen (Kreis),2020-07-14T03:30:00+02:00,743,37,698
Warendorf (Kreis),2020-07-14T03:30:00+02:00,844,20,785
Wesel (Kreis),2020-07-14T03:30:00+02:00,840,27,704
Wuppertal,2020-07-14T03:30:00+02:00,1032,86,911
