Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-06-20T03:30:00+02:00,1991,97,1873
Bielefeld,2020-06-20T03:30:00+02:00,431,5,402
Bochum,2020-06-20T03:30:00+02:00,592,19,523
Bonn,2020-06-20T03:30:00+02:00,754,8,740
Borken (Kreis),2020-06-20T03:30:00+02:00,1111,38,1066
Bottrop,2020-06-20T03:30:00+02:00,211,7,203
Coesfeld (Kreis),2020-06-20T03:30:00+02:00,871,24,842
Dortmund,2020-06-20T03:30:00+02:00,869,9,747
Duisburg,2020-06-20T03:30:00+02:00,1393,57,1146
Düren (Kreis),2020-06-20T03:30:00+02:00,605,39,558
Düsseldorf,2020-06-20T03:30:00+02:00,1630,36,1421
Ennepe-Ruhr-Kreis,2020-06-20T03:30:00+02:00,462,14,423
Essen,2020-06-20T03:30:00+02:00,917,41,820
Euskirchen (Kreis),2020-06-20T03:30:00+02:00,473,22,441
Gelsenkirchen,2020-06-20T03:30:00+02:00,473,16,393
Gütersloh (Kreis),2020-06-20T03:30:00+02:00,1085,20,671
Hagen,2020-06-20T03:30:00+02:00,360,13,317
Hamm,2020-06-20T03:30:00+02:00,500,36,437
Heinsberg (Kreis),2020-06-20T03:30:00+02:00,1923,79,1795
Herford (Kreis),2020-06-20T03:30:00+02:00,354,7,324
Herne,2020-06-20T03:30:00+02:00,219,2,193
Hochsauerlandkreis,2020-06-20T03:30:00+02:00,616,17,591
Höxter (Kreis),2020-06-20T03:30:00+02:00,366,18,340
Kleve (Kreis),2020-06-20T03:30:00+02:00,786,37,700
Köln,2020-06-20T03:30:00+02:00,2564,102,2398
Krefeld,2020-06-20T03:30:00+02:00,645,22,615
Leverkusen,2020-06-20T03:30:00+02:00,249,5,237
Lippe (Kreis),2020-06-20T03:30:00+02:00,755,29,715
Märkischer Kreis,2020-06-20T03:30:00+02:00,609,31,567
Mettmann (Kreis),2020-06-20T03:30:00+02:00,978,79,887
Minden-Lübbecke (Kreis),2020-06-20T03:30:00+02:00,489,12,486
Mönchengladbach,2020-06-20T03:30:00+02:00,660,41,583
Mülheim / Ruhr,2020-06-20T03:30:00+02:00,234,12,204
Münster,2020-06-20T03:30:00+02:00,731,13,707
Oberbergischer Kreis,2020-06-20T03:30:00+02:00,490,18,472
Oberhausen,2020-06-20T03:30:00+02:00,273,10,254
Olpe (Kreis),2020-06-20T03:30:00+02:00,648,56,580
Paderborn (Kreis),2020-06-20T03:30:00+02:00,681,34,614
Recklinghausen (Kreis),2020-06-20T03:30:00+02:00,1323,40,1246
Remscheid,2020-06-20T03:30:00+02:00,241,18,223
Rhein-Erft-Kreis,2020-06-20T03:30:00+02:00,1108,76,1018
Rheinisch-Bergischer Kreis,2020-06-20T03:30:00+02:00,471,21,446
Rhein-Kreis Neuss,2020-06-20T03:30:00+02:00,729,20,694
Rhein-Sieg-Kreis,2020-06-20T03:30:00+02:00,1458,50,1392
Siegen-Wittgenstein (Kreis),2020-06-20T03:30:00+02:00,315,8,306
Soest (Kreis),2020-06-20T03:30:00+02:00,376,8,355
Solingen,2020-06-20T03:30:00+02:00,288,8,245
Steinfurt (Kreis),2020-06-20T03:30:00+02:00,1339,82,1239
Unna (Kreis),2020-06-20T03:30:00+02:00,723,38,588
Viersen (Kreis),2020-06-20T03:30:00+02:00,724,37,674
Warendorf (Kreis),2020-06-20T03:30:00+02:00,638,20,477
Wesel (Kreis),2020-06-20T03:30:00+02:00,664,27,588
Wuppertal,2020-06-20T03:30:00+02:00,974,85,848
