Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-14T03:30:00+02:00,2193,101,1975
Bielefeld,2020-08-14T03:30:00+02:00,679,6,586
Bochum,2020-08-14T03:30:00+02:00,955,22,762
Bonn,2020-08-14T03:30:00+02:00,921,9,829
Borken (Kreis),2020-08-14T03:30:00+02:00,1212,38,1122
Bottrop,2020-08-14T03:30:00+02:00,286,7,260
Coesfeld (Kreis),2020-08-14T03:30:00+02:00,901,25,866
Dortmund,2020-08-14T03:30:00+02:00,1456,17,1207
Duisburg,2020-08-14T03:30:00+02:00,2198,64,1916
Düren (Kreis),2020-08-14T03:30:00+02:00,809,40,643
Düsseldorf,2020-08-14T03:30:00+02:00,2366,45,2176
Ennepe-Ruhr-Kreis,2020-08-14T03:30:00+02:00,653,14,576
Essen,2020-08-14T03:30:00+02:00,1438,46,1238
Euskirchen (Kreis),2020-08-14T03:30:00+02:00,653,26,566
Gelsenkirchen,2020-08-14T03:30:00+02:00,719,19,616
Gütersloh (Kreis),2020-08-14T03:30:00+02:00,2767,20,2624
Hagen,2020-08-14T03:30:00+02:00,580,13,485
Hamm,2020-08-14T03:30:00+02:00,638,36,564
Heinsberg (Kreis),2020-08-14T03:30:00+02:00,2012,87,1872
Herford (Kreis),2020-08-14T03:30:00+02:00,515,8,421
Herne,2020-08-14T03:30:00+02:00,393,5,316
Hochsauerlandkreis,2020-08-14T03:30:00+02:00,777,18,689
Höxter (Kreis),2020-08-14T03:30:00+02:00,389,18,358
Kleve (Kreis),2020-08-14T03:30:00+02:00,984,37,823
Köln,2020-08-14T03:30:00+02:00,3244,110,2863
Krefeld,2020-08-14T03:30:00+02:00,772,24,689
Leverkusen,2020-08-14T03:30:00+02:00,358,5,283
Lippe (Kreis),2020-08-14T03:30:00+02:00,852,30,759
Märkischer Kreis,2020-08-14T03:30:00+02:00,788,32,660
Mettmann (Kreis),2020-08-14T03:30:00+02:00,1557,83,1340
Minden-Lübbecke (Kreis),2020-08-14T03:30:00+02:00,653,13,488
Mönchengladbach,2020-08-14T03:30:00+02:00,909,47,750
Mülheim / Ruhr,2020-08-14T03:30:00+02:00,394,14,343
Münster,2020-08-14T03:30:00+02:00,871,13,767
Oberbergischer Kreis,2020-08-14T03:30:00+02:00,565,18,499
Oberhausen,2020-08-14T03:30:00+02:00,453,12,363
Olpe (Kreis),2020-08-14T03:30:00+02:00,716,56,622
Paderborn (Kreis),2020-08-14T03:30:00+02:00,789,34,716
Recklinghausen (Kreis),2020-08-14T03:30:00+02:00,1692,43,1497
Remscheid,2020-08-14T03:30:00+02:00,312,18,250
Rhein-Erft-Kreis,2020-08-14T03:30:00+02:00,1311,76,1114
Rheinisch-Bergischer Kreis,2020-08-14T03:30:00+02:00,576,23,488
Rhein-Kreis Neuss,2020-08-14T03:30:00+02:00,1013,22,912
Rhein-Sieg-Kreis,2020-08-14T03:30:00+02:00,1687,52,1473
Siegen-Wittgenstein (Kreis),2020-08-14T03:30:00+02:00,468,8,357
Soest (Kreis),2020-08-14T03:30:00+02:00,468,8,406
Solingen,2020-08-14T03:30:00+02:00,431,12,362
Steinfurt (Kreis),2020-08-14T03:30:00+02:00,1513,87,1330
Unna (Kreis),2020-08-14T03:30:00+02:00,1076,40,834
Viersen (Kreis),2020-08-14T03:30:00+02:00,853,37,753
Warendorf (Kreis),2020-08-14T03:30:00+02:00,919,20,850
Wesel (Kreis),2020-08-14T03:30:00+02:00,1096,28,892
Wuppertal,2020-08-14T03:30:00+02:00,1276,86,1042
