Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-24T03:30:00+02:00,1960,91,1814
Bielefeld,2020-05-24T03:30:00+02:00,410,4,385
Bochum,2020-05-24T03:30:00+02:00,497,18,428
Bonn,2020-05-24T03:30:00+02:00,703,8,680
Borken (Kreis),2020-05-24T03:30:00+02:00,1042,38,858
Bottrop,2020-05-24T03:30:00+02:00,193,6,174
Coesfeld (Kreis),2020-05-24T03:30:00+02:00,857,24,523
Dortmund,2020-05-24T03:30:00+02:00,728,6,703
Duisburg,2020-05-24T03:30:00+02:00,1118,51,881
Düren (Kreis),2020-05-24T03:30:00+02:00,590,38,526
Düsseldorf,2020-05-24T03:30:00+02:00,1341,30,1124
Ennepe-Ruhr-Kreis,2020-05-24T03:30:00+02:00,425,14,377
Essen,2020-05-24T03:30:00+02:00,813,36,697
Euskirchen (Kreis),2020-05-24T03:30:00+02:00,440,21,360
Gelsenkirchen,2020-05-24T03:30:00+02:00,394,14,331
Gütersloh (Kreis),2020-05-24T03:30:00+02:00,634,19,570
Hagen,2020-05-24T03:30:00+02:00,327,12,289
Hamm,2020-05-24T03:30:00+02:00,472,36,399
Heinsberg (Kreis),2020-05-24T03:30:00+02:00,1864,69,1667
Herford (Kreis),2020-05-24T03:30:00+02:00,330,7,312
Herne,2020-05-24T03:30:00+02:00,185,1,169
Hochsauerlandkreis,2020-05-24T03:30:00+02:00,606,17,570
Höxter (Kreis),2020-05-24T03:30:00+02:00,346,17,284
Kleve (Kreis),2020-05-24T03:30:00+02:00,654,35,555
Köln,2020-05-24T03:30:00+02:00,2457,96,2245
Krefeld,2020-05-24T03:30:00+02:00,615,22,525
Leverkusen,2020-05-24T03:30:00+02:00,233,5,207
Lippe (Kreis),2020-05-24T03:30:00+02:00,740,29,678
Märkischer Kreis,2020-05-24T03:30:00+02:00,596,28,524
Mettmann (Kreis),2020-05-24T03:30:00+02:00,930,78,810
Minden-Lübbecke (Kreis),2020-05-24T03:30:00+02:00,476,9,417
Mönchengladbach,2020-05-24T03:30:00+02:00,602,39,459
Mülheim / Ruhr,2020-05-24T03:30:00+02:00,198,9,170
Münster,2020-05-24T03:30:00+02:00,704,13,631
Oberbergischer Kreis,2020-05-24T03:30:00+02:00,480,17,442
Oberhausen,2020-05-24T03:30:00+02:00,258,9,229
Olpe (Kreis),2020-05-24T03:30:00+02:00,621,52,549
Paderborn (Kreis),2020-05-24T03:30:00+02:00,630,33,543
Recklinghausen (Kreis),2020-05-24T03:30:00+02:00,1261,37,1097
Remscheid,2020-05-24T03:30:00+02:00,236,17,208
Rhein-Erft-Kreis,2020-05-24T03:30:00+02:00,1082,72,942
Rheinisch-Bergischer Kreis,2020-05-24T03:30:00+02:00,462,19,412
Rhein-Kreis Neuss,2020-05-24T03:30:00+02:00,678,20,632
Rhein-Sieg-Kreis,2020-05-24T03:30:00+02:00,1402,48,1121
Siegen-Wittgenstein (Kreis),2020-05-24T03:30:00+02:00,311,8,280
Soest (Kreis),2020-05-24T03:30:00+02:00,359,8,346
Solingen,2020-05-24T03:30:00+02:00,245,8,228
Steinfurt (Kreis),2020-05-24T03:30:00+02:00,1326,80,1192
Unna (Kreis),2020-05-24T03:30:00+02:00,671,34,526
Viersen (Kreis),2020-05-24T03:30:00+02:00,702,35,559
Warendorf (Kreis),2020-05-24T03:30:00+02:00,486,18,450
Wesel (Kreis),2020-05-24T03:30:00+02:00,604,26,498
Wuppertal,2020-05-24T03:30:00+02:00,910,81,734
