Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-03-18T23:59:00+01:00,18085,301,17112
Duisburg,5112,2021-03-18T23:59:00+01:00,20626,530,19112
Essen,5113,2021-03-18T23:59:00+01:00,19066,483,17141
Krefeld,5114,2021-03-18T23:59:00+01:00,7793,139,6933
Mönchengladbach,5116,2021-03-18T23:59:00+01:00,7879,204,7157
Mülheim / Ruhr,5117,2021-03-18T23:59:00+01:00,5884,198,5461
Oberhausen,5119,2021-03-18T23:59:00+01:00,7895,299,7197
Remscheid,5120,2021-03-18T23:59:00+01:00,3991,134,3469
Solingen,5122,2021-03-18T23:59:00+01:00,6744,149,6313
Wuppertal,5124,2021-03-18T23:59:00+01:00,13915,389,12672
Kleve (Kreis),5154,2021-03-18T23:59:00+01:00,7706,144,6400
Mettmann (Kreis),5158,2021-03-18T23:59:00+01:00,16656,618,15202
Rhein-Kreis Neuss,5162,2021-03-18T23:59:00+01:00,12425,274,11406
Viersen (Kreis),5166,2021-03-18T23:59:00+01:00,8539,259,7640
Wesel (Kreis),5170,2021-03-18T23:59:00+01:00,12530,229,11656
Bonn,5314,2021-03-18T23:59:00+01:00,9958,205,9346
Köln,5315,2021-03-18T23:59:00+01:00,36408,560,32341
Leverkusen,5316,2021-03-18T23:59:00+01:00,5134,77,4822
Aachen & Städteregion Aachen,5334,2021-03-18T23:59:00+01:00,19347,483,17983
Düren (Kreis),5358,2021-03-18T23:59:00+01:00,10067,235,9260
Rhein-Erft-Kreis,5362,2021-03-18T23:59:00+01:00,13244,333,12164
Euskirchen (Kreis),5366,2021-03-18T23:59:00+01:00,5406,205,5021
Heinsberg (Kreis),5370,2021-03-18T23:59:00+01:00,8776,327,8136
Oberbergischer Kreis,5374,2021-03-18T23:59:00+01:00,9411,173,8611
Rheinisch-Bergischer Kreis,5378,2021-03-18T23:59:00+01:00,7927,119,7464
Rhein-Sieg-Kreis,5382,2021-03-18T23:59:00+01:00,16677,424,15046
Bottrop,5512,2021-03-18T23:59:00+01:00,4081,94,3844
Gelsenkirchen,5513,2021-03-18T23:59:00+01:00,10828,346,9910
Münster,5515,2021-03-18T23:59:00+01:00,5918,101,5508
Borken (Kreis),5554,2021-03-18T23:59:00+01:00,9832,207,9038
Coesfeld (Kreis),5558,2021-03-18T23:59:00+01:00,4087,76,3803
Recklinghausen (Kreis),5562,2021-03-18T23:59:00+01:00,23330,730,21554
Steinfurt (Kreis),5566,2021-03-18T23:59:00+01:00,11324,275,10512
Warendorf (Kreis),5570,2021-03-18T23:59:00+01:00,8796,206,8227
Bielefeld,5711,2021-03-18T23:59:00+01:00,10433,287,9657
Gütersloh (Kreis),5754,2021-03-18T23:59:00+01:00,14366,274,13629
Herford (Kreis),5758,2021-03-18T23:59:00+01:00,8015,147,7371
Höxter (Kreis),5762,2021-03-18T23:59:00+01:00,4044,133,3768
Lippe (Kreis),5766,2021-03-18T23:59:00+01:00,12126,328,11218
Minden-Lübbecke (Kreis),5770,2021-03-18T23:59:00+01:00,10962,238,10116
Paderborn (Kreis),5774,2021-03-18T23:59:00+01:00,6903,139,6474
Bochum,5911,2021-03-18T23:59:00+01:00,11315,183,10310
Dortmund,5913,2021-03-18T23:59:00+01:00,19519,317,18350
Hagen,5914,2021-03-18T23:59:00+01:00,8174,256,7340
Hamm,5915,2021-03-18T23:59:00+01:00,7255,164,6793
Herne,5916,2021-03-18T23:59:00+01:00,6913,219,6046
Ennepe-Ruhr-Kreis,5954,2021-03-18T23:59:00+01:00,9715,299,8976
Hochsauerlandkreis,5958,2021-03-18T23:59:00+01:00,6585,163,6085
Märkischer Kreis,5962,2021-03-18T23:59:00+01:00,13511,290,10960
Olpe (Kreis),5966,2021-03-18T23:59:00+01:00,4042,138,3734
Siegen-Wittgenstein (Kreis),5970,2021-03-18T23:59:00+01:00,7646,126,6939
Soest (Kreis),5974,2021-03-18T23:59:00+01:00,6038,158,5495
Unna (Kreis),5978,2021-03-18T23:59:00+01:00,13564,425,12626
