Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-26T10:00:00+01:00,618,9
Bielefeld,2020-03-26T10:00:00+01:00,126,0
Bochum,2020-03-26T10:00:00+01:00,173,3
Bonn,2020-03-26T10:00:00+01:00,205,1
Borken (Kreis),2020-03-26T10:00:00+01:00,337,2
Bottrop,2020-03-26T10:00:00+01:00,25,0
Coesfeld (Kreis),2020-03-26T10:00:00+01:00,207,0
Dortmund,2020-03-26T10:00:00+01:00,205,0
Duisburg,2020-03-26T10:00:00+01:00,192,1
Düren (Kreis),2020-03-26T10:00:00+01:00,172,1
Düsseldorf,2020-03-26T10:00:00+01:00,290,2
Ennepe-Ruhr-Kreis,2020-03-26T10:00:00+01:00,91,1
Essen,2020-03-26T10:00:00+01:00,268,5
Euskirchen (Kreis),2020-03-26T10:00:00+01:00,64,0
Gelsenkirchen,2020-03-26T10:00:00+01:00,61,0
Gütersloh (Kreis),2020-03-26T10:00:00+01:00,277,1
Hagen,2020-03-26T10:00:00+01:00,55,1
Hamm,2020-03-26T10:00:00+01:00,109,1
Heinsberg (Kreis),2020-03-26T10:00:00+01:00,1090,27
Herford (Kreis),2020-03-26T10:00:00+01:00,118,0
Herne,2020-03-26T10:00:00+01:00,41,0
Hochsauerlandkreis (Kreis),2020-03-26T10:00:00+01:00,173,0
Höxter (Kreis),2020-03-26T10:00:00+01:00,33,0
Kleve (Kreis),2020-03-26T10:00:00+01:00,166,1
Köln,2020-03-26T10:00:00+01:00,980,3
Krefeld,2020-03-26T10:00:00+01:00,138,0
Leverkusen,2020-03-26T10:00:00+01:00,74,0
Lippe (Kreis),2020-03-26T10:00:00+01:00,204,1
Märkischer Kreis,2020-03-26T10:00:00+01:00,70,0
Mettmann (Kreis),2020-03-26T10:00:00+01:00,232,2
Minden-Lübbecke (Kreis),2020-03-26T10:00:00+01:00,207,0
Mönchengladbach,2020-03-26T10:00:00+01:00,123,0
Mülheim / Ruhr,2020-03-26T10:00:00+01:00,52,0
Münster,2020-03-26T10:00:00+01:00,352,0
Oberbergischer Kreis,2020-03-26T10:00:00+01:00,133,0
Oberhausen,2020-03-26T10:00:00+01:00,44,0
Olpe (Kreis),2020-03-26T10:00:00+01:00,36,0
Paderborn (Kreis),2020-03-26T10:00:00+01:00,105,0
Recklinghausen (Kreis),2020-03-26T10:00:00+01:00,222,0
Remscheid,2020-03-26T10:00:00+01:00,38,0
Rhein-Erft-Kreis,2020-03-26T10:00:00+01:00,258,1
Rheinisch-Bergischer Kreis,2020-03-26T10:00:00+01:00,141,1
Rhein-Kreis Neuss,2020-03-26T10:00:00+01:00,225,3
Rhein-Sieg-Kreis,2020-03-26T10:00:00+01:00,356,2
Siegen-Wittgenstein (Kreis),2020-03-26T10:00:00+01:00,60,0
Soest (Kreis),2020-03-26T10:00:00+01:00,121,0
Solingen,2020-03-26T10:00:00+01:00,66,0
Steinfurt (Kreis),2020-03-26T10:00:00+01:00,269,0
Unna (Kreis),2020-03-26T10:00:00+01:00,124,0
Viersen (Kreis),2020-03-26T10:00:00+01:00,181,1
Warendorf (Kreis),2020-03-26T10:00:00+01:00,244,1
Wesel (Kreis),2020-03-26T10:00:00+01:00,178,2
Wuppertal,2020-03-26T10:00:00+01:00,138,2
