Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-11T03:30:00+02:00,2170,100,1975
Bielefeld,2020-08-11T03:30:00+02:00,637,5,575
Bochum,2020-08-11T03:30:00+02:00,866,22,734
Bonn,2020-08-11T03:30:00+02:00,888,9,829
Borken (Kreis),2020-08-11T03:30:00+02:00,1187,38,1115
Bottrop,2020-08-11T03:30:00+02:00,283,7,248
Coesfeld (Kreis),2020-08-11T03:30:00+02:00,896,25,864
Dortmund,2020-08-11T03:30:00+02:00,1384,17,1166
Duisburg,2020-08-11T03:30:00+02:00,2109,64,1877
Düren (Kreis),2020-08-11T03:30:00+02:00,776,40,643
Düsseldorf,2020-08-11T03:30:00+02:00,2293,45,2126
Ennepe-Ruhr-Kreis,2020-08-11T03:30:00+02:00,625,14,558
Essen,2020-08-11T03:30:00+02:00,1354,45,1187
Euskirchen (Kreis),2020-08-11T03:30:00+02:00,639,25,566
Gelsenkirchen,2020-08-11T03:30:00+02:00,679,19,572
Gütersloh (Kreis),2020-08-11T03:30:00+02:00,2696,20,2590
Hagen,2020-08-11T03:30:00+02:00,541,13,468
Hamm,2020-08-11T03:30:00+02:00,622,36,554
Heinsberg (Kreis),2020-08-11T03:30:00+02:00,2004,87,1872
Herford (Kreis),2020-08-11T03:30:00+02:00,477,8,418
Herne,2020-08-11T03:30:00+02:00,356,5,298
Hochsauerlandkreis,2020-08-11T03:30:00+02:00,753,18,682
Höxter (Kreis),2020-08-11T03:30:00+02:00,384,18,357
Kleve (Kreis),2020-08-11T03:30:00+02:00,962,37,807
Köln,2020-08-11T03:30:00+02:00,3166,110,2863
Krefeld,2020-08-11T03:30:00+02:00,758,24,682
Leverkusen,2020-08-11T03:30:00+02:00,332,5,283
Lippe (Kreis),2020-08-11T03:30:00+02:00,824,30,750
Märkischer Kreis,2020-08-11T03:30:00+02:00,746,32,638
Mettmann (Kreis),2020-08-11T03:30:00+02:00,1481,82,1304
Minden-Lübbecke (Kreis),2020-08-11T03:30:00+02:00,626,13,488
Mönchengladbach,2020-08-11T03:30:00+02:00,868,47,735
Mülheim / Ruhr,2020-08-11T03:30:00+02:00,372,14,328
Münster,2020-08-11T03:30:00+02:00,833,13,739
Oberbergischer Kreis,2020-08-11T03:30:00+02:00,548,18,499
Oberhausen,2020-08-11T03:30:00+02:00,428,12,358
Olpe (Kreis),2020-08-11T03:30:00+02:00,692,56,621
Paderborn (Kreis),2020-08-11T03:30:00+02:00,780,34,709
Recklinghausen (Kreis),2020-08-11T03:30:00+02:00,1615,43,1464
Remscheid,2020-08-11T03:30:00+02:00,294,18,243
Rhein-Erft-Kreis,2020-08-11T03:30:00+02:00,1270,76,1114
Rheinisch-Bergischer Kreis,2020-08-11T03:30:00+02:00,546,22,488
Rhein-Kreis Neuss,2020-08-11T03:30:00+02:00,976,21,886
Rhein-Sieg-Kreis,2020-08-11T03:30:00+02:00,1648,52,1473
Siegen-Wittgenstein (Kreis),2020-08-11T03:30:00+02:00,432,8,337
Soest (Kreis),2020-08-11T03:30:00+02:00,454,8,397
Solingen,2020-08-11T03:30:00+02:00,419,12,339
Steinfurt (Kreis),2020-08-11T03:30:00+02:00,1492,86,1319
Unna (Kreis),2020-08-11T03:30:00+02:00,1010,39,777
Viersen (Kreis),2020-08-11T03:30:00+02:00,828,37,741
Warendorf (Kreis),2020-08-11T03:30:00+02:00,907,20,844
Wesel (Kreis),2020-08-11T03:30:00+02:00,1057,28,856
Wuppertal,2020-08-11T03:30:00+02:00,1191,86,1020
