Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-19T03:30:00+02:00,2229,101,2053
Bielefeld,2020-08-19T03:30:00+02:00,695,7,606
Bochum,2020-08-19T03:30:00+02:00,986,24,776
Bonn,2020-08-19T03:30:00+02:00,941,9,871
Borken (Kreis),2020-08-19T03:30:00+02:00,1232,38,1130
Bottrop,2020-08-19T03:30:00+02:00,292,7,272
Coesfeld (Kreis),2020-08-19T03:30:00+02:00,902,25,870
Dortmund,2020-08-19T03:30:00+02:00,1520,17,1256
Duisburg,2020-08-19T03:30:00+02:00,2273,66,2036
Düren (Kreis),2020-08-19T03:30:00+02:00,819,40,718
Düsseldorf,2020-08-19T03:30:00+02:00,2449,45,2258
Ennepe-Ruhr-Kreis,2020-08-19T03:30:00+02:00,682,15,594
Essen,2020-08-19T03:30:00+02:00,1493,46,1301
Euskirchen (Kreis),2020-08-19T03:30:00+02:00,658,26,589
Gelsenkirchen,2020-08-19T03:30:00+02:00,743,19,628
Gütersloh (Kreis),2020-08-19T03:30:00+02:00,2790,20,2672
Hagen,2020-08-19T03:30:00+02:00,600,13,502
Hamm,2020-08-19T03:30:00+02:00,665,36,577
Heinsberg (Kreis),2020-08-19T03:30:00+02:00,2026,87,1889
Herford (Kreis),2020-08-19T03:30:00+02:00,528,8,451
Herne,2020-08-19T03:30:00+02:00,414,5,331
Hochsauerlandkreis,2020-08-19T03:30:00+02:00,788,18,694
Höxter (Kreis),2020-08-19T03:30:00+02:00,395,18,362
Kleve (Kreis),2020-08-19T03:30:00+02:00,1009,37,895
Köln,2020-08-19T03:30:00+02:00,3323,110,3021
Krefeld,2020-08-19T03:30:00+02:00,780,24,715
Leverkusen,2020-08-19T03:30:00+02:00,371,5,307
Lippe (Kreis),2020-08-19T03:30:00+02:00,865,30,778
Märkischer Kreis,2020-08-19T03:30:00+02:00,838,32,663
Mettmann (Kreis),2020-08-19T03:30:00+02:00,1614,83,1412
Minden-Lübbecke (Kreis),2020-08-19T03:30:00+02:00,672,13,586
Mönchengladbach,2020-08-19T03:30:00+02:00,923,48,784
Mülheim / Ruhr,2020-08-19T03:30:00+02:00,410,14,361
Münster,2020-08-19T03:30:00+02:00,884,13,797
Oberbergischer Kreis,2020-08-19T03:30:00+02:00,580,18,517
Oberhausen,2020-08-19T03:30:00+02:00,464,12,398
Olpe (Kreis),2020-08-19T03:30:00+02:00,724,56,637
Paderborn (Kreis),2020-08-19T03:30:00+02:00,801,34,730
Recklinghausen (Kreis),2020-08-19T03:30:00+02:00,1736,43,1543
Remscheid,2020-08-19T03:30:00+02:00,318,18,266
Rhein-Erft-Kreis,2020-08-19T03:30:00+02:00,1353,78,1150
Rheinisch-Bergischer Kreis,2020-08-19T03:30:00+02:00,576,23,498
Rhein-Kreis Neuss,2020-08-19T03:30:00+02:00,1060,23,946
Rhein-Sieg-Kreis,2020-08-19T03:30:00+02:00,1718,53,1568
Siegen-Wittgenstein (Kreis),2020-08-19T03:30:00+02:00,494,8,357
Soest (Kreis),2020-08-19T03:30:00+02:00,474,8,407
Solingen,2020-08-19T03:30:00+02:00,432,12,374
Steinfurt (Kreis),2020-08-19T03:30:00+02:00,1540,87,1362
Unna (Kreis),2020-08-19T03:30:00+02:00,1090,40,851
Viersen (Kreis),2020-08-19T03:30:00+02:00,857,37,754
Warendorf (Kreis),2020-08-19T03:30:00+02:00,930,20,860
Wesel (Kreis),2020-08-19T03:30:00+02:00,1119,28,916
Wuppertal,2020-08-19T03:30:00+02:00,1300,86,1084
