Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-04-28T03:30:00+02:00,1842,79,1435
Bielefeld,2020-04-28T03:30:00+02:00,373,3,456
Bochum,2020-04-28T03:30:00+02:00,423,16,339
Bonn,2020-04-28T03:30:00+02:00,631,6,445
Borken (Kreis),2020-04-28T03:30:00+02:00,878,35,683
Bottrop,2020-04-28T03:30:00+02:00,144,6,80
Coesfeld (Kreis),2020-04-28T03:30:00+02:00,498,21,402
Dortmund,2020-04-28T03:30:00+02:00,663,6,538
Duisburg,2020-04-28T03:30:00+02:00,801,18,568
Düren (Kreis),2020-04-28T03:30:00+02:00,544,28,394
Düsseldorf,2020-04-28T03:30:00+02:00,1002,24,737
Ennepe-Ruhr-Kreis,2020-04-28T03:30:00+02:00,376,11,301
Essen,2020-04-28T03:30:00+02:00,720,32,524
Euskirchen (Kreis),2020-04-28T03:30:00+02:00,341,13,193
Gelsenkirchen,2020-04-28T03:30:00+02:00,325,8,209
Gütersloh (Kreis),2020-04-28T03:30:00+02:00,587,17,382
Hagen,2020-04-28T03:30:00+02:00,247,6,
Hamm,2020-04-28T03:30:00+02:00,431,31,
Heinsberg (Kreis),2020-04-28T03:30:00+02:00,1742,60,1434
Herford (Kreis),2020-04-28T03:30:00+02:00,317,5,234
Herne,2020-04-28T03:30:00+02:00,158,1,101
Hochsauerlandkreis (Kreis),2020-04-28T03:30:00+02:00,566,15,402
Höxter (Kreis),2020-04-28T03:30:00+02:00,281,6,181
Kleve (Kreis),2020-04-28T03:30:00+02:00,565,21,338
Köln,2020-04-28T03:30:00+02:00,2251,85,1965
Krefeld,2020-04-28T03:30:00+02:00,475,17,317
Leverkusen,2020-04-28T03:30:00+02:00,192,3,151
Lippe (Kreis),2020-04-28T03:30:00+02:00,699,28,456
Märkischer Kreis,2020-04-28T03:30:00+02:00,537,20,313
Mettmann (Kreis),2020-04-28T03:30:00+02:00,819,56,526
Minden-Lübbecke (Kreis),2020-04-28T03:30:00+02:00,414,7,320
Mönchengladbach,2020-04-28T03:30:00+02:00,468,33,315
Mülheim / Ruhr,2020-04-28T03:30:00+02:00,168,5,113
Münster,2020-04-28T03:30:00+02:00,628,13,557
Oberbergischer Kreis,2020-04-28T03:30:00+02:00,448,12,312
Oberhausen,2020-04-28T03:30:00+02:00,176,1,145
Olpe (Kreis),2020-04-28T03:30:00+02:00,549,30,383
Paderborn (Kreis),2020-04-28T03:30:00+02:00,571,26,356
Recklinghausen (Kreis),2020-04-28T03:30:00+02:00,1007,23,695
Remscheid,2020-04-28T03:30:00+02:00,210,14,168
Rhein-Erft-Kreis,2020-04-28T03:30:00+02:00,949,55,547
Rheinisch-Bergischer Kreis,2020-04-28T03:30:00+02:00,425,14,307
Rhein-Kreis Neuss,2020-04-28T03:30:00+02:00,579,19,492
Rhein-Sieg-Kreis,2020-04-28T03:30:00+02:00,1146,27,840
Siegen-Wittgenstein (Kreis),2020-04-28T03:30:00+02:00,272,9,
Soest (Kreis),2020-04-28T03:30:00+02:00,339,4,279
Solingen,2020-04-28T03:30:00+02:00,224,7,168
Steinfurt (Kreis),2020-04-28T03:30:00+02:00,1230,57,824
Unna (Kreis),2020-04-28T03:30:00+02:00,591,25,
Viersen (Kreis),2020-04-28T03:30:00+02:00,602,27,347
Warendorf (Kreis),2020-04-28T03:30:00+02:00,451,10,353
Wesel (Kreis),2020-04-28T03:30:00+02:00,494,20,329
Wuppertal,2020-04-28T03:30:00+02:00,791,56,397
