Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-20T03:30:00+02:00,1632,63,1201
Bielefeld,2020-04-20T03:30:00+02:00,338,2,214
Bochum,2020-04-20T03:30:00+02:00,400,15,290
Bonn,2020-04-20T03:30:00+02:00,573,5,355
Borken (Kreis),2020-04-20T03:30:00+02:00,835,26,556
Bottrop,2020-04-20T03:30:00+02:00,112,5,54
Coesfeld (Kreis),2020-04-20T03:30:00+02:00,474,16,333
Dortmund,2020-04-20T03:30:00+02:00,600,5,393
Duisburg,2020-04-20T03:30:00+02:00,632,9,428
Düren (Kreis),2020-04-20T03:30:00+02:00,511,23,296
Düsseldorf,2020-04-20T03:30:00+02:00,909,14,572
Ennepe-Ruhr-Kreis,2020-04-20T03:30:00+02:00,357,7,253
Essen,2020-04-20T03:30:00+02:00,540,28,395
Euskirchen (Kreis),2020-04-20T03:30:00+02:00,308,11,140
Gelsenkirchen,2020-04-20T03:30:00+02:00,246,8,130
Gütersloh (Kreis),2020-04-20T03:30:00+02:00,517,15,407
Hagen,2020-04-20T03:30:00+02:00,199,5,114
Hamm,2020-04-20T03:30:00+02:00,379,21,180
Heinsberg (Kreis),2020-04-20T03:30:00+02:00,1684,53,1255
Herford (Kreis),2020-04-20T03:30:00+02:00,292,2,165
Herne,2020-04-20T03:30:00+02:00,130,1,67
Hochsauerlandkreis (Kreis),2020-04-20T03:30:00+02:00,549,13,317
Höxter (Kreis),2020-04-20T03:30:00+02:00,254,3,116
Kleve (Kreis),2020-04-20T03:30:00+02:00,497,14,255
Köln,2020-04-20T03:30:00+02:00,2180,58,1647
Krefeld,2020-04-20T03:30:00+02:00,367,8,276
Leverkusen,2020-04-20T03:30:00+02:00,176,3,124
Lippe (Kreis),2020-04-20T03:30:00+02:00,604,18,335
Märkischer Kreis,2020-04-20T03:30:00+02:00,463,16,191
Mettmann (Kreis),2020-04-20T03:30:00+02:00,766,46,552
Minden-Lübbecke (Kreis),2020-04-20T03:30:00+02:00,396,4,262
Mönchengladbach,2020-04-20T03:30:00+02:00,422,25,243
Mülheim / Ruhr,2020-04-20T03:30:00+02:00,141,4,97
Münster,2020-04-20T03:30:00+02:00,610,8,503
Oberbergischer Kreis,2020-04-20T03:30:00+02:00,394,10,254
Oberhausen,2020-04-20T03:30:00+02:00,158,1,93
Olpe (Kreis),2020-04-20T03:30:00+02:00,483,18,261
Paderborn (Kreis),2020-04-20T03:30:00+02:00,524,22,182
Recklinghausen (Kreis),2020-04-20T03:30:00+02:00,814,10,531
Remscheid,2020-04-20T03:30:00+02:00,196,3,106
Rhein-Erft-Kreis,2020-04-20T03:30:00+02:00,867,40,398
Rheinisch-Bergischer Kreis,2020-04-20T03:30:00+02:00,397,6,236
Rhein-Kreis Neuss,2020-04-20T03:30:00+02:00,540,16,444
Rhein-Sieg-Kreis,2020-04-20T03:30:00+02:00,1025,22,628
Siegen-Wittgenstein (Kreis),2020-04-20T03:30:00+02:00,246,6,105
Soest (Kreis),2020-04-20T03:30:00+02:00,332,4,223
Solingen,2020-04-20T03:30:00+02:00,203,3,131
Steinfurt (Kreis),2020-04-20T03:30:00+02:00,1096,43,531
Unna (Kreis),2020-04-20T03:30:00+02:00,511,17,253
Viersen (Kreis),2020-04-20T03:30:00+02:00,498,25,236
Warendorf (Kreis),2020-04-20T03:30:00+02:00,421,7,309
Wesel (Kreis),2020-04-20T03:30:00+02:00,437,14,288
Wuppertal,2020-04-20T03:30:00+02:00,700,36,309
