Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-03-10T23:59:00+01:00,17621,293,16782
Duisburg,5112,2021-03-10T23:59:00+01:00,19886,527,18593
Essen,5113,2021-03-10T23:59:00+01:00,18458,477,16782
Krefeld,5114,2021-03-10T23:59:00+01:00,7498,136,6789
Mönchengladbach,5116,2021-03-10T23:59:00+01:00,7663,201,7065
Mülheim / Ruhr,5117,2021-03-10T23:59:00+01:00,5693,198,5369
Oberhausen,5119,2021-03-10T23:59:00+01:00,7659,292,7057
Remscheid,5120,2021-03-10T23:59:00+01:00,3835,132,3418
Solingen,5122,2021-03-10T23:59:00+01:00,6532,146,6125
Wuppertal,5124,2021-03-10T23:59:00+01:00,13310,384,12339
Kleve (Kreis),5154,2021-03-10T23:59:00+01:00,7230,139,6139
Mettmann (Kreis),5158,2021-03-10T23:59:00+01:00,16128,609,14822
Rhein-Kreis Neuss,5162,2021-03-10T23:59:00+01:00,11913,269,11067
Viersen (Kreis),5166,2021-03-10T23:59:00+01:00,8301,255,7480
Wesel (Kreis),5170,2021-03-10T23:59:00+01:00,12061,218,11396
Bonn,5314,2021-03-10T23:59:00+01:00,9721,199,9180
Köln,5315,2021-03-10T23:59:00+01:00,34994,548,31498
Leverkusen,5316,2021-03-10T23:59:00+01:00,4967,76,4728
Aachen & Städteregion Aachen,5334,2021-03-10T23:59:00+01:00,18650,474,17512
Düren (Kreis),5358,2021-03-10T23:59:00+01:00,9644,231,8879
Rhein-Erft-Kreis,5362,2021-03-10T23:59:00+01:00,12637,326,11764
Euskirchen (Kreis),5366,2021-03-10T23:59:00+01:00,5264,199,4906
Heinsberg (Kreis),5370,2021-03-10T23:59:00+01:00,8575,319,8004
Oberbergischer Kreis,5374,2021-03-10T23:59:00+01:00,8972,165,8308
Rheinisch-Bergischer Kreis,5378,2021-03-10T23:59:00+01:00,7656,119,7288
Rhein-Sieg-Kreis,5382,2021-03-10T23:59:00+01:00,16087,412,14764
Bottrop,5512,2021-03-10T23:59:00+01:00,3971,90,3781
Gelsenkirchen,5513,2021-03-10T23:59:00+01:00,10457,340,9665
Münster,5515,2021-03-10T23:59:00+01:00,5670,101,5350
Borken (Kreis),5554,2021-03-10T23:59:00+01:00,9377,205,8721
Coesfeld (Kreis),5558,2021-03-10T23:59:00+01:00,3957,75,3734
Recklinghausen (Kreis),5562,2021-03-10T23:59:00+01:00,22667,716,21170
Steinfurt (Kreis),5566,2021-03-10T23:59:00+01:00,10899,274,10216
Warendorf (Kreis),5570,2021-03-10T23:59:00+01:00,8552,202,8099
Bielefeld,5711,2021-03-10T23:59:00+01:00,10237,285,9483
Gütersloh (Kreis),5754,2021-03-10T23:59:00+01:00,14055,267,13387
Herford (Kreis),5758,2021-03-10T23:59:00+01:00,7639,144,7157
Höxter (Kreis),5762,2021-03-10T23:59:00+01:00,3964,130,3689
Lippe (Kreis),5766,2021-03-10T23:59:00+01:00,11636,324,11018
Minden-Lübbecke (Kreis),5770,2021-03-10T23:59:00+01:00,10492,236,9865
Paderborn (Kreis),5774,2021-03-10T23:59:00+01:00,6659,138,6315
Bochum,5911,2021-03-10T23:59:00+01:00,10918,174,10019
Dortmund,5913,2021-03-10T23:59:00+01:00,18872,313,17923
Hagen,5914,2021-03-10T23:59:00+01:00,7908,251,7190
Hamm,5915,2021-03-10T23:59:00+01:00,7043,159,6563
Herne,5916,2021-03-10T23:59:00+01:00,6615,214,5927
Ennepe-Ruhr-Kreis,5954,2021-03-10T23:59:00+01:00,9333,294,8687
Hochsauerlandkreis,5958,2021-03-10T23:59:00+01:00,6336,153,5853
Märkischer Kreis,5962,2021-03-10T23:59:00+01:00,12655,279,10570
Olpe (Kreis),5966,2021-03-10T23:59:00+01:00,3921,137,3605
Siegen-Wittgenstein (Kreis),5970,2021-03-10T23:59:00+01:00,7228,122,6634
Soest (Kreis),5974,2021-03-10T23:59:00+01:00,5745,153,5278
Unna (Kreis),5978,2021-03-10T23:59:00+01:00,13228,414,12349
