Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-26T03:30:00+02:00,2310,102,2120
Bielefeld,2020-08-26T03:30:00+02:00,721,7,650
Bochum,2020-08-26T03:30:00+02:00,1020,27,863
Bonn,2020-08-26T03:30:00+02:00,995,9,928
Borken (Kreis),2020-08-26T03:30:00+02:00,1250,38,1151
Bottrop,2020-08-26T03:30:00+02:00,298,7,278
Coesfeld (Kreis),2020-08-26T03:30:00+02:00,909,25,878
Dortmund,2020-08-26T03:30:00+02:00,1593,19,1356
Duisburg,2020-08-26T03:30:00+02:00,2378,67,2153
Düren (Kreis),2020-08-26T03:30:00+02:00,850,40,772
Düsseldorf,2020-08-26T03:30:00+02:00,2578,45,2385
Ennepe-Ruhr-Kreis,2020-08-26T03:30:00+02:00,713,15,633
Essen,2020-08-26T03:30:00+02:00,1565,46,1415
Euskirchen (Kreis),2020-08-26T03:30:00+02:00,677,26,608
Gelsenkirchen,2020-08-26T03:30:00+02:00,793,20,661
Gütersloh (Kreis),2020-08-26T03:30:00+02:00,2831,20,2751
Hagen,2020-08-26T03:30:00+02:00,633,14,530
Hamm,2020-08-26T03:30:00+02:00,695,37,603
Heinsberg (Kreis),2020-08-26T03:30:00+02:00,2055,90,1903
Herford (Kreis),2020-08-26T03:30:00+02:00,545,8,513
Herne,2020-08-26T03:30:00+02:00,438,5,376
Hochsauerlandkreis,2020-08-26T03:30:00+02:00,810,18,735
Höxter (Kreis),2020-08-26T03:30:00+02:00,401,18,371
Kleve (Kreis),2020-08-26T03:30:00+02:00,1030,37,954
Köln,2020-08-26T03:30:00+02:00,3523,113,3167
Krefeld,2020-08-26T03:30:00+02:00,812,24,733
Leverkusen,2020-08-26T03:30:00+02:00,399,6,317
Lippe (Kreis),2020-08-26T03:30:00+02:00,883,31,800
Märkischer Kreis,2020-08-26T03:30:00+02:00,899,32,721
Mettmann (Kreis),2020-08-26T03:30:00+02:00,1689,83,1516
Minden-Lübbecke (Kreis),2020-08-26T03:30:00+02:00,712,13,586
Mönchengladbach,2020-08-26T03:30:00+02:00,949,49,826
Mülheim / Ruhr,2020-08-26T03:30:00+02:00,438,14,396
Münster,2020-08-26T03:30:00+02:00,911,13,857
Oberbergischer Kreis,2020-08-26T03:30:00+02:00,608,18,534
Oberhausen,2020-08-26T03:30:00+02:00,488,13,444
Olpe (Kreis),2020-08-26T03:30:00+02:00,743,56,654
Paderborn (Kreis),2020-08-26T03:30:00+02:00,820,34,748
Recklinghausen (Kreis),2020-08-26T03:30:00+02:00,1800,43,1633
Remscheid,2020-08-26T03:30:00+02:00,340,18,289
Rhein-Erft-Kreis,2020-08-26T03:30:00+02:00,1402,78,1193
Rheinisch-Bergischer Kreis,2020-08-26T03:30:00+02:00,616,22,534
Rhein-Kreis Neuss,2020-08-26T03:30:00+02:00,1112,23,1009
Rhein-Sieg-Kreis,2020-08-26T03:30:00+02:00,1791,53,1767
Siegen-Wittgenstein (Kreis),2020-08-26T03:30:00+02:00,519,8,420
Soest (Kreis),2020-08-26T03:30:00+02:00,486,8,459
Solingen,2020-08-26T03:30:00+02:00,456,13,397
Steinfurt (Kreis),2020-08-26T03:30:00+02:00,1579,88,1423
Unna (Kreis),2020-08-26T03:30:00+02:00,1126,40,965
Viersen (Kreis),2020-08-26T03:30:00+02:00,871,37,801
Warendorf (Kreis),2020-08-26T03:30:00+02:00,945,20,891
Wesel (Kreis),2020-08-26T03:30:00+02:00,1175,28,1020
Wuppertal,2020-08-26T03:30:00+02:00,1379,86,1197
