Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-09-02T03:30:00+02:00,2359,103,2192
Bielefeld,2020-09-02T03:30:00+02:00,750,7,688
Bochum,2020-09-02T03:30:00+02:00,1053,27,964
Bonn,2020-09-02T03:30:00+02:00,1029,9,973
Borken (Kreis),2020-09-02T03:30:00+02:00,1261,38,1181
Bottrop,2020-09-02T03:30:00+02:00,308,7,287
Coesfeld (Kreis),2020-09-02T03:30:00+02:00,913,25,881
Dortmund,2020-09-02T03:30:00+02:00,1653,20,1473
Duisburg,2020-09-02T03:30:00+02:00,2443,69,2260
Düren (Kreis),2020-09-02T03:30:00+02:00,886,40,790
Düsseldorf,2020-09-02T03:30:00+02:00,2688,47,2524
Ennepe-Ruhr-Kreis,2020-09-02T03:30:00+02:00,744,15,668
Essen,2020-09-02T03:30:00+02:00,1618,46,1484
Euskirchen (Kreis),2020-09-02T03:30:00+02:00,701,26,633
Gelsenkirchen,2020-09-02T03:30:00+02:00,833,20,727
Gütersloh (Kreis),2020-09-02T03:30:00+02:00,2857,20,2792
Hagen,2020-09-02T03:30:00+02:00,666,14,604
Hamm,2020-09-02T03:30:00+02:00,705,37,645
Heinsberg (Kreis),2020-09-02T03:30:00+02:00,2075,90,1922
Herford (Kreis),2020-09-02T03:30:00+02:00,554,8,534
Herne,2020-09-02T03:30:00+02:00,449,6,412
Hochsauerlandkreis,2020-09-02T03:30:00+02:00,824,18,775
Höxter (Kreis),2020-09-02T03:30:00+02:00,410,18,377
Kleve (Kreis),2020-09-02T03:30:00+02:00,1042,37,989
Köln,2020-09-02T03:30:00+02:00,3708,113,3304
Krefeld,2020-09-02T03:30:00+02:00,845,24,754
Leverkusen,2020-09-02T03:30:00+02:00,427,7,331
Lippe (Kreis),2020-09-02T03:30:00+02:00,897,31,826
Märkischer Kreis,2020-09-02T03:30:00+02:00,936,32,798
Mettmann (Kreis),2020-09-02T03:30:00+02:00,1715,83,1587
Minden-Lübbecke (Kreis),2020-09-02T03:30:00+02:00,724,13,586
Mönchengladbach,2020-09-02T03:30:00+02:00,981,50,865
Mülheim / Ruhr,2020-09-02T03:30:00+02:00,468,14,421
Münster,2020-09-02T03:30:00+02:00,931,13,879
Oberbergischer Kreis,2020-09-02T03:30:00+02:00,628,18,566
Oberhausen,2020-09-02T03:30:00+02:00,514,13,461
Olpe (Kreis),2020-09-02T03:30:00+02:00,752,56,675
Paderborn (Kreis),2020-09-02T03:30:00+02:00,836,34,756
Recklinghausen (Kreis),2020-09-02T03:30:00+02:00,1858,44,1709
Remscheid,2020-09-02T03:30:00+02:00,357,18,300
Rhein-Erft-Kreis,2020-09-02T03:30:00+02:00,1488,78,1265
Rheinisch-Bergischer Kreis,2020-09-02T03:30:00+02:00,630,22,561
Rhein-Kreis Neuss,2020-09-02T03:30:00+02:00,1157,25,1058
Rhein-Sieg-Kreis,2020-09-02T03:30:00+02:00,1855,53,1708
Siegen-Wittgenstein (Kreis),2020-09-02T03:30:00+02:00,529,8,468
Soest (Kreis),2020-09-02T03:30:00+02:00,492,8,470
Solingen,2020-09-02T03:30:00+02:00,477,13,421
Steinfurt (Kreis),2020-09-02T03:30:00+02:00,1584,88,1463
Unna (Kreis),2020-09-02T03:30:00+02:00,1159,41,1013
Viersen (Kreis),2020-09-02T03:30:00+02:00,917,37,818
Warendorf (Kreis),2020-09-02T03:30:00+02:00,952,20,909
Wesel (Kreis),2020-09-02T03:30:00+02:00,1199,28,1068
Wuppertal,2020-09-02T03:30:00+02:00,1425,86,1269
