Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-02-28T23:59:00+01:00,17172,275,16270
Duisburg,5112,2021-02-28T23:59:00+01:00,19204,520,17994
Essen,5113,2021-02-28T23:59:00+01:00,18050,454,16364
Krefeld,5114,2021-02-28T23:59:00+01:00,7239,131,6576
Mönchengladbach,5116,2021-02-28T23:59:00+01:00,7498,193,6905
Mülheim / Ruhr,5117,2021-02-28T23:59:00+01:00,5563,194,5255
Oberhausen,5119,2021-02-28T23:59:00+01:00,7395,278,6859
Remscheid,5120,2021-02-28T23:59:00+01:00,3651,132,3355
Solingen,5122,2021-02-28T23:59:00+01:00,6331,143,5857
Wuppertal,5124,2021-02-28T23:59:00+01:00,12840,374,11924
Kleve (Kreis),5154,2021-02-28T23:59:00+01:00,6806,133,5859
Mettmann (Kreis),5158,2021-02-28T23:59:00+01:00,15599,595,14212
Rhein-Kreis Neuss,5162,2021-02-28T23:59:00+01:00,11533,262,10726
Viersen (Kreis),5166,2021-02-28T23:59:00+01:00,8057,243,7235
Wesel (Kreis),5170,2021-02-28T23:59:00+01:00,11683,208,11050
Bonn,5314,2021-02-28T23:59:00+01:00,9463,186,8933
Köln,5315,2021-02-28T23:59:00+01:00,33859,530,30297
Leverkusen,5316,2021-02-28T23:59:00+01:00,4832,75,4556
Aachen & Städteregion Aachen,5334,2021-02-28T23:59:00+01:00,17968,465,17097
Düren (Kreis),5358,2021-02-28T23:59:00+01:00,9156,229,8487
Rhein-Erft-Kreis,5362,2021-02-28T23:59:00+01:00,12135,312,11223
Euskirchen (Kreis),5366,2021-02-28T23:59:00+01:00,5150,193,4763
Heinsberg (Kreis),5370,2021-02-28T23:59:00+01:00,8363,312,7778
Oberbergischer Kreis,5374,2021-02-28T23:59:00+01:00,8514,157,7953
Rheinisch-Bergischer Kreis,5378,2021-02-28T23:59:00+01:00,7430,116,7017
Rhein-Sieg-Kreis,5382,2021-02-28T23:59:00+01:00,15607,389,14186
Bottrop,5512,2021-02-28T23:59:00+01:00,3911,84,3687
Gelsenkirchen,5513,2021-02-28T23:59:00+01:00,10092,326,9370
Münster,5515,2021-02-28T23:59:00+01:00,5467,101,5212
Borken (Kreis),5554,2021-02-28T23:59:00+01:00,8986,200,8327
Coesfeld (Kreis),5558,2021-02-28T23:59:00+01:00,3853,75,3634
Recklinghausen (Kreis),5562,2021-02-28T23:59:00+01:00,22157,677,20575
Steinfurt (Kreis),5566,2021-02-28T23:59:00+01:00,10564,262,9918
Warendorf (Kreis),5570,2021-02-28T23:59:00+01:00,8356,201,7861
Bielefeld,5711,2021-02-28T23:59:00+01:00,10066,272,9302
Gütersloh (Kreis),5754,2021-02-28T23:59:00+01:00,13711,259,13094
Herford (Kreis),5758,2021-02-28T23:59:00+01:00,7379,138,6730
Höxter (Kreis),5762,2021-02-28T23:59:00+01:00,3883,125,3580
Lippe (Kreis),5766,2021-02-28T23:59:00+01:00,11371,314,10794
Minden-Lübbecke (Kreis),5770,2021-02-28T23:59:00+01:00,10156,231,9577
Paderborn (Kreis),5774,2021-02-28T23:59:00+01:00,6457,135,6116
Bochum,5911,2021-02-28T23:59:00+01:00,10621,163,9674
Dortmund,5913,2021-02-28T23:59:00+01:00,18363,306,17377
Hagen,5914,2021-02-28T23:59:00+01:00,7605,223,6758
Hamm,5915,2021-02-28T23:59:00+01:00,6770,160,6332
Herne,5916,2021-02-28T23:59:00+01:00,6333,201,5752
Ennepe-Ruhr-Kreis,5954,2021-02-28T23:59:00+01:00,9041,281,8287
Hochsauerlandkreis,5958,2021-02-28T23:59:00+01:00,6066,140,5534
Märkischer Kreis,5962,2021-02-28T23:59:00+01:00,11850,250,10103
Olpe (Kreis),5966,2021-02-28T23:59:00+01:00,3777,134,3444
Siegen-Wittgenstein (Kreis),5970,2021-02-28T23:59:00+01:00,6804,117,6356
Soest (Kreis),5974,2021-02-28T23:59:00+01:00,5468,148,5023
Unna (Kreis),5978,2021-02-28T23:59:00+01:00,12926,406,11956
