Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-01-13T23:59:00+01:00,14484,157,11996
Duisburg,5112,2021-01-13T23:59:00+01:00,16575,417,15051
Essen,5113,2021-01-13T23:59:00+01:00,14685,254,11080
Krefeld,5114,2021-01-13T23:59:00+01:00,6002,83,4551
Mönchengladbach,5116,2021-01-13T23:59:00+01:00,6340,142,5489
Mülheim / Ruhr,5117,2021-01-13T23:59:00+01:00,4760,144,4331
Oberhausen,5119,2021-01-13T23:59:00+01:00,6127,180,5315
Remscheid,5120,2021-01-13T23:59:00+01:00,3103,110,2755
Solingen,5122,2021-01-13T23:59:00+01:00,5236,118,4774
Wuppertal,5124,2021-01-13T23:59:00+01:00,10733,270,9328
Kleve (Kreis),5154,2021-01-13T23:59:00+01:00,5312,102,4161
Mettmann (Kreis),5158,2021-01-13T23:59:00+01:00,12234,366,10085
Rhein-Kreis Neuss,5162,2021-01-13T23:59:00+01:00,9382,168,6943
Viersen (Kreis),5166,2021-01-13T23:59:00+01:00,6763,177,4723
Wesel (Kreis),5170,2021-01-13T23:59:00+01:00,9685,102,8669
Bonn,5314,2021-01-13T23:59:00+01:00,7774,101,6960
Köln,5315,2021-01-13T23:59:00+01:00,28052,388,22832
Leverkusen,5316,2021-01-13T23:59:00+01:00,3897,42,3445
Aachen & Städteregion Aachen,5334,2021-01-13T23:59:00+01:00,15655,344,14309
Düren (Kreis),5358,2021-01-13T23:59:00+01:00,7614,185,6963
Rhein-Erft-Kreis,5362,2021-01-13T23:59:00+01:00,9900,222,8865
Euskirchen (Kreis),5366,2021-01-13T23:59:00+01:00,4185,126,3714
Heinsberg (Kreis),5370,2021-01-13T23:59:00+01:00,6895,207,5659
Oberbergischer Kreis,5374,2021-01-13T23:59:00+01:00,6740,112,5606
Rheinisch-Bergischer Kreis,5378,2021-01-13T23:59:00+01:00,5999,89,5376
Rhein-Sieg-Kreis,5382,2021-01-13T23:59:00+01:00,12962,243,9984
Bottrop,5512,2021-01-13T23:59:00+01:00,3188,34,2742
Gelsenkirchen,5513,2021-01-13T23:59:00+01:00,8554,155,6923
Münster,5515,2021-01-13T23:59:00+01:00,4825,68,4284
Borken (Kreis),5554,2021-01-13T23:59:00+01:00,7436,153,6729
Coesfeld (Kreis),5558,2021-01-13T23:59:00+01:00,3315,48,2945
Recklinghausen (Kreis),5562,2021-01-13T23:59:00+01:00,18296,382,15683
Steinfurt (Kreis),5566,2021-01-13T23:59:00+01:00,8498,187,7532
Warendorf (Kreis),5570,2021-01-13T23:59:00+01:00,6828,128,5648
Bielefeld,5711,2021-01-13T23:59:00+01:00,8530,160,6089
Gütersloh (Kreis),5754,2021-01-13T23:59:00+01:00,11975,186,10700
Herford (Kreis),5758,2021-01-13T23:59:00+01:00,6136,85,4966
Höxter (Kreis),5762,2021-01-13T23:59:00+01:00,2885,57,2368
Lippe (Kreis),5766,2021-01-13T23:59:00+01:00,9529,192,8655
Minden-Lübbecke (Kreis),5770,2021-01-13T23:59:00+01:00,8350,143,7254
Paderborn (Kreis),5774,2021-01-13T23:59:00+01:00,5253,114,4638
Bochum,5911,2021-01-13T23:59:00+01:00,8958,105,6712
Dortmund,5913,2021-01-13T23:59:00+01:00,15470,203,13939
Hagen,5914,2021-01-13T23:59:00+01:00,5818,131,4945
Hamm,5915,2021-01-13T23:59:00+01:00,5449,118,4905
Herne,5916,2021-01-13T23:59:00+01:00,5280,110,4467
Ennepe-Ruhr-Kreis,5954,2021-01-13T23:59:00+01:00,7064,185,6261
Hochsauerlandkreis,5958,2021-01-13T23:59:00+01:00,4502,79,4108
Märkischer Kreis,5962,2021-01-13T23:59:00+01:00,9004,162,6899
Olpe (Kreis),5966,2021-01-13T23:59:00+01:00,3040,108,2672
Siegen-Wittgenstein (Kreis),5970,2021-01-13T23:59:00+01:00,5410,73,4775
Soest (Kreis),5974,2021-01-13T23:59:00+01:00,4056,93,3473
Unna (Kreis),5978,2021-01-13T23:59:00+01:00,10829,251,9718
