Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-10T11:30:00+02:00,1465,48,826
Bielefeld,2020-04-10T11:30:00+02:00,276,1,122
Bochum,2020-04-10T11:30:00+02:00,348,12,203
Bonn,2020-04-10T11:30:00+02:00,474,2,116
Borken (Kreis),2020-04-10T11:30:00+02:00,753,19,323
Bottrop,2020-04-10T11:30:00+02:00,82,3,32
Coesfeld (Kreis),2020-04-10T11:30:00+02:00,439,11,211
Dortmund,2020-04-10T11:30:00+02:00,507,3,231
Duisburg,2020-04-10T11:30:00+02:00,525,6,241
Düren (Kreis),2020-04-10T11:30:00+02:00,420,12,197
Düsseldorf,2020-04-10T11:30:00+02:00,743,9,316
Ennepe-Ruhr-Kreis,2020-04-10T11:30:00+02:00,309,3,170
Essen,2020-04-10T11:30:00+02:00,593,21,269
Euskirchen (Kreis),2020-04-10T11:30:00+02:00,236,5,92
Gelsenkirchen,2020-04-10T11:30:00+02:00,181,4,43
Gütersloh (Kreis),2020-04-10T11:30:00+02:00,531,9,305
Hagen,2020-04-10T11:30:00+02:00,135,2,70
Hamm,2020-04-10T11:30:00+02:00,284,6,109
Heinsberg (Kreis),2020-04-10T11:30:00+02:00,1537,48,974
Herford (Kreis),2020-04-10T11:30:00+02:00,267,3,118
Herne,2020-04-10T11:30:00+02:00,90,0,47
Hochsauerlandkreis (Kreis),2020-04-10T11:30:00+02:00,428,7,200
Höxter (Kreis),2020-04-10T11:30:00+02:00,167,1,57
Kleve (Kreis),2020-04-10T11:30:00+02:00,335,6,159
Köln,2020-04-10T11:30:00+02:00,1912,39,1083
Krefeld,2020-04-10T11:30:00+02:00,315,5,182
Leverkusen,2020-04-10T11:30:00+02:00,84,2,75
Lippe (Kreis),2020-04-10T11:30:00+02:00,546,8,159
Märkischer Kreis,2020-04-10T11:30:00+02:00,264,4,54
Mettmann (Kreis),2020-04-10T11:30:00+02:00,775,22,328
Minden-Lübbecke (Kreis),2020-04-10T11:30:00+02:00,463,3,235
Mönchengladbach,2020-04-10T11:30:00+02:00,344,15,173
Mülheim / Ruhr,2020-04-10T11:30:00+02:00,128,4,73
Münster,2020-04-10T11:30:00+02:00,606,7,411
Oberbergischer Kreis,2020-04-10T11:30:00+02:00,362,7,186
Oberhausen,2020-04-10T11:30:00+02:00,134,0,50
Olpe (Kreis),2020-04-10T11:30:00+02:00,333,9,138
Paderborn (Kreis),2020-04-10T11:30:00+02:00,446,10,73
Recklinghausen (Kreis),2020-04-10T11:30:00+02:00,659,4,348
Remscheid,2020-04-10T11:30:00+02:00,129,2,61
Rhein-Erft-Kreis,2020-04-10T11:30:00+02:00,482,21,213
Rheinisch-Bergischer Kreis,2020-04-10T11:30:00+02:00,316,3,168
Rhein-Kreis Neuss,2020-04-10T11:30:00+02:00,517,9,326
Rhein-Sieg-Kreis,2020-04-10T11:30:00+02:00,866,15,319
Siegen-Wittgenstein (Kreis),2020-04-10T11:30:00+02:00,200,4,70
Soest (Kreis),2020-04-10T11:30:00+02:00,283,2,141
Solingen,2020-04-10T11:30:00+02:00,161,2,69
Steinfurt (Kreis),2020-04-10T11:30:00+02:00,900,17,333
Unna (Kreis),2020-04-10T11:30:00+02:00,438,12,178
Viersen (Kreis),2020-04-10T11:30:00+02:00,469,14,136
Warendorf (Kreis),2020-04-10T11:30:00+02:00,367,3,251
Wesel (Kreis),2020-04-10T11:30:00+02:00,362,6,247
Wuppertal,2020-04-10T11:30:00+02:00,513,12,189
