Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-04-27T23:59:00+02:00,22351,364,20437
Duisburg,5112,2021-04-27T23:59:00+02:00,26156,599,23575
Essen,5113,2021-04-27T23:59:00+02:00,23521,526,20657
Krefeld,5114,2021-04-27T23:59:00+02:00,10151,152,8300
Mönchengladbach,5116,2021-04-27T23:59:00+02:00,9731,220,8152
Mülheim / Ruhr,5117,2021-04-27T23:59:00+02:00,7649,214,6891
Oberhausen,5119,2021-04-27T23:59:00+02:00,10071,316,9063
Remscheid,5120,2021-04-27T23:59:00+02:00,5516,148,4284
Solingen,5122,2021-04-27T23:59:00+02:00,8377,174,7728
Wuppertal,5124,2021-04-27T23:59:00+02:00,17925,435,15925
Kleve (Kreis),5154,2021-04-27T23:59:00+02:00,9980,169,8239
Mettmann (Kreis),5158,2021-04-27T23:59:00+02:00,21176,681,18558
Rhein-Kreis Neuss,5162,2021-04-27T23:59:00+02:00,15782,311,14226
Viersen (Kreis),5166,2021-04-27T23:59:00+02:00,10522,283,8762
Wesel (Kreis),5170,2021-04-27T23:59:00+02:00,15882,259,14367
Bonn,5314,2021-04-27T23:59:00+02:00,12630,222,11156
Köln,5315,2021-04-27T23:59:00+02:00,47224,632,38545
Leverkusen,5316,2021-04-27T23:59:00+02:00,6707,89,5982
Aachen & Städteregion Aachen,5334,2021-04-27T23:59:00+02:00,23450,527,21535
Düren (Kreis),5358,2021-04-27T23:59:00+02:00,12463,264,11450
Rhein-Erft-Kreis,5362,2021-04-27T23:59:00+02:00,17387,361,15792
Euskirchen (Kreis),5366,2021-04-27T23:59:00+02:00,7051,222,6269
Heinsberg (Kreis),5370,2021-04-27T23:59:00+02:00,10425,354,8849
Oberbergischer Kreis,5374,2021-04-27T23:59:00+02:00,12686,207,11419
Rheinisch-Bergischer Kreis,5378,2021-04-27T23:59:00+02:00,10018,139,9240
Rhein-Sieg-Kreis,5382,2021-04-27T23:59:00+02:00,20810,466,18887
Bottrop,5512,2021-04-27T23:59:00+02:00,4818,102,4411
Gelsenkirchen,5513,2021-04-27T23:59:00+02:00,13858,385,12171
Münster,5515,2021-04-27T23:59:00+02:00,7509,111,6868
Borken (Kreis),5554,2021-04-27T23:59:00+02:00,12609,238,11537
Coesfeld (Kreis),5558,2021-04-27T23:59:00+02:00,5132,86,4629
Recklinghausen (Kreis),5562,2021-04-27T23:59:00+02:00,28818,822,25810
Steinfurt (Kreis),5566,2021-04-27T23:59:00+02:00,15033,302,13519
Warendorf (Kreis),5570,2021-04-27T23:59:00+02:00,10633,222,9551
Bielefeld,5711,2021-04-27T23:59:00+02:00,13460,305,10973
Gütersloh (Kreis),5754,2021-04-27T23:59:00+02:00,17550,295,15906
Herford (Kreis),5758,2021-04-27T23:59:00+02:00,10080,163,8496
Höxter (Kreis),5762,2021-04-27T23:59:00+02:00,4604,139,4253
Lippe (Kreis),5766,2021-04-27T23:59:00+02:00,15568,367,14394
Minden-Lübbecke (Kreis),5770,2021-04-27T23:59:00+02:00,13690,250,12645
Paderborn (Kreis),5774,2021-04-27T23:59:00+02:00,8909,148,7994
Bochum,5911,2021-04-27T23:59:00+02:00,14161,206,12136
Dortmund,5913,2021-04-27T23:59:00+02:00,24739,345,22189
Hagen,5914,2021-04-27T23:59:00+02:00,10611,283,8662
Hamm,5915,2021-04-27T23:59:00+02:00,9009,182,8031
Herne,5916,2021-04-27T23:59:00+02:00,8726,252,7349
Ennepe-Ruhr-Kreis,5954,2021-04-27T23:59:00+02:00,12155,332,11029
Hochsauerlandkreis,5958,2021-04-27T23:59:00+02:00,8479,182,7693
Märkischer Kreis,5962,2021-04-27T23:59:00+02:00,18504,357,14928
Olpe (Kreis),5966,2021-04-27T23:59:00+02:00,5021,142,4486
Siegen-Wittgenstein (Kreis),5970,2021-04-27T23:59:00+02:00,10531,164,9714
Soest (Kreis),5974,2021-04-27T23:59:00+02:00,7785,180,7062
Unna (Kreis),5978,2021-04-27T23:59:00+02:00,17028,455,15057
