Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-09-10T03:30:00+02:00,2393,103,2260
Bielefeld,2020-09-10T03:30:00+02:00,778,7,710
Bochum,2020-09-10T03:30:00+02:00,1101,28,1009
Bonn,2020-09-10T03:30:00+02:00,1069,9,1024
Borken (Kreis),2020-09-10T03:30:00+02:00,1277,38,1205
Bottrop,2020-09-10T03:30:00+02:00,321,7,301
Coesfeld (Kreis),2020-09-10T03:30:00+02:00,923,25,889
Dortmund,2020-09-10T03:30:00+02:00,1769,20,1588
Duisburg,2020-09-10T03:30:00+02:00,2513,69,2351
Düren (Kreis),2020-09-10T03:30:00+02:00,903,41,839
Düsseldorf,2020-09-10T03:30:00+02:00,2788,47,2659
Ennepe-Ruhr-Kreis,2020-09-10T03:30:00+02:00,767,15,711
Essen,2020-09-10T03:30:00+02:00,1703,46,1564
Euskirchen (Kreis),2020-09-10T03:30:00+02:00,709,27,671
Gelsenkirchen,2020-09-10T03:30:00+02:00,863,20,784
Gütersloh (Kreis),2020-09-10T03:30:00+02:00,2906,20,2825
Hagen,2020-09-10T03:30:00+02:00,692,14,633
Hamm,2020-09-10T03:30:00+02:00,724,37,657
Heinsberg (Kreis),2020-09-10T03:30:00+02:00,2092,92,1963
Herford (Kreis),2020-09-10T03:30:00+02:00,571,8,545
Herne,2020-09-10T03:30:00+02:00,469,6,449
Hochsauerlandkreis,2020-09-10T03:30:00+02:00,843,18,789
Höxter (Kreis),2020-09-10T03:30:00+02:00,417,18,387
Kleve (Kreis),2020-09-10T03:30:00+02:00,1055,37,1002
Köln,2020-09-10T03:30:00+02:00,3929,113,3562
Krefeld,2020-09-10T03:30:00+02:00,887,24,800
Leverkusen,2020-09-10T03:30:00+02:00,453,7,413
Lippe (Kreis),2020-09-10T03:30:00+02:00,918,31,846
Märkischer Kreis,2020-09-10T03:30:00+02:00,977,32,866
Mettmann (Kreis),2020-09-10T03:30:00+02:00,1769,84,1633
Minden-Lübbecke (Kreis),2020-09-10T03:30:00+02:00,749,13,718
Mönchengladbach,2020-09-10T03:30:00+02:00,1006,50,900
Mülheim / Ruhr,2020-09-10T03:30:00+02:00,488,14,448
Münster,2020-09-10T03:30:00+02:00,951,13,908
Oberbergischer Kreis,2020-09-10T03:30:00+02:00,650,18,593
Oberhausen,2020-09-10T03:30:00+02:00,540,13,485
Olpe (Kreis),2020-09-10T03:30:00+02:00,763,56,689
Paderborn (Kreis),2020-09-10T03:30:00+02:00,851,34,775
Recklinghausen (Kreis),2020-09-10T03:30:00+02:00,1925,44,1784
Remscheid,2020-09-10T03:30:00+02:00,366,18,332
Rhein-Erft-Kreis,2020-09-10T03:30:00+02:00,1536,78,1351
Rheinisch-Bergischer Kreis,2020-09-10T03:30:00+02:00,658,23,597
Rhein-Kreis Neuss,2020-09-10T03:30:00+02:00,1192,24,1131
Rhein-Sieg-Kreis,2020-09-10T03:30:00+02:00,1915,53,1796
Siegen-Wittgenstein (Kreis),2020-09-10T03:30:00+02:00,551,8,512
Soest (Kreis),2020-09-10T03:30:00+02:00,509,8,479
Solingen,2020-09-10T03:30:00+02:00,523,13,445
Steinfurt (Kreis),2020-09-10T03:30:00+02:00,1614,90,1485
Unna (Kreis),2020-09-10T03:30:00+02:00,1187,42,1063
Viersen (Kreis),2020-09-10T03:30:00+02:00,945,37,841
Warendorf (Kreis),2020-09-10T03:30:00+02:00,968,20,925
Wesel (Kreis),2020-09-10T03:30:00+02:00,1243,29,1091
Wuppertal,2020-09-10T03:30:00+02:00,1491,86,1337
