Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-04-01T10:00:00+02:00,953,16
Bielefeld,2020-04-01T10:00:00+02:00,169,0
Bochum,2020-04-01T10:00:00+02:00,269,7
Bonn,2020-04-01T10:00:00+02:00,294,1
Borken (Kreis),2020-04-01T10:00:00+02:00,480,7
Bottrop,2020-04-01T10:00:00+02:00,44,1
Coesfeld (Kreis),2020-04-01T10:00:00+02:00,334,6
Dortmund,2020-04-01T10:00:00+02:00,304,0
Duisburg,2020-04-01T10:00:00+02:00,317,2
Düren (Kreis),2020-04-01T10:00:00+02:00,269,4
Düsseldorf,2020-04-01T10:00:00+02:00,455,4
Ennepe-Ruhr-Kreis,2020-04-01T10:00:00+02:00,210,1
Essen,2020-04-01T10:00:00+02:00,420,7
Euskirchen (Kreis),2020-04-01T10:00:00+02:00,133,2
Gelsenkirchen,2020-04-01T10:00:00+02:00,114,1
Gütersloh (Kreis),2020-04-01T10:00:00+02:00,387,1
Hagen,2020-04-01T10:00:00+02:00,82,2
Hamm,2020-04-01T10:00:00+02:00,171,2
Heinsberg (Kreis),2020-04-01T10:00:00+02:00,1305,37
Herford (Kreis),2020-04-01T10:00:00+02:00,152,0
Herne,2020-04-01T10:00:00+02:00,58,0
Hochsauerlandkreis (Kreis),2020-04-01T10:00:00+02:00,286,1
Höxter (Kreis),2020-04-01T10:00:00+02:00,71,0
Kleve (Kreis),2020-04-01T10:00:00+02:00,242,2
Köln,2020-04-01T10:00:00+02:00,1405,11
Krefeld,2020-04-01T10:00:00+02:00,225,1
Leverkusen,2020-04-01T10:00:00+02:00,127,0
Lippe (Kreis),2020-04-01T10:00:00+02:00,325,3
Märkischer Kreis,2020-04-01T10:00:00+02:00,146,1
Mettmann (Kreis),2020-04-01T10:00:00+02:00,379,6
Minden-Lübbecke (Kreis),2020-04-01T10:00:00+02:00,294,0
Mönchengladbach,2020-04-01T10:00:00+02:00,204,1
Mülheim / Ruhr,2020-04-01T10:00:00+02:00,79,1
Münster,2020-04-01T10:00:00+02:00,487,2
Oberbergischer Kreis,2020-04-01T10:00:00+02:00,258,2
Oberhausen,2020-04-01T10:00:00+02:00,69,0
Olpe (Kreis),2020-04-01T10:00:00+02:00,136,1
Paderborn (Kreis),2020-04-01T10:00:00+02:00,252,3
Recklinghausen (Kreis),2020-04-01T10:00:00+02:00,385,1
Remscheid,2020-04-01T10:00:00+02:00,67,1
Rhein-Erft-Kreis,2020-04-01T10:00:00+02:00,393,2
Rheinisch-Bergischer Kreis,2020-04-01T10:00:00+02:00,212,2
Rhein-Kreis Neuss,2020-04-01T10:00:00+02:00,362,6
Rhein-Sieg-Kreis,2020-04-01T10:00:00+02:00,552,2
Siegen-Wittgenstein (Kreis),2020-04-01T10:00:00+02:00,106,1
Soest (Kreis),2020-04-01T10:00:00+02:00,205,0
Solingen,2020-04-01T10:00:00+02:00,107,1
Steinfurt (Kreis),2020-04-01T10:00:00+02:00,430,2
Unna (Kreis),2020-04-01T10:00:00+02:00,200,3
Viersen (Kreis),2020-04-01T10:00:00+02:00,284,3
Warendorf (Kreis),2020-04-01T10:00:00+02:00,310,2
Wesel (Kreis),2020-04-01T10:00:00+02:00,243,2
Wuppertal,2020-04-01T10:00:00+02:00,238,4
