Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-09-14T03:30:00+02:00,2422,103,2271
Bielefeld,2020-09-14T03:30:00+02:00,800,7,720
Bochum,2020-09-14T03:30:00+02:00,1138,28,1026
Bonn,2020-09-14T03:30:00+02:00,1111,9,1034
Borken (Kreis),2020-09-14T03:30:00+02:00,1284,38,1217
Bottrop,2020-09-14T03:30:00+02:00,323,7,305
Coesfeld (Kreis),2020-09-14T03:30:00+02:00,925,25,891
Dortmund,2020-09-14T03:30:00+02:00,1792,20,1605
Duisburg,2020-09-14T03:30:00+02:00,2561,70,2400
Düren (Kreis),2020-09-14T03:30:00+02:00,910,41,847
Düsseldorf,2020-09-14T03:30:00+02:00,2827,47,2730
Ennepe-Ruhr-Kreis,2020-09-14T03:30:00+02:00,780,15,711
Essen,2020-09-14T03:30:00+02:00,1730,46,1584
Euskirchen (Kreis),2020-09-14T03:30:00+02:00,714,27,677
Gelsenkirchen,2020-09-14T03:30:00+02:00,876,20,799
Gütersloh (Kreis),2020-09-14T03:30:00+02:00,2919,20,2832
Hagen,2020-09-14T03:30:00+02:00,713,14,650
Hamm,2020-09-14T03:30:00+02:00,734,38,665
Heinsberg (Kreis),2020-09-14T03:30:00+02:00,2098,92,1968
Herford (Kreis),2020-09-14T03:30:00+02:00,575,8,545
Herne,2020-09-14T03:30:00+02:00,481,6,451
Hochsauerlandkreis,2020-09-14T03:30:00+02:00,848,18,802
Höxter (Kreis),2020-09-14T03:30:00+02:00,420,18,391
Kleve (Kreis),2020-09-14T03:30:00+02:00,1061,37,1007
Köln,2020-09-14T03:30:00+02:00,4117,113,3594
Krefeld,2020-09-14T03:30:00+02:00,921,25,810
Leverkusen,2020-09-14T03:30:00+02:00,478,7,413
Lippe (Kreis),2020-09-14T03:30:00+02:00,931,31,854
Märkischer Kreis,2020-09-14T03:30:00+02:00,1004,32,881
Mettmann (Kreis),2020-09-14T03:30:00+02:00,1779,84,1667
Minden-Lübbecke (Kreis),2020-09-14T03:30:00+02:00,774,13,725
Mönchengladbach,2020-09-14T03:30:00+02:00,1014,50,918
Mülheim / Ruhr,2020-09-14T03:30:00+02:00,509,14,462
Münster,2020-09-14T03:30:00+02:00,967,13,916
Oberbergischer Kreis,2020-09-14T03:30:00+02:00,652,18,598
Oberhausen,2020-09-14T03:30:00+02:00,551,13,509
Olpe (Kreis),2020-09-14T03:30:00+02:00,773,56,694
Paderborn (Kreis),2020-09-14T03:30:00+02:00,859,34,790
Recklinghausen (Kreis),2020-09-14T03:30:00+02:00,1947,44,1799
Remscheid,2020-09-14T03:30:00+02:00,386,18,340
Rhein-Erft-Kreis,2020-09-14T03:30:00+02:00,1536,78,1361
Rheinisch-Bergischer Kreis,2020-09-14T03:30:00+02:00,668,22,603
Rhein-Kreis Neuss,2020-09-14T03:30:00+02:00,1212,24,1149
Rhein-Sieg-Kreis,2020-09-14T03:30:00+02:00,1956,53,1818
Siegen-Wittgenstein (Kreis),2020-09-14T03:30:00+02:00,567,8,516
Soest (Kreis),2020-09-14T03:30:00+02:00,516,8,483
Solingen,2020-09-14T03:30:00+02:00,544,13,451
Steinfurt (Kreis),2020-09-14T03:30:00+02:00,1646,90,1490
Unna (Kreis),2020-09-14T03:30:00+02:00,1196,42,1063
Viersen (Kreis),2020-09-14T03:30:00+02:00,959,37,851
Warendorf (Kreis),2020-09-14T03:30:00+02:00,984,20,925
Wesel (Kreis),2020-09-14T03:30:00+02:00,1259,29,1118
Wuppertal,2020-09-14T03:30:00+02:00,1513,86,1371
