Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-07-06T03:30:00+02:00,2009,98,1898
Bielefeld,2020-07-06T03:30:00+02:00,475,5,421
Bochum,2020-07-06T03:30:00+02:00,631,19,576
Bonn,2020-07-06T03:30:00+02:00,766,8,751
Borken (Kreis),2020-07-06T03:30:00+02:00,1119,38,1073
Bottrop,2020-07-06T03:30:00+02:00,218,7,206
Coesfeld (Kreis),2020-07-06T03:30:00+02:00,877,25,850
Dortmund,2020-07-06T03:30:00+02:00,1023,13,840
Duisburg,2020-07-06T03:30:00+02:00,1644,58,1329
Düren (Kreis),2020-07-06T03:30:00+02:00,618,39,566
Düsseldorf,2020-07-06T03:30:00+02:00,1930,39,1561
Ennepe-Ruhr-Kreis,2020-07-06T03:30:00+02:00,486,14,443
Essen,2020-07-06T03:30:00+02:00,991,41,887
Euskirchen (Kreis),2020-07-06T03:30:00+02:00,495,23,449
Gelsenkirchen,2020-07-06T03:30:00+02:00,527,17,453
Gütersloh (Kreis),2020-07-06T03:30:00+02:00,2430,20,1928
Hagen,2020-07-06T03:30:00+02:00,414,13,342
Hamm,2020-07-06T03:30:00+02:00,562,36,447
Heinsberg (Kreis),2020-07-06T03:30:00+02:00,1957,81,1831
Herford (Kreis),2020-07-06T03:30:00+02:00,392,7,344
Herne,2020-07-06T03:30:00+02:00,251,3,209
Hochsauerlandkreis,2020-07-06T03:30:00+02:00,626,17,596
Höxter (Kreis),2020-07-06T03:30:00+02:00,372,18,347
Kleve (Kreis),2020-07-06T03:30:00+02:00,817,37,753
Köln,2020-07-06T03:30:00+02:00,2622,104,2450
Krefeld,2020-07-06T03:30:00+02:00,669,23,622
Leverkusen,2020-07-06T03:30:00+02:00,256,5,244
Lippe (Kreis),2020-07-06T03:30:00+02:00,769,29,725
Märkischer Kreis,2020-07-06T03:30:00+02:00,628,31,575
Mettmann (Kreis),2020-07-06T03:30:00+02:00,1055,79,907
Minden-Lübbecke (Kreis),2020-07-06T03:30:00+02:00,500,13,487
Mönchengladbach,2020-07-06T03:30:00+02:00,693,41,614
Mülheim / Ruhr,2020-07-06T03:30:00+02:00,274,13,226
Münster,2020-07-06T03:30:00+02:00,733,13,717
Oberbergischer Kreis,2020-07-06T03:30:00+02:00,501,18,472
Oberhausen,2020-07-06T03:30:00+02:00,304,10,269
Olpe (Kreis),2020-07-06T03:30:00+02:00,657,56,595
Paderborn (Kreis),2020-07-06T03:30:00+02:00,726,34,634
Recklinghausen (Kreis),2020-07-06T03:30:00+02:00,1412,40,1290
Remscheid,2020-07-06T03:30:00+02:00,243,18,225
Rhein-Erft-Kreis,2020-07-06T03:30:00+02:00,1122,76,1029
Rheinisch-Bergischer Kreis,2020-07-06T03:30:00+02:00,477,22,449
Rhein-Kreis Neuss,2020-07-06T03:30:00+02:00,790,20,712
Rhein-Sieg-Kreis,2020-07-06T03:30:00+02:00,1470,50,1408
Siegen-Wittgenstein (Kreis),2020-07-06T03:30:00+02:00,316,8,306
Soest (Kreis),2020-07-06T03:30:00+02:00,395,8,368
Solingen,2020-07-06T03:30:00+02:00,295,10,268
Steinfurt (Kreis),2020-07-06T03:30:00+02:00,1347,83,1257
Unna (Kreis),2020-07-06T03:30:00+02:00,775,39,588
Viersen (Kreis),2020-07-06T03:30:00+02:00,737,37,687
Warendorf (Kreis),2020-07-06T03:30:00+02:00,834,20,498
Wesel (Kreis),2020-07-06T03:30:00+02:00,815,27,633
Wuppertal,2020-07-06T03:30:00+02:00,1019,86,881
