Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-09-17T03:30:00+02:00,2494,103,2297
Bielefeld,2020-09-17T03:30:00+02:00,812,7,742
Bochum,2020-09-17T03:30:00+02:00,1181,28,1048
Bonn,2020-09-17T03:30:00+02:00,1124,9,1115
Borken (Kreis),2020-09-17T03:30:00+02:00,1304,38,1228
Bottrop,2020-09-17T03:30:00+02:00,325,7,306
Coesfeld (Kreis),2020-09-17T03:30:00+02:00,931,25,896
Dortmund,2020-09-17T03:30:00+02:00,1811,20,1631
Duisburg,2020-09-17T03:30:00+02:00,2583,70,2415
Düren (Kreis),2020-09-17T03:30:00+02:00,933,41,854
Düsseldorf,2020-09-17T03:30:00+02:00,2908,47,2756
Ennepe-Ruhr-Kreis,2020-09-17T03:30:00+02:00,789,15,737
Essen,2020-09-17T03:30:00+02:00,1790,46,1621
Euskirchen (Kreis),2020-09-17T03:30:00+02:00,726,27,681
Gelsenkirchen,2020-09-17T03:30:00+02:00,914,20,815
Gütersloh (Kreis),2020-09-17T03:30:00+02:00,2927,20,2860
Hagen,2020-09-17T03:30:00+02:00,724,14,664
Hamm,2020-09-17T03:30:00+02:00,755,38,677
Heinsberg (Kreis),2020-09-17T03:30:00+02:00,2120,92,1981
Herford (Kreis),2020-09-17T03:30:00+02:00,582,8,552
Herne,2020-09-17T03:30:00+02:00,492,6,459
Hochsauerlandkreis,2020-09-17T03:30:00+02:00,853,18,812
Höxter (Kreis),2020-09-17T03:30:00+02:00,426,18,395
Kleve (Kreis),2020-09-17T03:30:00+02:00,1069,37,1032
Köln,2020-09-17T03:30:00+02:00,4255,117,3721
Krefeld,2020-09-17T03:30:00+02:00,945,26,832
Leverkusen,2020-09-17T03:30:00+02:00,494,8,467
Lippe (Kreis),2020-09-17T03:30:00+02:00,942,31,858
Märkischer Kreis,2020-09-17T03:30:00+02:00,1015,32,902
Mettmann (Kreis),2020-09-17T03:30:00+02:00,1810,84,1679
Minden-Lübbecke (Kreis),2020-09-17T03:30:00+02:00,788,13,742
Mönchengladbach,2020-09-17T03:30:00+02:00,1034,50,924
Mülheim / Ruhr,2020-09-17T03:30:00+02:00,553,14,474
Münster,2020-09-17T03:30:00+02:00,975,13,924
Oberbergischer Kreis,2020-09-17T03:30:00+02:00,718,19,613
Oberhausen,2020-09-17T03:30:00+02:00,560,13,515
Olpe (Kreis),2020-09-17T03:30:00+02:00,781,56,697
Paderborn (Kreis),2020-09-17T03:30:00+02:00,875,34,798
Recklinghausen (Kreis),2020-09-17T03:30:00+02:00,1998,44,1843
Remscheid,2020-09-17T03:30:00+02:00,401,18,341
Rhein-Erft-Kreis,2020-09-17T03:30:00+02:00,1599,78,1441
Rheinisch-Bergischer Kreis,2020-09-17T03:30:00+02:00,689,22,667
Rhein-Kreis Neuss,2020-09-17T03:30:00+02:00,1223,24,1158
Rhein-Sieg-Kreis,2020-09-17T03:30:00+02:00,1976,54,1855
Siegen-Wittgenstein (Kreis),2020-09-17T03:30:00+02:00,591,8,527
Soest (Kreis),2020-09-17T03:30:00+02:00,517,8,488
Solingen,2020-09-17T03:30:00+02:00,577,13,464
Steinfurt (Kreis),2020-09-17T03:30:00+02:00,1662,90,1505
Unna (Kreis),2020-09-17T03:30:00+02:00,1214,42,1111
Viersen (Kreis),2020-09-17T03:30:00+02:00,979,37,885
Warendorf (Kreis),2020-09-17T03:30:00+02:00,989,21,934
Wesel (Kreis),2020-09-17T03:30:00+02:00,1280,30,1128
Wuppertal,2020-09-17T03:30:00+02:00,1551,86,1393
