Area,Date,Confirmed,EConfirmed,Deaths,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-04-18T11:30:00+02:00,1650,1617,59,61,1112
Bielefeld,2020-04-18T11:30:00+02:00,343,338,2,2,190
Bochum,2020-04-18T11:30:00+02:00,400,394,15,14,279
Bonn,2020-04-18T11:30:00+02:00,561,559,4,5,338
Borken (Kreis),2020-04-18T11:30:00+02:00,832,828,28,25,528
Bottrop,2020-04-18T11:30:00+02:00,108,105,5,5,51
Coesfeld (Kreis),2020-04-18T11:30:00+02:00,476,468,13,16,335
Dortmund,2020-04-18T11:30:00+02:00,591,590,3,5,380
Duisburg,2020-04-18T11:30:00+02:00,656,632,9,9,398
Düren (Kreis),2020-04-18T11:30:00+02:00,499,501,17,21,263
Düsseldorf,2020-04-18T11:30:00+02:00,877,875,14,14,531
Ennepe-Ruhr-Kreis,2020-04-18T11:30:00+02:00,356,342,8,6,236
Essen,2020-04-18T11:30:00+02:00,674,540,30,28,391
Euskirchen (Kreis),2020-04-18T11:30:00+02:00,306,306,9,10,140
Gelsenkirchen,2020-04-18T11:30:00+02:00,273,234,9,7,123
Gütersloh (Kreis),2020-04-18T11:30:00+02:00,570,513,15,14,381
Hagen,2020-04-18T11:30:00+02:00,193,189,3,3,109
Hamm,2020-04-18T11:30:00+02:00,370,366,20,16,171
Heinsberg (Kreis),2020-04-18T11:30:00+02:00,1653,1674,55,52,1230
Herford (Kreis),2020-04-18T11:30:00+02:00,300,290,5,1,165
Herne,2020-04-18T11:30:00+02:00,122,129,1,1,60
Hochsauerlandkreis,2020-04-18T11:30:00+02:00,540,541,13,13,308
Höxter (Kreis),2020-04-18T11:30:00+02:00,250,246,2,2,116
Kleve (Kreis),2020-04-18T11:30:00+02:00,469,479,14,11,251
Köln,2020-04-18T11:30:00+02:00,2130,2131,63,58,1647
Krefeld,2020-04-18T11:30:00+02:00,392,329,11,2,269
Leverkusen,2020-04-18T11:30:00+02:00,184,173,3,3,124
Lippe (Kreis),2020-04-18T11:30:00+02:00,614,592,21,16,335
Märkischer Kreis,2020-04-18T11:30:00+02:00,431,435,14,15,169
Mettmann (Kreis),2020-04-18T11:30:00+02:00,937,741,45,42,525
Minden-Lübbecke (Kreis),2020-04-18T11:30:00+02:00,392,389,4,3,262
Mönchengladbach,2020-04-18T11:30:00+02:00,417,406,24,23,235
Mülheim / Ruhr,2020-04-18T11:30:00+02:00,140,141,4,4,95
Münster,2020-04-18T11:30:00+02:00,631,605,7,8,493
Oberbergischer Kreis,2020-04-18T11:30:00+02:00,402,394,10,10,246
Oberhausen,2020-04-18T11:30:00+02:00,164,156,1,0,84
Olpe (Kreis),2020-04-18T11:30:00+02:00,450,453,16,17,233
Paderborn (Kreis),2020-04-18T11:30:00+02:00,534,515,23,21,179
Recklinghausen (Kreis),2020-04-18T11:30:00+02:00,834,751,11,8,520
Remscheid,2020-04-18T11:30:00+02:00,194,194,4,3,100
Rhein-Erft-Kreis,2020-04-18T11:30:00+02:00,835,863,39,36,340
Rheinisch-Bergischer Kreis,2020-04-18T11:30:00+02:00,391,393,9,4,236
Rhein-Kreis Neuss,2020-04-18T11:30:00+02:00,535,532,14,14,436
Rhein-Sieg-Kreis,2020-04-18T11:30:00+02:00,1015,999,27,20,559
Siegen-Wittgenstein (Kreis),2020-04-18T11:30:00+02:00,256,240,6,6,105
Soest (Kreis),2020-04-18T11:30:00+02:00,325,329,4,4,218
Solingen,2020-04-18T11:30:00+02:00,211,199,3,3,120
Steinfurt (Kreis),2020-04-18T11:30:00+02:00,1071,1076,45,40,531
Unna (Kreis),2020-04-18T11:30:00+02:00,532,501,22,17,249
Viersen (Kreis),2020-04-18T11:30:00+02:00,516,481,22,25,214
Warendorf (Kreis),2020-04-18T11:30:00+02:00,426,420,8,6,306
Wesel (Kreis),2020-04-18T11:30:00+02:00,435,434,14,14,282
Wuppertal,2020-04-18T11:30:00+02:00,692,678,35,26,304
