Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-09T03:30:00+02:00,1903,85,1702
Bielefeld,2020-05-09T03:30:00+02:00,387,3,338
Bochum,2020-05-09T03:30:00+02:00,455,17,394
Bonn,2020-05-09T03:30:00+02:00,686,6,509
Borken (Kreis),2020-05-09T03:30:00+02:00,920,37,791
Bottrop,2020-05-09T03:30:00+02:00,177,6,120
Coesfeld (Kreis),2020-05-09T03:30:00+02:00,685,23,450
Dortmund,2020-05-09T03:30:00+02:00,707,6,629
Duisburg,2020-05-09T03:30:00+02:00,972,34,719
Düren (Kreis),2020-05-09T03:30:00+02:00,571,37,487
Düsseldorf,2020-05-09T03:30:00+02:00,1163,27,924
Ennepe-Ruhr-Kreis,2020-05-09T03:30:00+02:00,407,13,324
Essen,2020-05-09T03:30:00+02:00,787,34,645
Euskirchen (Kreis),2020-05-09T03:30:00+02:00,407,18,274
Gelsenkirchen,2020-05-09T03:30:00+02:00,357,12,258
Gütersloh (Kreis),2020-05-09T03:30:00+02:00,593,19,549
Hagen,2020-05-09T03:30:00+02:00,296,10,192
Hamm,2020-05-09T03:30:00+02:00,459,33,309
Heinsberg (Kreis),2020-05-09T03:30:00+02:00,1787,67,1587
Herford (Kreis),2020-05-09T03:30:00+02:00,327,7,290
Herne,2020-05-09T03:30:00+02:00,177,1,134
Hochsauerlandkreis (Kreis),2020-05-09T03:30:00+02:00,589,18,501
Höxter (Kreis),2020-05-09T03:30:00+02:00,315,15,243
Kleve (Kreis),2020-05-09T03:30:00+02:00,590,29,452
Köln,2020-05-09T03:30:00+02:00,2341,92,2164
Krefeld,2020-05-09T03:30:00+02:00,543,21,420
Leverkusen,2020-05-09T03:30:00+02:00,214,5,185
Lippe (Kreis),2020-05-09T03:30:00+02:00,738,29,565
Märkischer Kreis,2020-05-09T03:30:00+02:00,576,25,398
Mettmann (Kreis),2020-05-09T03:30:00+02:00,886,67,703
Minden-Lübbecke (Kreis),2020-05-09T03:30:00+02:00,453,7,379
Mönchengladbach,2020-05-09T03:30:00+02:00,527,37,377
Mülheim / Ruhr,2020-05-09T03:30:00+02:00,186,9,150
Münster,2020-05-09T03:30:00+02:00,642,13,613
Oberbergischer Kreis,2020-05-09T03:30:00+02:00,464,15,403
Oberhausen,2020-05-09T03:30:00+02:00,243,3,170
Olpe (Kreis),2020-05-09T03:30:00+02:00,597,47,510
Paderborn (Kreis),2020-05-09T03:30:00+02:00,595,30,484
Recklinghausen (Kreis),2020-05-09T03:30:00+02:00,1161,31,921
Remscheid,2020-05-09T03:30:00+02:00,223,15,209
Rhein-Erft-Kreis,2020-05-09T03:30:00+02:00,1044,64,828
Rheinisch-Bergischer Kreis,2020-05-09T03:30:00+02:00,440,18,346
Rhein-Kreis Neuss,2020-05-09T03:30:00+02:00,641,18,537
Rhein-Sieg-Kreis,2020-05-09T03:30:00+02:00,1202,45,1025
Siegen-Wittgenstein (Kreis),2020-05-09T03:30:00+02:00,299,8,230
Soest (Kreis),2020-05-09T03:30:00+02:00,352,6,317
Solingen,2020-05-09T03:30:00+02:00,233,7,205
Steinfurt (Kreis),2020-05-09T03:30:00+02:00,1290,74,1029
Unna (Kreis),2020-05-09T03:30:00+02:00,646,31,402
Viersen (Kreis),2020-05-09T03:30:00+02:00,668,33,433
Warendorf (Kreis),2020-05-09T03:30:00+02:00,475,16,409
Wesel (Kreis),2020-05-09T03:30:00+02:00,547,26,422
Wuppertal,2020-05-09T03:30:00+02:00,856,74,564
