Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-04-18T23:59:00+02:00,21131,341,19411
Duisburg,5112,2021-04-18T23:59:00+02:00,24667,575,22129
Essen,5113,2021-04-18T23:59:00+02:00,22287,519,19649
Krefeld,5114,2021-04-18T23:59:00+02:00,9491,146,7820
Mönchengladbach,5116,2021-04-18T23:59:00+02:00,9183,212,7767
Mülheim / Ruhr,5117,2021-04-18T23:59:00+02:00,7096,211,6452
Oberhausen,5119,2021-04-18T23:59:00+02:00,9531,311,8503
Remscheid,5120,2021-04-18T23:59:00+02:00,5158,145,3986
Solingen,5122,2021-04-18T23:59:00+02:00,8036,169,7345
Wuppertal,5124,2021-04-18T23:59:00+02:00,16824,426,14931
Kleve (Kreis),5154,2021-04-18T23:59:00+02:00,9373,162,7743
Mettmann (Kreis),5158,2021-04-18T23:59:00+02:00,19862,654,17427
Rhein-Kreis Neuss,5162,2021-04-18T23:59:00+02:00,14605,304,13264
Viersen (Kreis),5166,2021-04-18T23:59:00+02:00,10077,270,8387
Wesel (Kreis),5170,2021-04-18T23:59:00+02:00,14930,252,13556
Bonn,5314,2021-04-18T23:59:00+02:00,11912,216,10498
Köln,5315,2021-04-18T23:59:00+02:00,43933,614,36568
Leverkusen,5316,2021-04-18T23:59:00+02:00,6200,87,5588
Aachen & Städteregion Aachen,5334,2021-04-18T23:59:00+02:00,22329,522,20493
Düren (Kreis),5358,2021-04-18T23:59:00+02:00,11858,260,10904
Rhein-Erft-Kreis,5362,2021-04-18T23:59:00+02:00,16254,354,14798
Euskirchen (Kreis),5366,2021-04-18T23:59:00+02:00,6624,217,5892
Heinsberg (Kreis),5370,2021-04-18T23:59:00+02:00,9880,353,8551
Oberbergischer Kreis,5374,2021-04-18T23:59:00+02:00,11820,196,10633
Rheinisch-Bergischer Kreis,5378,2021-04-18T23:59:00+02:00,9478,124,8593
Rhein-Sieg-Kreis,5382,2021-04-18T23:59:00+02:00,19818,459,17821
Bottrop,5512,2021-04-18T23:59:00+02:00,4621,100,4327
Gelsenkirchen,5513,2021-04-18T23:59:00+02:00,12782,367,11475
Münster,5515,2021-04-18T23:59:00+02:00,7095,109,6484
Borken (Kreis),5554,2021-04-18T23:59:00+02:00,11958,225,10919
Coesfeld (Kreis),5558,2021-04-18T23:59:00+02:00,4860,82,4395
Recklinghausen (Kreis),5562,2021-04-18T23:59:00+02:00,27409,784,24559
Steinfurt (Kreis),5566,2021-04-18T23:59:00+02:00,13854,294,12595
Warendorf (Kreis),5570,2021-04-18T23:59:00+02:00,10044,215,9056
Bielefeld,5711,2021-04-18T23:59:00+02:00,12555,298,10336
Gütersloh (Kreis),5754,2021-04-18T23:59:00+02:00,16568,286,15029
Herford (Kreis),5758,2021-04-18T23:59:00+02:00,9473,157,8043
Höxter (Kreis),5762,2021-04-18T23:59:00+02:00,4466,136,4107
Lippe (Kreis),5766,2021-04-18T23:59:00+02:00,14912,355,13620
Minden-Lübbecke (Kreis),5770,2021-04-18T23:59:00+02:00,13087,247,12068
Paderborn (Kreis),5774,2021-04-18T23:59:00+02:00,8125,145,7421
Bochum,5911,2021-04-18T23:59:00+02:00,13396,195,11330
Dortmund,5913,2021-04-18T23:59:00+02:00,23175,336,21049
Hagen,5914,2021-04-18T23:59:00+02:00,10033,273,8279
Hamm,5915,2021-04-18T23:59:00+02:00,8360,177,7626
Herne,5916,2021-04-18T23:59:00+02:00,8115,241,7027
Ennepe-Ruhr-Kreis,5954,2021-04-18T23:59:00+02:00,11503,326,10500
Hochsauerlandkreis,5958,2021-04-18T23:59:00+02:00,7933,176,7260
Märkischer Kreis,5962,2021-04-18T23:59:00+02:00,17314,342,13554
Olpe (Kreis),5966,2021-04-18T23:59:00+02:00,4719,140,4273
Siegen-Wittgenstein (Kreis),5970,2021-04-18T23:59:00+02:00,10031,162,8882
Soest (Kreis),5974,2021-04-18T23:59:00+02:00,7313,172,6641
Unna (Kreis),5978,2021-04-18T23:59:00+02:00,15913,447,14189
