Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-14T10:00:00+02:00,1547,51,922
Bielefeld,2020-04-14T10:00:00+02:00,294,1,122
Bochum,2020-04-14T10:00:00+02:00,385,13,256
Bonn,2020-04-14T10:00:00+02:00,530,4,133
Borken (Kreis),2020-04-14T10:00:00+02:00,790,24,391
Bottrop,2020-04-14T10:00:00+02:00,92,3,43
Coesfeld (Kreis),2020-04-14T10:00:00+02:00,458,12,247
Dortmund,2020-04-14T10:00:00+02:00,560,3,285
Duisburg,2020-04-14T10:00:00+02:00,590,9,331
Düren (Kreis),2020-04-14T10:00:00+02:00,466,15,213
Düsseldorf,2020-04-14T10:00:00+02:00,788,13,390
Ennepe-Ruhr-Kreis,2020-04-14T10:00:00+02:00,326,6,198
Essen,2020-04-14T10:00:00+02:00,623,26,326
Euskirchen (Kreis),2020-04-14T10:00:00+02:00,279,8,0
Gelsenkirchen,2020-04-14T10:00:00+02:00,251,5,52
Gütersloh (Kreis),2020-04-14T10:00:00+02:00,551,13,350
Hagen,2020-04-14T10:00:00+02:00,172,2,88
Hamm,2020-04-14T10:00:00+02:00,323,11,140
Heinsberg (Kreis),2020-04-14T10:00:00+02:00,1577,52,1046
Herford (Kreis),2020-04-14T10:00:00+02:00,290,4,126
Herne ,2020-04-14T10:00:00+02:00,102,0,50
Hochsauerlandkreis (Kreis),2020-04-14T10:00:00+02:00,513,11,250
Höxter (Kreis),2020-04-14T10:00:00+02:00,223,1,77
Kleve (Kreis),2020-04-14T10:00:00+02:00,425,9,195
Köln,2020-04-14T10:00:00+02:00,2060,56,1515
Krefeld,2020-04-14T10:00:00+02:00,326,7,238
Leverkusen,2020-04-14T10:00:00+02:00,167,2,76
Lippe (Kreis),2020-04-14T10:00:00+02:00,584,12,191
Märkischer Kreis,2020-04-14T10:00:00+02:00,367,8,64
Mettmann (Kreis),2020-04-14T10:00:00+02:00,860,32,407
Minden-Lübbecke (Kreis),2020-04-14T10:00:00+02:00,482,3,256
Mönchengladbach,2020-04-14T10:00:00+02:00,378,17,198
Mülheim / Ruhr,2020-04-14T10:00:00+02:00,131,4,78
Münster,2020-04-14T10:00:00+02:00,616,7,412
Oberbergischer Kreis,2020-04-14T10:00:00+02:00,386,9,226
Oberhausen,2020-04-14T10:00:00+02:00,145,0,64
Olpe (Kreis),2020-04-14T10:00:00+02:00,427,14,187
Paderborn (Kreis),2020-04-14T10:00:00+02:00,490,14,128
Recklinghausen (Kreis),2020-04-14T10:00:00+02:00,714,5,423
Remscheid,2020-04-14T10:00:00+02:00,150,2,68
Rhein-Erft-Kreis,2020-04-14T10:00:00+02:00,792,32,253
Rheinisch-Bergischer Kreis,2020-04-14T10:00:00+02:00,376,4,208
Rhein-Kreis Neuss,2020-04-14T10:00:00+02:00,530,11,390
Rhein-Sieg-Kreis,2020-04-14T10:00:00+02:00,970,18,389
Siegen-Wittgenstein (Kreis),2020-04-14T10:00:00+02:00,212,6,73
Soest (Kreis),2020-04-14T10:00:00+02:00,314,3,180
Solingen,2020-04-14T10:00:00+02:00,193,2,94
Steinfurt (Kreis),2020-04-14T10:00:00+02:00,1005,25,409
Unna (Kreis),2020-04-14T10:00:00+02:00,493,17,193
Viersen (Kreis),2020-04-14T10:00:00+02:00,495,18,136
Warendorf (Kreis),2020-04-14T10:00:00+02:00,405,5,283
Wesel (Kreis),2020-04-14T10:00:00+02:00,404,10,257
Wuppertal,2020-04-14T10:00:00+02:00,579,22,240
