Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-12T11:30:00+02:00,1508,50,854
Bielefeld,2020-04-12T11:30:00+02:00,291,1,122
Bochum,2020-04-12T11:30:00+02:00,381,12,242
Bonn,2020-04-12T11:30:00+02:00,504,2,118
Borken (Kreis),2020-04-12T11:30:00+02:00,770,21,373
Bottrop,2020-04-12T11:30:00+02:00,87,3,39
Coesfeld (Kreis),2020-04-12T11:30:00+02:00,454,11,216
Dortmund,2020-04-12T11:30:00+02:00,538,3,256
Duisburg,2020-04-12T11:30:00+02:00,549,8,294
Düren (Kreis),2020-04-12T11:30:00+02:00,447,13,208
Düsseldorf,2020-04-12T11:30:00+02:00,760,9,362
Ennepe-Ruhr-Kreis,2020-04-12T11:30:00+02:00,323,4,180
Essen,2020-04-12T11:30:00+02:00,611,22,304
Euskirchen (Kreis),2020-04-12T11:30:00+02:00,271,6,103
Gelsenkirchen,2020-04-12T11:30:00+02:00,238,4,49
Gütersloh (Kreis),2020-04-12T11:30:00+02:00,544,12,319
Hagen,2020-04-12T11:30:00+02:00,162,2,83
Hamm,2020-04-12T11:30:00+02:00,311,9,127
Heinsberg (Kreis),2020-04-12T11:30:00+02:00,1573,51,1041
Herford (Kreis),2020-04-12T11:30:00+02:00,282,3,121
Herne,2020-04-12T11:30:00+02:00,97,0,47
Hochsauerlandkreis (Kreis),2020-04-12T11:30:00+02:00,498,8,244
Höxter (Kreis),2020-04-12T11:30:00+02:00,189,1,69
Kleve (Kreis),2020-04-12T11:30:00+02:00,421,8,180
Köln,2020-04-12T11:30:00+02:00,2002,44,1186
Krefeld,2020-04-12T11:30:00+02:00,323,5,205
Leverkusen,2020-04-12T11:30:00+02:00,166,2,76
Lippe (Kreis),2020-04-12T11:30:00+02:00,571,9,191
Märkischer Kreis,2020-04-12T11:30:00+02:00,335,8,64
Mettmann (Kreis),2020-04-12T11:30:00+02:00,831,26,377
Minden-Lübbecke (Kreis),2020-04-12T11:30:00+02:00,477,3,251
Mönchengladbach,2020-04-12T11:30:00+02:00,367,16,192
Mülheim / Ruhr,2020-04-12T11:30:00+02:00,131,4,77
Münster,2020-04-12T11:30:00+02:00,609,7,412
Oberbergischer Kreis,2020-04-12T11:30:00+02:00,362,7,186
Oberhausen,2020-04-12T11:30:00+02:00,141,0,57
Olpe (Kreis),2020-04-12T11:30:00+02:00,400,12,170
Paderborn (Kreis),2020-04-12T11:30:00+02:00,476,12,73
Recklinghausen (Kreis),2020-04-12T11:30:00+02:00,669,5,383
Remscheid,2020-04-12T11:30:00+02:00,148,2,64
Rhein-Erft-Kreis,2020-04-12T11:30:00+02:00,761,22,230
Rheinisch-Bergischer Kreis,2020-04-12T11:30:00+02:00,346,3,189
Rhein-Kreis Neuss,2020-04-12T11:30:00+02:00,530,10,368
Rhein-Sieg-Kreis,2020-04-12T11:30:00+02:00,923,18,378
Siegen-Wittgenstein (Kreis),2020-04-12T11:30:00+02:00,212,6,73
Soest (Kreis),2020-04-12T11:30:00+02:00,310,2,163
Solingen,2020-04-12T11:30:00+02:00,183,2,91
Steinfurt (Kreis),2020-04-12T11:30:00+02:00,961,24,374
Unna (Kreis),2020-04-12T11:30:00+02:00,477,15,178
Viersen (Kreis),2020-04-12T11:30:00+02:00,487,14,136
Warendorf (Kreis),2020-04-12T11:30:00+02:00,379,3,274
Wesel (Kreis),2020-04-12T11:30:00+02:00,391,8,251
Wuppertal,2020-04-12T11:30:00+02:00,556,17,212
