Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-13T11:30:00+02:00,1532,51,906
Bielefeld,2020-04-13T11:30:00+02:00,292,1,122
Bochum,2020-04-13T11:30:00+02:00,383,12,248
Bonn,2020-04-13T11:30:00+02:00,518,4,128
Borken (Kreis),2020-04-13T11:30:00+02:00,783,24,391
Bottrop,2020-04-13T11:30:00+02:00,88,3,39
Coesfeld (Kreis),2020-04-13T11:30:00+02:00,458,12,247
Dortmund,2020-04-13T11:30:00+02:00,547,3,259
Duisburg,2020-04-13T11:30:00+02:00,571,9,318
Düren (Kreis),2020-04-13T11:30:00+02:00,460,15,213
Düsseldorf,2020-04-13T11:30:00+02:00,771,10,382
Ennepe-Ruhr-Kreis,2020-04-13T11:30:00+02:00,326,5,185
Essen,2020-04-13T11:30:00+02:00,616,25,315
Euskirchen (Kreis),2020-04-13T11:30:00+02:00,272,6,103
Gelsenkirchen,2020-04-13T11:30:00+02:00,247,4,49
Gütersloh (Kreis),2020-04-13T11:30:00+02:00,545,13,336
Hagen,2020-04-13T11:30:00+02:00,169,2,84
Hamm,2020-04-13T11:30:00+02:00,321,10,136
Heinsberg (Kreis),2020-04-13T11:30:00+02:00,1577,52,1046
Herford (Kreis),2020-04-13T11:30:00+02:00,283,4,126
Herne,2020-04-13T11:30:00+02:00,100,0,50
Hochsauerlandkreis,2020-04-13T11:30:00+02:00,510,9,250
Höxter (Kreis),2020-04-13T11:30:00+02:00,211,1,77
Kleve (Kreis),2020-04-13T11:30:00+02:00,422,8,180
Köln,2020-04-13T11:30:00+02:00,2025,48,1214
Krefeld,2020-04-13T11:30:00+02:00,327,5,223
Leverkusen,2020-04-13T11:30:00+02:00,167,2,76
Lippe (Kreis),2020-04-13T11:30:00+02:00,571,9,191
Märkischer Kreis,2020-04-13T11:30:00+02:00,335,8,64
Mettmann (Kreis),2020-04-13T11:30:00+02:00,843,27,383
Minden-Lübbecke (Kreis),2020-04-13T11:30:00+02:00,477,3,251
Mönchengladbach,2020-04-13T11:30:00+02:00,374,16,196
Mülheim / Ruhr,2020-04-13T11:30:00+02:00,131,4,77
Münster,2020-04-13T11:30:00+02:00,609,7,412
Oberbergischer Kreis,2020-04-13T11:30:00+02:00,587,9,204
Oberhausen,2020-04-13T11:30:00+02:00,144,0,58
Olpe (Kreis),2020-04-13T11:30:00+02:00,422,14,175
Paderborn (Kreis),2020-04-13T11:30:00+02:00,484,13,128
Recklinghausen (Kreis),2020-04-13T11:30:00+02:00,669,5,383
Remscheid,2020-04-13T11:30:00+02:00,149,2,64
Rhein-Erft-Kreis,2020-04-13T11:30:00+02:00,792,31,253
Rheinisch-Bergischer Kreis,2020-04-13T11:30:00+02:00,364,3,197
Rhein-Kreis Neuss,2020-04-13T11:30:00+02:00,536,11,388
Rhein-Sieg-Kreis,2020-04-13T11:30:00+02:00,938,18,389
Siegen-Wittgenstein (Kreis),2020-04-13T11:30:00+02:00,212,6,73
Soest (Kreis),2020-04-13T11:30:00+02:00,311,2,170
Solingen,2020-04-13T11:30:00+02:00,187,2,91
Steinfurt (Kreis),2020-04-13T11:30:00+02:00,983,24,389
Unna (Kreis),2020-04-13T11:30:00+02:00,488,16,181
Viersen (Kreis),2020-04-13T11:30:00+02:00,489,15,136
Warendorf (Kreis),2020-04-13T11:30:00+02:00,401,4,275
Wesel (Kreis),2020-04-13T11:30:00+02:00,396,9,257
Wuppertal,2020-04-13T11:30:00+02:00,571,18,228
