Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-28T11:30:00+01:00,746,14
Bielefeld,2020-03-28T11:30:00+01:00,142,0
Bochum,2020-03-28T11:30:00+01:00,219,4
Bonn,2020-03-28T11:30:00+01:00,241,1
Borken (Kreis),2020-03-28T11:30:00+01:00,399,4
Bottrop,2020-03-28T11:30:00+01:00,32,1
Coesfeld (Kreis),2020-03-28T11:30:00+01:00,274,1
Dortmund,2020-03-28T11:30:00+01:00,238,0
Duisburg,2020-03-28T11:30:00+01:00,234,1
Düren (Kreis),2020-03-28T11:30:00+01:00,217,1
Düsseldorf,2020-03-28T11:30:00+01:00,319,2
Ennepe-Ruhr-Kreis,2020-03-28T11:30:00+01:00,108,1
Essen,2020-03-28T11:30:00+01:00,360,6
Euskirchen (Kreis),2020-03-28T11:30:00+01:00,101,0
Gelsenkirchen,2020-03-28T11:30:00+01:00,81,0
Gütersloh (Kreis),2020-03-28T11:30:00+01:00,335,1
Hagen,2020-03-28T11:30:00+01:00,62,2
Hamm,2020-03-28T11:30:00+01:00,131,1
Heinsberg (Kreis),2020-03-28T11:30:00+01:00,1202,30
Herford (Kreis),2020-03-28T11:30:00+01:00,138,0
Herne,2020-03-28T11:30:00+01:00,45,0
Hochsauerlandkreis (Kreis),2020-03-28T11:30:00+01:00,213,0
Höxter (Kreis),2020-03-28T11:30:00+01:00,54,0
Kleve (Kreis),2020-03-28T11:30:00+01:00,211,2
Köln,2020-03-28T11:30:00+01:00,1116,7
Krefeld,2020-03-28T11:30:00+01:00,185,0
Leverkusen,2020-03-28T11:30:00+01:00,88,0
Lippe (Kreis),2020-03-28T11:30:00+01:00,261,1
Märkischer Kreis,2020-03-28T11:30:00+01:00,89,0
Mettmann (Kreis),2020-03-28T11:30:00+01:00,271,3
Minden-Lübbecke (Kreis),2020-03-28T11:30:00+01:00,241,0
Mönchengladbach,2020-03-28T11:30:00+01:00,163,1
Mülheim / Ruhr,2020-03-28T11:30:00+01:00,62,0
Münster,2020-03-28T11:30:00+01:00,414,2
Oberbergischer Kreis,2020-03-28T11:30:00+01:00,170,1
Oberhausen,2020-03-28T11:30:00+01:00,61,0
Olpe (Kreis),2020-03-28T11:30:00+01:00,89,0
Paderborn (Kreis),2020-03-28T11:30:00+01:00,152,0
Recklinghausen (Kreis),2020-03-28T11:30:00+01:00,309,0
Remscheid,2020-03-28T11:30:00+01:00,52,1
Rhein-Erft-Kreis,2020-03-28T11:30:00+01:00,296,1
Rheinisch-Bergischer Kreis,2020-03-28T11:30:00+01:00,163,1
Rhein-Kreis Neuss,2020-03-28T11:30:00+01:00,282,4
Rhein-Sieg-Kreis,2020-03-28T11:30:00+01:00,460,2
Siegen-Wittgenstein (Kreis),2020-03-28T11:30:00+01:00,79,1
Soest (Kreis),2020-03-28T11:30:00+01:00,153,0
Solingen,2020-03-28T11:30:00+01:00,81,0
Steinfurt (Kreis),2020-03-28T11:30:00+01:00,353,1
Unna (Kreis),2020-03-28T11:30:00+01:00,162,1
Viersen (Kreis),2020-03-28T11:30:00+01:00,234,1
Warendorf (Kreis),2020-03-28T11:30:00+01:00,286,1
Wesel (Kreis),2020-03-28T11:30:00+01:00,198,2
Wuppertal,2020-03-28T11:30:00+01:00,172,2
