Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-09-21T03:30:00+02:00,2541,103,2329
Bielefeld,2020-09-21T03:30:00+02:00,827,9,746
Bochum,2020-09-21T03:30:00+02:00,1235,28,1050
Bonn,2020-09-21T03:30:00+02:00,1160,9,1115
Borken (Kreis),2020-09-21T03:30:00+02:00,1307,38,1234
Bottrop,2020-09-21T03:30:00+02:00,333,7,309
Coesfeld (Kreis),2020-09-21T03:30:00+02:00,935,25,898
Dortmund,2020-09-21T03:30:00+02:00,1879,20,1662
Duisburg,2020-09-21T03:30:00+02:00,2638,70,2437
Düren (Kreis),2020-09-21T03:30:00+02:00,962,41,858
Düsseldorf,2020-09-21T03:30:00+02:00,2953,47,2782
Ennepe-Ruhr-Kreis,2020-09-21T03:30:00+02:00,815,15,741
Essen,2020-09-21T03:30:00+02:00,1855,46,1645
Euskirchen (Kreis),2020-09-21T03:30:00+02:00,733,27,706
Gelsenkirchen,2020-09-21T03:30:00+02:00,996,19,834
Gütersloh (Kreis),2020-09-21T03:30:00+02:00,2939,20,2871
Hagen,2020-09-21T03:30:00+02:00,735,14,721
Hamm,2020-09-21T03:30:00+02:00,818,38,490
Heinsberg (Kreis),2020-09-21T03:30:00+02:00,2134,92,1986
Herford (Kreis),2020-09-21T03:30:00+02:00,609,8,559
Herne,2020-09-21T03:30:00+02:00,502,6,463
Hochsauerlandkreis,2020-09-21T03:30:00+02:00,863,18,816
Höxter (Kreis),2020-09-21T03:30:00+02:00,431,18,396
Kleve (Kreis),2020-09-21T03:30:00+02:00,1084,37,1013
Köln,2020-09-21T03:30:00+02:00,4503,118,3773
Krefeld,2020-09-21T03:30:00+02:00,964,26,834
Leverkusen,2020-09-21T03:30:00+02:00,517,8,467
Lippe (Kreis),2020-09-21T03:30:00+02:00,959,31,871
Märkischer Kreis,2020-09-21T03:30:00+02:00,1030,32,911
Mettmann (Kreis),2020-09-21T03:30:00+02:00,1887,85,1681
Minden-Lübbecke (Kreis),2020-09-21T03:30:00+02:00,846,13,748
Mönchengladbach,2020-09-21T03:30:00+02:00,1048,50,940
Mülheim / Ruhr,2020-09-21T03:30:00+02:00,566,14,490
Münster,2020-09-21T03:30:00+02:00,994,13,932
Oberbergischer Kreis,2020-09-21T03:30:00+02:00,751,19,617
Oberhausen,2020-09-21T03:30:00+02:00,575,14,517
Olpe (Kreis),2020-09-21T03:30:00+02:00,787,56,700
Paderborn (Kreis),2020-09-21T03:30:00+02:00,880,34,805
Recklinghausen (Kreis),2020-09-21T03:30:00+02:00,2057,44,1852
Remscheid,2020-09-21T03:30:00+02:00,428,19,345
Rhein-Erft-Kreis,2020-09-21T03:30:00+02:00,1635,78,1447
Rheinisch-Bergischer Kreis,2020-09-21T03:30:00+02:00,699,22,677
Rhein-Kreis Neuss,2020-09-21T03:30:00+02:00,1238,24,1172
Rhein-Sieg-Kreis,2020-09-21T03:30:00+02:00,2033,54,1862
Siegen-Wittgenstein (Kreis),2020-09-21T03:30:00+02:00,591,8,529
Soest (Kreis),2020-09-21T03:30:00+02:00,524,8,494
Solingen,2020-09-21T03:30:00+02:00,589,13,473
Steinfurt (Kreis),2020-09-21T03:30:00+02:00,1692,91,1513
Unna (Kreis),2020-09-21T03:30:00+02:00,1242,42,1114
Viersen (Kreis),2020-09-21T03:30:00+02:00,992,37,905
Warendorf (Kreis),2020-09-21T03:30:00+02:00,1002,21,942
Wesel (Kreis),2020-09-21T03:30:00+02:00,1317,30,1137
Wuppertal,2020-09-21T03:30:00+02:00,1600,86,1406
