Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-24T10:45:00+01:00,530,5
Bielefeld,2020-03-24T10:45:00+01:00,98,0
Bochum,2020-03-24T10:45:00+01:00,141,1
Bonn,2020-03-24T10:45:00+01:00,161,0
Borken (Kreis),2020-03-24T10:45:00+01:00,296,1
Bottrop,2020-03-24T10:45:00+01:00,17,0
Coesfeld (Kreis),2020-03-24T10:45:00+01:00,166,0
Dortmund,2020-03-24T10:45:00+01:00,174,0
Duisburg,2020-03-24T10:45:00+01:00,160,0
Düren (Kreis),2020-03-24T10:45:00+01:00,150,1
Düsseldorf,2020-03-24T10:45:00+01:00,280,2
Ennepe-Ruhr-Kreis,2020-03-24T10:45:00+01:00,76,1
Essen,2020-03-24T10:45:00+01:00,228,1
Euskirchen (Kreis),2020-03-24T10:45:00+01:00,59,0
Gelsenkirchen,2020-03-24T10:45:00+01:00,50,0
Gütersloh (Kreis),2020-03-24T10:45:00+01:00,224,0
Hagen,2020-03-24T10:45:00+01:00,49,0
Hamm,2020-03-24T10:45:00+01:00,89,0
Heinsberg (Kreis),2020-03-24T10:45:00+01:00,1004,21
Herford (Kreis),2020-03-24T10:45:00+01:00,101,0
Herne,2020-03-24T10:45:00+01:00,27,0
Hochsauerlandkreis,2020-03-24T10:45:00+01:00,139,0
Höxter (Kreis),2020-03-24T10:45:00+01:00,21,0
Kleve (Kreis),2020-03-24T10:45:00+01:00,126,0
Köln,2020-03-24T10:45:00+01:00,839,3
Krefeld,2020-03-24T10:45:00+01:00,97,0
Leverkusen,2020-03-24T10:45:00+01:00,58,0
Lippe (Kreis),2020-03-24T10:45:00+01:00,170,1
Märkischer Kreis,2020-03-24T10:45:00+01:00,47,0
Mettmann (Kreis),2020-03-24T10:45:00+01:00,197,1
Minden-Lübbecke (Kreis),2020-03-24T10:45:00+01:00,166,0
Mönchengladbach,2020-03-24T10:45:00+01:00,106,0
Mülheim / Ruhr,2020-03-24T10:45:00+01:00,43,0
Münster,2020-03-24T10:45:00+01:00,279,0
Oberbergischer Kreis,2020-03-24T10:45:00+01:00,100,0
Oberhausen,2020-03-24T10:45:00+01:00,37,0
Olpe (Kreis),2020-03-24T10:45:00+01:00,19,0
Paderborn (Kreis),2020-03-24T10:45:00+01:00,92,0
Recklinghausen (Kreis),2020-03-24T10:45:00+01:00,162,0
Remscheid,2020-03-24T10:45:00+01:00,33,0
Rhein-Erft-Kreis,2020-03-24T10:45:00+01:00,199,0
Rheinisch-Bergischer Kreis,2020-03-24T10:45:00+01:00,108,1
Rhein-Kreis Neuss,2020-03-24T10:45:00+01:00,153,3
Rhein-Sieg-Kreis,2020-03-24T10:45:00+01:00,323,0
Siegen-Wittgenstein (Kreis),2020-03-24T10:45:00+01:00,50,0
Soest (Kreis),2020-03-24T10:45:00+01:00,99,0
Solingen,2020-03-24T10:45:00+01:00,51,0
Steinfurt (Kreis),2020-03-24T10:45:00+01:00,222,0
Unna (Kreis),2020-03-24T10:45:00+01:00,98,0
Viersen (Kreis),2020-03-24T10:45:00+01:00,168,1
Warendorf (Kreis),2020-03-24T10:45:00+01:00,207,0
Wesel (Kreis),2020-03-24T10:45:00+01:00,146,1
Wuppertal,2020-03-24T10:45:00+01:00,110,1
