Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-04-04T11:30:00+02:00,1210,27
Bielefeld,2020-04-04T11:30:00+02:00,205,1
Bochum,2020-04-04T11:30:00+02:00,301,10
Bonn,2020-04-04T11:30:00+02:00,370,3
Borken (Kreis),2020-04-04T11:30:00+02:00,609,9
Bottrop,2020-04-04T11:30:00+02:00,55,1
Coesfeld (Kreis),2020-04-04T11:30:00+02:00,375,7
Dortmund,2020-04-04T11:30:00+02:00,380,1
Duisburg,2020-04-04T11:30:00+02:00,379,2
Düren (Kreis),2020-04-04T11:30:00+02:00,335,9
Düsseldorf,2020-04-04T11:30:00+02:00,543,4
Ennepe-Ruhr-Kreis,2020-04-04T11:30:00+02:00,229,1
Essen,2020-04-04T11:30:00+02:00,481,9
Euskirchen (Kreis),2020-04-04T11:30:00+02:00,165,2
Gelsenkirchen,2020-04-04T11:30:00+02:00,159,2
Gütersloh (Kreis),2020-04-04T11:30:00+02:00,446,3
Hagen,2020-04-04T11:30:00+02:00,96,2
Hamm,2020-04-04T11:30:00+02:00,217,4
Heinsberg (Kreis),2020-04-04T11:30:00+02:00,1432,40
Herford (Kreis),2020-04-04T11:30:00+02:00,213,1
Herne,2020-04-04T11:30:00+02:00,68,0
Hochsauerlandkreis,2020-04-04T11:30:00+02:00,346,1
Höxter (Kreis),2020-04-04T11:30:00+02:00,99,1
Kleve (Kreis),2020-04-04T11:30:00+02:00,285,3
Köln,2020-04-04T11:30:00+02:00,1694,26
Krefeld,2020-04-04T11:30:00+02:00,264,1
Leverkusen,2020-04-04T11:30:00+02:00,146,1
Lippe (Kreis),2020-04-04T11:30:00+02:00,429,3
Märkischer Kreis,2020-04-04T11:30:00+02:00,175,3
Mettmann (Kreis),2020-04-04T11:30:00+02:00,484,9
Minden-Lübbecke (Kreis),2020-04-04T11:30:00+02:00,385,1
Mönchengladbach,2020-04-04T11:30:00+02:00,250,1
Mülheim / Ruhr,2020-04-04T11:30:00+02:00,96,2
Münster,2020-04-04T11:30:00+02:00,537,2
Oberbergischer Kreis,2020-04-04T11:30:00+02:00,303,2
Oberhausen,2020-04-04T11:30:00+02:00,91,0
Olpe (Kreis),2020-04-04T11:30:00+02:00,193,2
Paderborn (Kreis),2020-04-04T11:30:00+02:00,338,5
Recklinghausen (Kreis),2020-04-04T11:30:00+02:00,490,1
Remscheid,2020-04-04T11:30:00+02:00,89,1
Rhein-Erft-Kreis,2020-04-04T11:30:00+02:00,514,7
Rheinisch-Bergischer Kreis,2020-04-04T11:30:00+02:00,236,3
Rhein-Kreis Neuss,2020-04-04T11:30:00+02:00,425,6
Rhein-Sieg-Kreis,2020-04-04T11:30:00+02:00,675,3
Siegen-Wittgenstein (Kreis),2020-04-04T11:30:00+02:00,140,2
Soest (Kreis),2020-04-04T11:30:00+02:00,220,1
Solingen,2020-04-04T11:30:00+02:00,132,1
Steinfurt (Kreis),2020-04-04T11:30:00+02:00,574,5
Unna (Kreis),2020-04-04T11:30:00+02:00,282,3
Viersen (Kreis),2020-04-04T11:30:00+02:00,353,7
Warendorf (Kreis),2020-04-04T11:30:00+02:00,341,2
Wesel (Kreis),2020-04-04T11:30:00+02:00,267,2
Wuppertal,2020-04-04T11:30:00+02:00,284,5
