Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-06-30T03:30:00+02:00,2001,98,1883
Bielefeld,2020-06-30T03:30:00+02:00,460,5,407
Bochum,2020-06-30T03:30:00+02:00,623,19,564
Bonn,2020-06-30T03:30:00+02:00,757,8,748
Borken (Kreis),2020-06-30T03:30:00+02:00,1114,39,1069
Bottrop,2020-06-30T03:30:00+02:00,211,7,204
Coesfeld (Kreis),2020-06-30T03:30:00+02:00,871,24,845
Dortmund,2020-06-30T03:30:00+02:00,967,11,821
Duisburg,2020-06-30T03:30:00+02:00,1534,58,1269
Düren (Kreis),2020-06-30T03:30:00+02:00,616,39,562
Düsseldorf,2020-06-30T03:30:00+02:00,1791,37,1501
Ennepe-Ruhr-Kreis,2020-06-30T03:30:00+02:00,474,14,441
Essen,2020-06-30T03:30:00+02:00,978,41,873
Euskirchen (Kreis),2020-06-30T03:30:00+02:00,480,23,448
Gelsenkirchen,2020-06-30T03:30:00+02:00,509,16,416
Gütersloh (Kreis),2020-06-30T03:30:00+02:00,2254,20,738
Hagen,2020-06-30T03:30:00+02:00,403,13,332
Hamm,2020-06-30T03:30:00+02:00,551,36,444
Heinsberg (Kreis),2020-06-30T03:30:00+02:00,1951,81,1811
Herford (Kreis),2020-06-30T03:30:00+02:00,377,7,346
Herne,2020-06-30T03:30:00+02:00,241,2,204
Hochsauerlandkreis,2020-06-30T03:30:00+02:00,624,17,593
Höxter (Kreis),2020-06-30T03:30:00+02:00,371,18,346
Kleve (Kreis),2020-06-30T03:30:00+02:00,810,37,745
Köln,2020-06-30T03:30:00+02:00,2602,104,2438
Krefeld,2020-06-30T03:30:00+02:00,661,22,622
Leverkusen,2020-06-30T03:30:00+02:00,253,5,242
Lippe (Kreis),2020-06-30T03:30:00+02:00,759,29,716
Märkischer Kreis,2020-06-30T03:30:00+02:00,620,31,573
Mettmann (Kreis),2020-06-30T03:30:00+02:00,1030,79,898
Minden-Lübbecke (Kreis),2020-06-30T03:30:00+02:00,497,13,484
Mönchengladbach,2020-06-30T03:30:00+02:00,683,41,599
Mülheim / Ruhr,2020-06-30T03:30:00+02:00,259,13,210
Münster,2020-06-30T03:30:00+02:00,732,13,713
Oberbergischer Kreis,2020-06-30T03:30:00+02:00,494,18,472
Oberhausen,2020-06-30T03:30:00+02:00,296,10,257
Olpe (Kreis),2020-06-30T03:30:00+02:00,653,56,583
Paderborn (Kreis),2020-06-30T03:30:00+02:00,714,34,620
Recklinghausen (Kreis),2020-06-30T03:30:00+02:00,1378,40,1269
Remscheid,2020-06-30T03:30:00+02:00,243,18,223
Rhein-Erft-Kreis,2020-06-30T03:30:00+02:00,1117,76,1025
Rheinisch-Bergischer Kreis,2020-06-30T03:30:00+02:00,473,22,448
Rhein-Kreis Neuss,2020-06-30T03:30:00+02:00,776,20,702
Rhein-Sieg-Kreis,2020-06-30T03:30:00+02:00,1466,50,1404
Siegen-Wittgenstein (Kreis),2020-06-30T03:30:00+02:00,315,8,306
Soest (Kreis),2020-06-30T03:30:00+02:00,390,8,363
Solingen,2020-06-30T03:30:00+02:00,293,8,249
Steinfurt (Kreis),2020-06-30T03:30:00+02:00,1340,83,1254
Unna (Kreis),2020-06-30T03:30:00+02:00,761,39,588
Viersen (Kreis),2020-06-30T03:30:00+02:00,734,37,679
Warendorf (Kreis),2020-06-30T03:30:00+02:00,768,20,485
Wesel (Kreis),2020-06-30T03:30:00+02:00,777,27,604
Wuppertal,2020-06-30T03:30:00+02:00,1011,86,861
