Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-04-06T10:00:00+02:00,1270,27
Bielefeld,2020-04-06T10:00:00+02:00,222,1
Bochum,2020-04-06T10:00:00+02:00,315,10
Bonn,2020-04-06T10:00:00+02:00,412,2
Borken (Kreis),2020-04-06T10:00:00+02:00,650,12
Bottrop,2020-04-06T10:00:00+02:00,60,1
Coesfeld (Kreis),2020-04-06T10:00:00+02:00,394,5
Dortmund,2020-04-06T10:00:00+02:00,393,1
Duisburg,2020-04-06T10:00:00+02:00,404,3
Düren (Kreis),2020-04-06T10:00:00+02:00,347,12
Düsseldorf,2020-04-06T10:00:00+02:00,575,5
Ennepe-Ruhr-Kreis,2020-04-06T10:00:00+02:00,315,10
Essen,2020-04-06T10:00:00+02:00,515,13
Euskirchen (Kreis),2020-04-06T10:00:00+02:00,209,1
Gelsenkirchen,2020-04-06T10:00:00+02:00,170,2
Gütersloh (Kreis),2020-04-06T10:00:00+02:00,481,4
Hagen,2020-04-06T10:00:00+02:00,96,2
Hamm,2020-04-06T10:00:00+02:00,243,4
Heinsberg (Kreis),2020-04-06T10:00:00+02:00,1461,44
Herford (Kreis),2020-04-06T10:00:00+02:00,237,1
Herne,2020-04-06T10:00:00+02:00,69,0
Hochsauerlandkreis (Kreis),2020-04-06T10:00:00+02:00,379,2
Höxter (Kreis),2020-04-06T10:00:00+02:00,148,1
Kleve (Kreis),2020-04-06T10:00:00+02:00,285,3
Köln,2020-04-06T10:00:00+02:00,1738,27
Krefeld,2020-04-06T10:00:00+02:00,269,1
Leverkusen,2020-04-06T10:00:00+02:00,149,1
Lippe (Kreis),2020-04-06T10:00:00+02:00,468,5
Märkischer Kreis,2020-04-06T10:00:00+02:00,167,2
Mettmann (Kreis),2020-04-06T10:00:00+02:00,529,10
Minden-Lübbecke (Kreis),2020-04-06T10:00:00+02:00,397,1
Mönchengladbach,2020-04-06T10:00:00+02:00,265,3
Mülheim / Ruhr,2020-04-06T10:00:00+02:00,101,2
Münster,2020-04-06T10:00:00+02:00,552,2
Oberbergischer Kreis,2020-04-06T10:00:00+02:00,306,2
Oberhausen,2020-04-06T10:00:00+02:00,108,0
Olpe (Kreis),2020-04-06T10:00:00+02:00,216,4
Paderborn (Kreis),2020-04-06T10:00:00+02:00,386,5
Recklinghausen (Kreis),2020-04-06T10:00:00+02:00,530,2
Remscheid,2020-04-06T10:00:00+02:00,92,2
Rhein-Erft-Kreis,2020-04-06T10:00:00+02:00,578,13
Rheinisch-Bergischer Kreis,2020-04-06T10:00:00+02:00,250,3
Rhein-Kreis Neuss,2020-04-06T10:00:00+02:00,455,6
Rhein-Sieg-Kreis,2020-04-06T10:00:00+02:00,714,6
Siegen-Wittgenstein (Kreis),2020-04-06T10:00:00+02:00,167,3
Soest (Kreis),2020-04-06T10:00:00+02:00,224,1
Solingen,2020-04-06T10:00:00+02:00,137,1
Steinfurt (Kreis),2020-04-06T10:00:00+02:00,631,8
Unna (Kreis),2020-04-06T10:00:00+02:00,331,8
Viersen (Kreis),2020-04-06T10:00:00+02:00,393,9
Warendorf (Kreis),2020-04-06T10:00:00+02:00,342,2
Wesel (Kreis),2020-04-06T10:00:00+02:00,278,2
Wuppertal,2020-04-06T10:00:00+02:00,298,5
