Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-29T11:30:00+02:00,787,14
Bielefeld,2020-03-29T11:30:00+02:00,146,0
Bochum,2020-03-29T11:30:00+02:00,219,4
Bonn,2020-03-29T11:30:00+02:00,259,1
Borken (Kreis),2020-03-29T11:30:00+02:00,424,4
Bottrop,2020-03-29T11:30:00+02:00,37,1
Coesfeld (Kreis),2020-03-29T11:30:00+02:00,303,1
Dortmund,2020-03-29T11:30:00+02:00,256,0
Duisburg,2020-03-29T11:30:00+02:00,276,1
Düren (Kreis),2020-03-29T11:30:00+02:00,232,1
Düsseldorf,2020-03-29T11:30:00+02:00,359,2
Ennepe-Ruhr-Kreis,2020-03-29T11:30:00+02:00,159,1
Essen,2020-03-29T11:30:00+02:00,360,6
Euskirchen (Kreis),2020-03-29T11:30:00+02:00,105,0
Gelsenkirchen,2020-03-29T11:30:00+02:00,91,0
Gütersloh (Kreis),2020-03-29T11:30:00+02:00,356,1
Hagen,2020-03-29T11:30:00+02:00,62,2
Hamm,2020-03-29T11:30:00+02:00,146,1
Heinsberg (Kreis),2020-03-29T11:30:00+02:00,1246,31
Herford (Kreis),2020-03-29T11:30:00+02:00,143,0
Herne ,2020-03-29T11:30:00+02:00,51,0
Hochsauerlandkreis (Kreis),2020-03-29T11:30:00+02:00,231,0
Höxter (Kreis),2020-03-29T11:30:00+02:00,63,0
Kleve (Kreis),2020-03-29T11:30:00+02:00,233,2
Köln,2020-03-29T11:30:00+02:00,1212,7
Krefeld,2020-03-29T11:30:00+02:00,185,0
Leverkusen,2020-03-29T11:30:00+02:00,102,0
Lippe (Kreis),2020-03-29T11:30:00+02:00,279,2
Märkischer Kreis,2020-03-29T11:30:00+02:00,100,0
Mettmann (Kreis),2020-03-29T11:30:00+02:00,284,4
Minden-Lübbecke (Kreis),2020-03-29T11:30:00+02:00,246,0
Mönchengladbach,2020-03-29T11:30:00+02:00,168,1
Mülheim / Ruhr,2020-03-29T11:30:00+02:00,62,1
Münster,2020-03-29T11:30:00+02:00,443,2
Oberbergischer Kreis,2020-03-29T11:30:00+02:00,182,1
Oberhausen,2020-03-29T11:30:00+02:00,63,0
Olpe (Kreis),2020-03-29T11:30:00+02:00,102,0
Paderborn (Kreis),2020-03-29T11:30:00+02:00,187,0
Recklinghausen (Kreis),2020-03-29T11:30:00+02:00,322,0
Remscheid,2020-03-29T11:30:00+02:00,56,1
Rhein-Erft-Kreis,2020-03-29T11:30:00+02:00,296,1
Rheinisch-Bergischer Kreis,2020-03-29T11:30:00+02:00,171,1
Rhein-Kreis Neuss,2020-03-29T11:30:00+02:00,282,4
Rhein-Sieg-Kreis,2020-03-29T11:30:00+02:00,490,2
Siegen-Wittgenstein (Kreis),2020-03-29T11:30:00+02:00,92,1
Soest (Kreis),2020-03-29T11:30:00+02:00,176,0
Solingen,2020-03-29T11:30:00+02:00,87,0
Steinfurt (Kreis),2020-03-29T11:30:00+02:00,388,1
Unna (Kreis),2020-03-29T11:30:00+02:00,171,2
Viersen (Kreis),2020-03-29T11:30:00+02:00,249,1
Warendorf (Kreis),2020-03-29T11:30:00+02:00,289,1
Wesel (Kreis),2020-03-29T11:30:00+02:00,217,2
Wuppertal,2020-03-29T11:30:00+02:00,185,2
