Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-06-16T03:30:00+02:00,1982,95,1871
Bielefeld,2020-06-16T03:30:00+02:00,414,5,399
Bochum,2020-06-16T03:30:00+02:00,581,19,521
Bonn,2020-06-16T03:30:00+02:00,750,8,737
Borken (Kreis),2020-06-16T03:30:00+02:00,1109,38,1056
Bottrop,2020-06-16T03:30:00+02:00,210,7,197
Coesfeld (Kreis),2020-06-16T03:30:00+02:00,869,24,835
Dortmund,2020-06-16T03:30:00+02:00,828,8,729
Duisburg,2020-06-16T03:30:00+02:00,1335,57,1083
Düren (Kreis),2020-06-16T03:30:00+02:00,604,39,555
Düsseldorf,2020-06-16T03:30:00+02:00,1555,33,1405
Ennepe-Ruhr-Kreis,2020-06-16T03:30:00+02:00,456,14,416
Essen,2020-06-16T03:30:00+02:00,897,41,798
Euskirchen (Kreis),2020-06-16T03:30:00+02:00,471,22,424
Gelsenkirchen,2020-06-16T03:30:00+02:00,446,14,372
Gütersloh (Kreis),2020-06-16T03:30:00+02:00,813,20,660
Hagen,2020-06-16T03:30:00+02:00,346,13,317
Hamm,2020-06-16T03:30:00+02:00,482,36,437
Heinsberg (Kreis),2020-06-16T03:30:00+02:00,1906,78,1781
Herford (Kreis),2020-06-16T03:30:00+02:00,340,7,324
Herne,2020-06-16T03:30:00+02:00,205,2,190
Hochsauerlandkreis,2020-06-16T03:30:00+02:00,614,17,591
Höxter (Kreis),2020-06-16T03:30:00+02:00,365,17,334
Kleve (Kreis),2020-06-16T03:30:00+02:00,773,37,655
Köln,2020-06-16T03:30:00+02:00,2554,100,2383
Krefeld,2020-06-16T03:30:00+02:00,645,22,610
Leverkusen,2020-06-16T03:30:00+02:00,244,5,234
Lippe (Kreis),2020-06-16T03:30:00+02:00,749,29,715
Märkischer Kreis,2020-06-16T03:30:00+02:00,605,31,567
Mettmann (Kreis),2020-06-16T03:30:00+02:00,973,79,883
Minden-Lübbecke (Kreis),2020-06-16T03:30:00+02:00,489,12,472
Mönchengladbach,2020-06-16T03:30:00+02:00,645,41,576
Mülheim / Ruhr,2020-06-16T03:30:00+02:00,222,11,195
Münster,2020-06-16T03:30:00+02:00,729,13,696
Oberbergischer Kreis,2020-06-16T03:30:00+02:00,490,18,470
Oberhausen,2020-06-16T03:30:00+02:00,269,10,250
Olpe (Kreis),2020-06-16T03:30:00+02:00,639,56,579
Paderborn (Kreis),2020-06-16T03:30:00+02:00,669,33,602
Recklinghausen (Kreis),2020-06-16T03:30:00+02:00,1310,40,1227
Remscheid,2020-06-16T03:30:00+02:00,240,18,221
Rhein-Erft-Kreis,2020-06-16T03:30:00+02:00,1104,76,1013
Rheinisch-Bergischer Kreis,2020-06-16T03:30:00+02:00,471,21,439
Rhein-Kreis Neuss,2020-06-16T03:30:00+02:00,718,20,694
Rhein-Sieg-Kreis,2020-06-16T03:30:00+02:00,1452,50,1386
Siegen-Wittgenstein (Kreis),2020-06-16T03:30:00+02:00,314,8,304
Soest (Kreis),2020-06-16T03:30:00+02:00,371,8,354
Solingen,2020-06-16T03:30:00+02:00,264,8,241
Steinfurt (Kreis),2020-06-16T03:30:00+02:00,1335,82,1238
Unna (Kreis),2020-06-16T03:30:00+02:00,701,38,588
Viersen (Kreis),2020-06-16T03:30:00+02:00,715,36,668
Warendorf (Kreis),2020-06-16T03:30:00+02:00,525,20,471
Wesel (Kreis),2020-06-16T03:30:00+02:00,660,27,570
Wuppertal,2020-06-16T03:30:00+02:00,959,85,845
