Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-02T03:30:00+02:00,1884,83,1535
Bielefeld,2020-05-02T03:30:00+02:00,379,3,312
Bochum,2020-05-02T03:30:00+02:00,431,16,371
Bonn,2020-05-02T03:30:00+02:00,662,6,453
Borken (Kreis),2020-05-02T03:30:00+02:00,886,37,723
Bottrop,2020-05-02T03:30:00+02:00,155,6,95
Coesfeld (Kreis),2020-05-02T03:30:00+02:00,517,22,423
Dortmund,2020-05-02T03:30:00+02:00,689,6,588
Duisburg,2020-05-02T03:30:00+02:00,878,21,637
Düren (Kreis),2020-05-02T03:30:00+02:00,558,31,426
Düsseldorf,2020-05-02T03:30:00+02:00,1060,24,833
Ennepe-Ruhr-Kreis,2020-05-02T03:30:00+02:00,390,13,310
Essen,2020-05-02T03:30:00+02:00,742,33,573
Euskirchen (Kreis),2020-05-02T03:30:00+02:00,370,15,242
Gelsenkirchen,2020-05-02T03:30:00+02:00,338,11,227
Gütersloh (Kreis),2020-05-02T03:30:00+02:00,596,18,459
Hagen,2020-05-02T03:30:00+02:00,261,7,176
Hamm,2020-05-02T03:30:00+02:00,441,31,288
Heinsberg (Kreis),2020-05-02T03:30:00+02:00,1755,62,1522
Herford (Kreis),2020-05-02T03:30:00+02:00,325,6,255
Herne,2020-05-02T03:30:00+02:00,168,1,113
Hochsauerlandkreis,2020-05-02T03:30:00+02:00,583,15,472
Höxter (Kreis),2020-05-02T03:30:00+02:00,301,8,209
Kleve (Kreis),2020-05-02T03:30:00+02:00,588,25,401
Köln,2020-05-02T03:30:00+02:00,2289,85,2029
Krefeld,2020-05-02T03:30:00+02:00,503,19,385
Leverkusen,2020-05-02T03:30:00+02:00,200,4,160
Lippe (Kreis),2020-05-02T03:30:00+02:00,710,29,503
Märkischer Kreis,2020-05-02T03:30:00+02:00,562,22,363
Mettmann (Kreis),2020-05-02T03:30:00+02:00,859,59,625
Minden-Lübbecke (Kreis),2020-05-02T03:30:00+02:00,423,7,345
Mönchengladbach,2020-05-02T03:30:00+02:00,495,36,343
Mülheim / Ruhr,2020-05-02T03:30:00+02:00,176,7,124
Münster,2020-05-02T03:30:00+02:00,632,13,580
Oberbergischer Kreis,2020-05-02T03:30:00+02:00,451,13,358
Oberhausen,2020-05-02T03:30:00+02:00,194,1,155
Olpe (Kreis),2020-05-02T03:30:00+02:00,566,38,476
Paderborn (Kreis),2020-05-02T03:30:00+02:00,583,26,380
Recklinghausen (Kreis),2020-05-02T03:30:00+02:00,1060,24,754
Remscheid,2020-05-02T03:30:00+02:00,213,14,200
Rhein-Erft-Kreis,2020-05-02T03:30:00+02:00,984,57,572
Rheinisch-Bergischer Kreis,2020-05-02T03:30:00+02:00,429,15,318
Rhein-Kreis Neuss,2020-05-02T03:30:00+02:00,607,20,515
Rhein-Sieg-Kreis,2020-05-02T03:30:00+02:00,1167,41,932
Siegen-Wittgenstein (Kreis),2020-05-02T03:30:00+02:00,288,8,215
Soest (Kreis),2020-05-02T03:30:00+02:00,344,6,303
Solingen,2020-05-02T03:30:00+02:00,227,7,180
Steinfurt (Kreis),2020-05-02T03:30:00+02:00,1233,60,903
Unna (Kreis),2020-05-02T03:30:00+02:00,616,28,363
Viersen (Kreis),2020-05-02T03:30:00+02:00,645,29,400
Warendorf (Kreis),2020-05-02T03:30:00+02:00,465,13,363
Wesel (Kreis),2020-05-02T03:30:00+02:00,509,22,375
Wuppertal,2020-05-02T03:30:00+02:00,813,65,492
