Area,Date,Confirmed
Aachen & Städteregion Aachen,2020-03-22T11:00:00+01:00,501
Bielefeld,2020-03-22T11:00:00+01:00,81
Bochum,2020-03-22T11:00:00+01:00,99
Bonn,2020-03-22T11:00:00+01:00,132
Borken (Kreis),2020-03-22T11:00:00+01:00,274
Bottrop,2020-03-22T11:00:00+01:00,16
Coesfeld (Kreis),2020-03-22T11:00:00+01:00,152
Dortmund,2020-03-22T11:00:00+01:00,140
Duisburg,2020-03-22T11:00:00+01:00,89
Düren (Kreis),2020-03-22T11:00:00+01:00,130
Düsseldorf,2020-03-22T11:00:00+01:00,189
Ennepe-Ruhr-Kreis,2020-03-22T11:00:00+01:00,52
Essen,2020-03-22T11:00:00+01:00,218
Euskirchen (Kreis),2020-03-22T11:00:00+01:00,51
Gelsenkirchen,2020-03-22T11:00:00+01:00,41
Gütersloh (Kreis),2020-03-22T11:00:00+01:00,202
Hagen,2020-03-22T11:00:00+01:00,37
Hamm,2020-03-22T11:00:00+01:00,62
Heinsberg (Kreis),2020-03-22T11:00:00+01:00,964
Herford (Kreis),2020-03-22T11:00:00+01:00,97
Herne ,2020-03-22T11:00:00+01:00,23
Hochsauerlandkreis (Kreis),2020-03-22T11:00:00+01:00,116
Höxter (Kreis),2020-03-22T11:00:00+01:00,20
Kleve (Kreis),2020-03-22T11:00:00+01:00,109
Köln,2020-03-22T11:00:00+01:00,688
Krefeld,2020-03-22T11:00:00+01:00,71
Leverkusen,2020-03-22T11:00:00+01:00,48
Lippe (Kreis),2020-03-22T11:00:00+01:00,138
Märkischer Kreis,2020-03-22T11:00:00+01:00,38
Mettmann (Kreis),2020-03-22T11:00:00+01:00,113
Minden-Lübbecke (Kreis),2020-03-22T11:00:00+01:00,148
Mönchengladbach,2020-03-22T11:00:00+01:00,77
Mülheim / Ruhr,2020-03-22T11:00:00+01:00,36
Münster,2020-03-22T11:00:00+01:00,243
Oberbergischer Kreis,2020-03-22T11:00:00+01:00,75
Oberhausen,2020-03-22T11:00:00+01:00,35
Olpe (Kreis),2020-03-22T11:00:00+01:00,17
Paderborn (Kreis),2020-03-22T11:00:00+01:00,78
Recklinghausen (Kreis),2020-03-22T11:00:00+01:00,143
Remscheid,2020-03-22T11:00:00+01:00,21
Rhein-Erft-Kreis,2020-03-22T11:00:00+01:00,181
Rheinisch-Bergischer Kreis,2020-03-22T11:00:00+01:00,95
Rhein-Kreis Neuss,2020-03-22T11:00:00+01:00,119
Rhein-Sieg-Kreis,2020-03-22T11:00:00+01:00,262
Siegen-Wittgenstein (Kreis),2020-03-22T11:00:00+01:00,39
Soest (Kreis),2020-03-22T11:00:00+01:00,73
Solingen,2020-03-22T11:00:00+01:00,38
Steinfurt (Kreis),2020-03-22T11:00:00+01:00,201
Unna (Kreis),2020-03-22T11:00:00+01:00,60
Viersen (Kreis),2020-03-22T11:00:00+01:00,123
Warendorf (Kreis),2020-03-22T11:00:00+01:00,208
Wesel (Kreis),2020-03-22T11:00:00+01:00,124
Wuppertal,2020-03-22T11:00:00+01:00,74
