Area,Date,Confirmed,EConfirmed,Deaths,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-04-19T14:00:00+02:00,1693,1632,62,63,1159
Bielefeld,2020-04-19T14:00:00+02:00,345,338,2,2,210
Bochum,2020-04-19T14:00:00+02:00,402,400,15,15,281
Bonn,2020-04-19T14:00:00+02:00,570,571,4,5,349
Borken (Kreis),2020-04-19T14:00:00+02:00,839,835,28,26,556
Bottrop,2020-04-19T14:00:00+02:00,113,112,5,5,54
Coesfeld (Kreis),2020-04-19T14:00:00+02:00,480,474,13,16,333
Dortmund,2020-04-19T14:00:00+02:00,596,595,3,5,393
Duisburg,2020-04-19T14:00:00+02:00,662,632,9,9,411
Düren (Kreis),2020-04-19T14:00:00+02:00,506,511,20,23,288
Düsseldorf,2020-04-19T14:00:00+02:00,888,887,14,14,562
Ennepe-Ruhr-Kreis,2020-04-19T14:00:00+02:00,357,357,8,7,243
Essen,2020-04-19T14:00:00+02:00,677,540,30,28,391
Euskirchen (Kreis),2020-04-19T14:00:00+02:00,306,307,9,11,140
Gelsenkirchen,2020-04-19T14:00:00+02:00,279,244,9,8,130
Gütersloh (Kreis),2020-04-19T14:00:00+02:00,570,517,15,15,381
Hagen,2020-04-19T14:00:00+02:00,199,189,3,3,114
Hamm,2020-04-19T14:00:00+02:00,383,379,21,21,180
Heinsberg (Kreis),2020-04-19T14:00:00+02:00,1697,1684,58,53,1253
Herford (Kreis),2020-04-19T14:00:00+02:00,302,292,5,2,165
Herne,2020-04-19T14:00:00+02:00,126,130,1,1,67
Hochsauerlandkreis (Kreis),2020-04-19T14:00:00+02:00,547,548,13,13,317
Höxter (Kreis),2020-04-19T14:00:00+02:00,250,253,2,3,116
Kleve (Kreis),2020-04-19T14:00:00+02:00,475,495,15,14,255
Köln,2020-04-19T14:00:00+02:00,2130,2180,63,58,1647
Krefeld,2020-04-19T14:00:00+02:00,400,329,11,2,271
Leverkusen,2020-04-19T14:00:00+02:00,184,176,3,3,124
Lippe (Kreis),2020-04-19T14:00:00+02:00,614,604,21,18,335
Märkischer Kreis,2020-04-19T14:00:00+02:00,458,455,16,16,191
Mettmann (Kreis),2020-04-19T14:00:00+02:00,964,751,47,44,552
Minden-Lübbecke (Kreis),2020-04-19T14:00:00+02:00,393,395,4,4,262
Mönchengladbach,2020-04-19T14:00:00+02:00,426,411,24,24,238
Mülheim / Ruhr,2020-04-19T14:00:00+02:00,143,141,4,4,95
Münster,2020-04-19T14:00:00+02:00,633,610,7,8,503
Oberbergischer Kreis,2020-04-19T14:00:00+02:00,406,394,10,10,254
Oberhausen,2020-04-19T14:00:00+02:00,169,157,1,1,86
Olpe (Kreis),2020-04-19T14:00:00+02:00,450,465,16,18,261
Paderborn (Kreis),2020-04-19T14:00:00+02:00,534,524,23,22,182
Recklinghausen (Kreis),2020-04-19T14:00:00+02:00,849,814,11,10,531
Remscheid,2020-04-19T14:00:00+02:00,196,196,4,3,105
Rhein-Erft-Kreis,2020-04-19T14:00:00+02:00,868,867,40,40,380
Rheinisch-Bergischer Kreis,2020-04-19T14:00:00+02:00,391,393,9,6,236
Rhein-Kreis Neuss,2020-04-19T14:00:00+02:00,541,540,15,16,436
Rhein-Sieg-Kreis,2020-04-19T14:00:00+02:00,1028,1025,28,22,628
Siegen-Wittgenstein (Kreis),2020-04-19T14:00:00+02:00,256,246,6,6,105
Soest (Kreis),2020-04-19T14:00:00+02:00,330,330,4,4,223
Solingen,2020-04-19T14:00:00+02:00,214,203,3,3,121
Steinfurt (Kreis),2020-04-19T14:00:00+02:00,1077,1096,45,43,531
Unna (Kreis),2020-04-19T14:00:00+02:00,552,511,22,17,253
Viersen (Kreis),2020-04-19T14:00:00+02:00,537,498,22,25,236
Warendorf (Kreis),2020-04-19T14:00:00+02:00,427,421,8,7,309
Wesel (Kreis),2020-04-19T14:00:00+02:00,440,437,14,14,286
Wuppertal,2020-04-19T14:00:00+02:00,708,697,37,33,307
