Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2020-11-14T23:59:00+01:00,8365,75,4112
Duisburg,5112,2020-11-14T23:59:00+01:00,8508,118,5680
Essen,5113,2020-11-14T23:59:00+01:00,6452,72,3528
Krefeld,5114,2020-11-14T23:59:00+01:00,2838,34,1222
Mönchengladbach,5116,2020-11-14T23:59:00+01:00,2815,63,1993
Mülheim / Ruhr,5117,2020-11-14T23:59:00+01:00,2026,25,1557
Oberhausen,5119,2020-11-14T23:59:00+01:00,2225,20,1513
Remscheid,5120,2020-11-14T23:59:00+01:00,1641,24,1172
Solingen,5122,2020-11-14T23:59:00+01:00,2317,21,1769
Wuppertal,5124,2020-11-14T23:59:00+01:00,4930,97,3157
Kleve (Kreis),5154,2020-11-14T23:59:00+01:00,2714,65,1537
Mettmann (Kreis),5158,2020-11-14T23:59:00+01:00,5731,118,3673
Rhein-Kreis Neuss,5162,2020-11-14T23:59:00+01:00,4245,44,2334
Viersen (Kreis),5166,2020-11-14T23:59:00+01:00,2672,44,1167
Wesel (Kreis),5170,2020-11-14T23:59:00+01:00,3559,37,2839
Bonn,5314,2020-11-14T23:59:00+01:00,3268,20,2517
Köln,5315,2020-11-14T23:59:00+01:00,15514,186,7015
Leverkusen,5316,2020-11-14T23:59:00+01:00,1805,15,1378
Aachen & Städteregion Aachen,5334,2020-11-14T23:59:00+01:00,8390,143,6431
Düren (Kreis),5358,2020-11-14T23:59:00+01:00,3537,57,2460
Rhein-Erft-Kreis,5362,2020-11-14T23:59:00+01:00,4737,95,3754
Euskirchen (Kreis),5366,2020-11-14T23:59:00+01:00,1825,36,1278
Heinsberg (Kreis),5370,2020-11-14T23:59:00+01:00,3552,103,2872
Oberbergischer Kreis,5374,2020-11-14T23:59:00+01:00,2464,28,1742
Rheinisch-Bergischer Kreis,5378,2020-11-14T23:59:00+01:00,2691,27,1997
Rhein-Sieg-Kreis,5382,2020-11-14T23:59:00+01:00,5676,72,2770
Bottrop,5512,2020-11-14T23:59:00+01:00,1295,11,649
Gelsenkirchen,5513,2020-11-14T23:59:00+01:00,3792,26,2141
Münster,5515,2020-11-14T23:59:00+01:00,2439,21,1938
Borken (Kreis),5554,2020-11-14T23:59:00+01:00,3656,61,2627
Coesfeld (Kreis),5558,2020-11-14T23:59:00+01:00,1721,26,1415
Recklinghausen (Kreis),5562,2020-11-14T23:59:00+01:00,7416,71,5360
Steinfurt (Kreis),5566,2020-11-14T23:59:00+01:00,3987,104,3040
Warendorf (Kreis),5570,2020-11-14T23:59:00+01:00,2977,26,2091
Bielefeld,5711,2020-11-14T23:59:00+01:00,3175,16,1296
Gütersloh (Kreis),5754,2020-11-14T23:59:00+01:00,5753,27,4407
Herford (Kreis),5758,2020-11-14T23:59:00+01:00,2564,19,1803
Höxter (Kreis),5762,2020-11-14T23:59:00+01:00,1014,20,741
Lippe (Kreis),5766,2020-11-14T23:59:00+01:00,3106,37,2241
Minden-Lübbecke (Kreis),5770,2020-11-14T23:59:00+01:00,2950,22,1851
Paderborn (Kreis),5774,2020-11-14T23:59:00+01:00,2157,54,1425
Bochum,5911,2020-11-14T23:59:00+01:00,3983,38,1739
Dortmund,5913,2020-11-14T23:59:00+01:00,6914,40,4286
Hagen,5914,2020-11-14T23:59:00+01:00,2506,30,1072
Hamm,5915,2020-11-14T23:59:00+01:00,2541,45,1998
Herne,5916,2020-11-14T23:59:00+01:00,2497,21,1556
Ennepe-Ruhr-Kreis,5954,2020-11-14T23:59:00+01:00,2994,47,2219
Hochsauerlandkreis,5958,2020-11-14T23:59:00+01:00,2419,28,1862
Märkischer Kreis,5962,2020-11-14T23:59:00+01:00,3834,40,1776
Olpe (Kreis),5966,2020-11-14T23:59:00+01:00,1605,62,1276
Siegen-Wittgenstein (Kreis),5970,2020-11-14T23:59:00+01:00,2078,9,1470
Soest (Kreis),5974,2020-11-14T23:59:00+01:00,1532,16,1128
Unna (Kreis),5978,2020-11-14T23:59:00+01:00,4656,66,3465
