Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-04-07T10:00:00+02:00,1275,35
Bielefeld,2020-04-07T10:00:00+02:00,224,1
Bochum,2020-04-07T10:00:00+02:00,330,11
Bonn,2020-04-07T10:00:00+02:00,416,2
Borken (Kreis),2020-04-07T10:00:00+02:00,681,15
Bottrop,2020-04-07T10:00:00+02:00,66,2
Coesfeld (Kreis),2020-04-07T10:00:00+02:00,409,6
Dortmund,2020-04-07T10:00:00+02:00,425,3
Duisburg,2020-04-07T10:00:00+02:00,440,3
Düren (Kreis),2020-04-07T10:00:00+02:00,352,12
Düsseldorf,2020-04-07T10:00:00+02:00,586,5
Ennepe-Ruhr-Kreis,2020-04-07T10:00:00+02:00,263,1
Essen,2020-04-07T10:00:00+02:00,515,13
Euskirchen (Kreis),2020-04-07T10:00:00+02:00,217,1
Gelsenkirchen,2020-04-07T10:00:00+02:00,194,4
Gütersloh (Kreis),2020-04-07T10:00:00+02:00,486,5
Hagen,2020-04-07T10:00:00+02:00,119,2
Hamm,2020-04-07T10:00:00+02:00,251,4
Heinsberg (Kreis),2020-04-07T10:00:00+02:00,1464,46
Herford (Kreis),2020-04-07T10:00:00+02:00,241,1
Herne ,2020-04-07T10:00:00+02:00,72,0
Hochsauerlandkreis (Kreis),2020-04-07T10:00:00+02:00,396,2
Höxter (Kreis),2020-04-07T10:00:00+02:00,152,1
Kleve (Kreis),2020-04-07T10:00:00+02:00,304,4
Köln,2020-04-07T10:00:00+02:00,1777,32
Krefeld,2020-04-07T10:00:00+02:00,269,1
Leverkusen,2020-04-07T10:00:00+02:00,155,2
Lippe (Kreis),2020-04-07T10:00:00+02:00,496,5
Märkischer Kreis,2020-04-07T10:00:00+02:00,167,2
Mettmann (Kreis),2020-04-07T10:00:00+02:00,585,13
Minden-Lübbecke (Kreis),2020-04-07T10:00:00+02:00,410,1
Mönchengladbach,2020-04-07T10:00:00+02:00,296,5
Mülheim / Ruhr,2020-04-07T10:00:00+02:00,106,3
Münster,2020-04-07T10:00:00+02:00,586,3
Oberbergischer Kreis,2020-04-07T10:00:00+02:00,306,2
Oberhausen,2020-04-07T10:00:00+02:00,114,0
Olpe (Kreis),2020-04-07T10:00:00+02:00,228,4
Paderborn (Kreis),2020-04-07T10:00:00+02:00,396,8
Recklinghausen (Kreis),2020-04-07T10:00:00+02:00,547,3
Remscheid,2020-04-07T10:00:00+02:00,99,2
Rhein-Erft-Kreis,2020-04-07T10:00:00+02:00,592,15
Rheinisch-Bergischer Kreis,2020-04-07T10:00:00+02:00,281,3
Rhein-Kreis Neuss,2020-04-07T10:00:00+02:00,489,6
Rhein-Sieg-Kreis,2020-04-07T10:00:00+02:00,789,8
Siegen-Wittgenstein (Kreis),2020-04-07T10:00:00+02:00,182,4
Soest (Kreis),2020-04-07T10:00:00+02:00,235,1
Solingen,2020-04-07T10:00:00+02:00,144,1
Steinfurt (Kreis),2020-04-07T10:00:00+02:00,702,12
Unna (Kreis),2020-04-07T10:00:00+02:00,365,8
Viersen (Kreis),2020-04-07T10:00:00+02:00,406,10
Warendorf (Kreis),2020-04-07T10:00:00+02:00,347,3
Wesel (Kreis),2020-04-07T10:00:00+02:00,285,3
Wuppertal,2020-04-07T10:00:00+02:00,350,8
